Date,Calidad Total
1950-01,238
1950-02,77
1950-03,127
1950-04,117
1950-05,88
1950-06,156
1950-07,134
1950-08,100
1950-09,162
1950-10,142
1950-11,94
1950-12,325
1951-01,315
1951-02,109
1951-03,152
1951-04,152
1951-05,111
1951-06,140
1951-07,129
1951-08,117
1951-09,159
1951-10,141
1951-11,133
1951-12,306
1952-01,255
1952-02,110
1952-03,154
1952-04,157
1952-05,127
1952-06,173
1952-07,167
1952-08,103
1952-09,133
1952-10,140
1952-11,153
1952-12,380
1953-01,331
1953-02,131
1953-03,184
1953-04,211
1953-05,168
1953-06,146
1953-07,143
1953-08,115
1953-09,158
1953-10,160
1953-11,123
1953-12,319
1954-01,349
1954-02,158
1954-03,174
1954-04,208
1954-05,163
1954-06,179
1954-07,181
1954-08,151
1954-09,211
1954-10,224
1954-11,153
1954-12,371
1955-01,368
1955-02,188
1955-03,211
1955-04,212
1955-05,167
1955-06,183
1955-07,175
1955-08,155
1955-09,197
1955-10,204
1955-11,157
1955-12,383
1956-01,353
1956-02,159
1956-03,218
1956-04,222
1956-05,181
1956-06,209
1956-07,185
1956-08,170
1956-09,210
1956-10,201
1956-11,195
1956-12,445
1957-01,431
1957-02,211
1957-03,239
1957-04,223
1957-05,200
1957-06,235
1957-07,231
1957-08,200
1957-09,245
1957-10,256
1957-11,209
1957-12,455
1958-01,407
1958-02,218
1958-03,265
1958-04,243
1958-05,186
1958-06,244
1958-07,233
1958-08,213
1958-09,284
1958-10,245
1958-11,226
1958-12,543
1959-01,475
1959-02,188
1959-03,287
1959-04,267
1959-05,202
1959-06,263
1959-07,234
1959-08,217
1959-09,265
1959-10,238
1959-11,233
1959-12,581
1960-01,515
1960-02,196
1960-03,310
1960-04,288
1960-05,199
1960-06,290
1960-07,285
1960-08,238
1960-09,296
1960-10,247
1960-11,254
1960-12,679
1961-01,516
1961-02,226
1961-03,302
1961-04,286
1961-05,227
1961-06,291
1961-07,365
1961-08,352
1961-09,334
1961-10,297
1961-11,331
1961-12,604
1962-01,521
1962-02,247
1962-03,322
1962-04,318
1962-05,255
1962-06,340
1962-07,337
1962-08,270
1962-09,350
1962-10,345
1962-11,356
1962-12,833
1963-01,716
1963-02,342
1963-03,422
1963-04,367
1963-05,298
1963-06,357
1963-07,332
1963-08,312
1963-09,386
1963-10,362
1963-11,383
1963-12,837
1964-01,702
1964-02,329
1964-03,392
1964-04,350
1964-05,346
1964-06,403
1964-07,335
1964-08,315
1964-09,398
1964-10,398
1964-11,423
1964-12,801
1965-01,740
1965-02,396
1965-03,455
1965-04,433
1965-05,403
1965-06,454
1965-07,390
1965-08,352
1965-09,462
1965-10,437
1965-11,454
1965-12,988
1966-01,909
1966-02,408
1966-03,421
1966-04,437
1966-05,447
1966-06,490
1966-07,425
1966-08,377
1966-09,461
1966-10,435
1966-11,496
1966-12,1073
1967-01,971
1967-02,500
1967-03,535
1967-04,469
1967-05,456
1967-06,517
1967-07,427
1967-08,389
1967-09,461
1967-10,444
1967-11,497
1967-12,1110
1968-01,1013
1968-02,480
1968-03,507
1968-04,519
1968-05,482
1968-06,522
1968-07,483
1968-08,475
1968-09,547
1968-10,469
1968-11,501
1968-12,1147
1969-01,1034
1969-02,494
1969-03,519
1969-04,459
1969-05,435
1969-06,540
1969-07,523
1969-08,490
1969-09,579
1969-10,522
1969-11,499
1969-12,2308
1970-01,2060
1970-02,482
1970-03,540
1970-04,557
1970-05,557
1970-06,584
1970-07,593
1970-08,595
1970-09,682
1970-10,618
1970-11,558
1970-12,1416
1971-01,1372
1971-02,608
1971-03,642
1971-04,619
1971-05,637
1971-06,693
1971-07,633
1971-08,618
1971-09,710
1971-10,641
1971-11,619
1971-12,1838
1972-01,1717
1972-02,653
1972-03,794
1972-04,777
1972-05,690
1972-06,820
1972-07,808
1972-08,734
1972-09,825
1972-10,759
1972-11,674
1972-12,1966
1973-01,1903
1973-02,751
1973-03,797
1973-04,773
1973-05,694
1973-06,786
1973-07,818
1973-08,821
1973-09,918
1973-10,816
1973-11,769
1973-12,2019
1974-01,1967
1974-02,854
1974-03,881
1974-04,799
1974-05,865
1974-06,917
1974-07,885
1974-08,964
1974-09,1000
1974-10,853
1974-11,826
1974-12,2253
1975-01,2162
1975-02,946
1975-03,1064
1975-04,900
1975-05,889
1975-06,1012
1975-07,999
1975-08,998
1975-09,1015
1975-10,911
1975-11,911
1975-12,2893
