Date,Cuadro de Mando Integral
1950-01,9
1950-02,2
1950-03,3
1950-04,6
1950-05,7
1950-06,8
1950-07,5
1950-08,5
1950-09,8
1950-10,13
1950-11,2
1950-12,21
1951-01,9
1951-02,6
1951-03,3
1951-04,8
1951-05,2
1951-06,3
1951-07,10
1951-08,6
1951-09,5
1951-10,10
1951-11,8
1951-12,12
1952-01,7
1952-02,5
1952-03,4
1952-04,9
1952-05,2
1952-06,4
1952-07,11
1952-08,4
1952-09,1
1952-10,6
1952-11,7
1952-12,10
1953-01,12
1953-02,2
1953-03,8
1953-04,5
1953-05,9
1953-06,4
1953-07,8
1953-08,4
1953-09,10
1953-10,14
1953-11,6
1953-12,3
1954-01,10
1954-02,7
1954-03,8
1954-04,16
1954-05,4
1954-06,5
1954-07,6
1954-08,14
1954-09,2
1954-10,8
1954-11,14
1954-12,14
1955-01,14
1955-02,5
1955-03,9
1955-04,14
1955-05,11
1955-06,5
1955-07,7
1955-08,11
1955-09,5
1955-10,15
1955-11,15
1955-12,8
1956-01,25
1956-02,5
1956-03,14
1956-04,10
1956-05,19
1956-06,13
1956-07,15
1956-08,9
1956-09,11
1956-10,12
1956-11,7
1956-12,14
1957-01,26
1957-02,12
1957-03,14
1957-04,37
1957-05,13
1957-06,5
1957-07,11
1957-08,14
1957-09,8
1957-10,8
1957-11,13
1957-12,15
1958-01,22
1958-02,13
1958-03,10
1958-04,17
1958-05,9
1958-06,10
1958-07,22
1958-08,15
1958-09,14
1958-10,14
1958-11,14
1958-12,27
1959-01,27
1959-02,10
1959-03,12
1959-04,20
1959-05,9
1959-06,24
1959-07,14
1959-08,12
1959-09,14
1959-10,20
1959-11,15
1959-12,34
1960-01,23
1960-02,11
1960-03,14
1960-04,15
1960-05,11
1960-06,19
1960-07,22
1960-08,33
1960-09,21
1960-10,20
1960-11,16
1960-12,17
1961-01,40
1961-02,21
1961-03,21
1961-04,15
1961-05,20
1961-06,17
1961-07,24
1961-08,20
1961-09,20
1961-10,15
1961-11,17
1961-12,76
1962-01,54
1962-02,18
1962-03,22
1962-04,28
1962-05,22
1962-06,21
1962-07,29
1962-08,18
1962-09,26
1962-10,26
1962-11,26
1962-12,38
1963-01,56
1963-02,12
1963-03,36
1963-04,40
1963-05,27
1963-06,34
1963-07,35
1963-08,33
1963-09,32
1963-10,34
1963-11,24
1963-12,34
1964-01,42
1964-02,12
1964-03,27
1964-04,25
1964-05,16
1964-06,36
1964-07,32
1964-08,33
1964-09,31
1964-10,39
1964-11,24
1964-12,63
1965-01,51
1965-02,36
1965-03,37
1965-04,28
1965-05,33
1965-06,52
1965-07,40
1965-08,44
1965-09,30
1965-10,61
1965-11,37
1965-12,43
1966-01,76
1966-02,37
1966-03,36
1966-04,37
1966-05,31
1966-06,47
1966-07,49
1966-08,52
1966-09,33
1966-10,24
1966-11,36
1966-12,67
1967-01,61
1967-02,48
1967-03,49
1967-04,37
1967-05,37
1967-06,46
1967-07,45
1967-08,55
1967-09,45
1967-10,43
1967-11,24
1967-12,61
1968-01,71
1968-02,59
1968-03,62
1968-04,70
1968-05,58
1968-06,52
1968-07,62
1968-08,72
1968-09,52
1968-10,66
1968-11,40
1968-12,54
1969-01,89
1969-02,54
1969-03,60
1969-04,52
1969-05,37
1969-06,56
1969-07,73
1969-08,59
1969-09,39
1969-10,52
1969-11,41
1969-12,85
1970-01,283
1970-02,67
1970-03,67
1970-04,64
1970-05,54
1970-06,51
1970-07,60
1970-08,58
1970-09,47
1970-10,60
1970-11,46
1970-12,91
1971-01,120
1971-02,55
1971-03,67
1971-04,77
1971-05,67
1971-06,83
1971-07,59
1971-08,95
1971-09,71
1971-10,67
1971-11,58
1971-12,112
1972-01,116
1972-02,74
1972-03,92
1972-04,79
1972-05,40
1972-06,114
1972-07,74
1972-08,103
1972-09,91
1972-10,86
1972-11,52
1972-12,111
1973-01,144
1973-02,78
1973-03,103
1973-04,78
1973-05,69
1973-06,125
1973-07,79
1973-08,115
1973-09,104
1973-10,66
1973-11,51
1973-12,108
1974-01,161
1974-02,84
1974-03,101
1974-04,78
1974-05,54
1974-06,100
1974-07,87
1974-08,116
1974-09,107
1974-10,114
1974-11,95
1974-12,106
1975-01,171
1975-02,98
1975-03,108
1975-04,129
1975-05,75
1975-06,110
1975-07,77
1975-08,153
1975-09,97
1975-10,89
1975-11,74
1975-12,183
1976-01,185
1976-02,79
1976-03,128
1976-04,99
1976-05,76
1976-06,118
1976-07,105
1976-08,130
1976-09,126
1976-10,99
1976-11,80
1976-12,168
1977-01,261
