Date,Estrategias de Crecimiento
1950-01,72
1950-02,29
1950-03,43
1950-04,63
1950-05,38
1950-06,49
1950-07,72
1950-08,40
1950-09,55
1950-10,52
1950-11,46
1950-12,55
1951-01,82
1951-02,44
1951-03,65
1951-04,66
1951-05,61
1951-06,53
1951-07,67
1951-08,47
1951-09,58
1951-10,65
1951-11,49
1951-12,81
1952-01,97
1952-02,66
1952-03,60
1952-04,56
1952-05,57
1952-06,59
1952-07,67
1952-08,48
1952-09,72
1952-10,62
1952-11,63
1952-12,89
1953-01,107
1953-02,41
1953-03,70
1953-04,77
1953-05,72
1953-06,71
1953-07,91
1953-08,56
1953-09,65
1953-10,73
1953-11,76
1953-12,88
1954-01,110
1954-02,65
1954-03,92
1954-04,70
1954-05,65
1954-06,57
1954-07,77
1954-08,43
1954-09,74
1954-10,79
1954-11,69
1954-12,126
1955-01,97
1955-02,63
1955-03,69
1955-04,60
1955-05,67
1955-06,56
1955-07,78
1955-08,62
1955-09,67
1955-10,74
1955-11,65
1955-12,142
1956-01,106
1956-02,64
1956-03,67
1956-04,68
1956-05,79
1956-06,80
1956-07,77
1956-08,56
1956-09,90
1956-10,87
1956-11,60
1956-12,129
1957-01,121
1957-02,60
1957-03,89
1957-04,74
1957-05,73
1957-06,76
1957-07,76
1957-08,63
1957-09,92
1957-10,99
1957-11,71
1957-12,111
1958-01,115
1958-02,69
1958-03,119
1958-04,99
1958-05,65
1958-06,80
1958-07,99
1958-08,71
1958-09,106
1958-10,89
1958-11,104
1958-12,111
1959-01,160
1959-02,69
1959-03,101
1959-04,116
1959-05,87
1959-06,95
1959-07,113
1959-08,80
1959-09,130
1959-10,96
1959-11,103
1959-12,224
1960-01,158
1960-02,86
1960-03,113
1960-04,116
1960-05,110
1960-06,106
1960-07,105
1960-08,96
1960-09,103
1960-10,107
1960-11,101
1960-12,217
1961-01,169
1961-02,92
1961-03,129
1961-04,112
1961-05,117
1961-06,112
1961-07,128
1961-08,90
1961-09,122
1961-10,122
1961-11,106
1961-12,193
1962-01,185
1962-02,115
1962-03,172
1962-04,132
1962-05,144
1962-06,125
1962-07,150
1962-08,78
1962-09,139
1962-10,128
1962-11,124
1962-12,223
1963-01,244
1963-02,112
1963-03,165
1963-04,134
1963-05,129
1963-06,134
1963-07,113
1963-08,97
1963-09,181
1963-10,137
1963-11,124
1963-12,310
1964-01,255
1964-02,124
1964-03,145
1964-04,146
1964-05,147
1964-06,147
1964-07,128
1964-08,108
1964-09,182
1964-10,131
1964-11,124
1964-12,296
1965-01,258
1965-02,170
1965-03,189
1965-04,162
1965-05,182
1965-06,147
1965-07,177
1965-08,123
1965-09,175
1965-10,179
1965-11,162
1965-12,259
1966-01,239
1966-02,141
1966-03,194
1966-04,175
1966-05,188
1966-06,174
1966-07,162
1966-08,130
1966-09,185
1966-10,189
1966-11,184
1966-12,305
1967-01,305
1967-02,135
1967-03,203
1967-04,176
1967-05,172
1967-06,193
1967-07,223
1967-08,173
1967-09,216
1967-10,217
1967-11,166
1967-12,423
1968-01,564
1968-02,206
1968-03,251
1968-04,216
1968-05,179
1968-06,227
1968-07,221
1968-08,204
1968-09,273
1968-10,216
1968-11,185
1968-12,326
1969-01,354
1969-02,233
1969-03,254
1969-04,237
1969-05,227
1969-06,281
1969-07,246
1969-08,214
1969-09,264
1969-10,223
1969-11,250
1969-12,460
1970-01,1202
1970-02,229
1970-03,297
1970-04,242
1970-05,225
1970-06,222
1970-07,260
1970-08,191
1970-09,306
1970-10,277
1970-11,246
1970-12,416
1971-01,484
1971-02,267
1971-03,288
1971-04,280
1971-05,301
1971-06,272
1971-07,268
1971-08,259
1971-09,298
1971-10,296
1971-11,277
1971-12,561
1972-01,548
1972-02,271
1972-03,345
1972-04,340
1972-05,401
1972-06,307
1972-07,303
1972-08,272
1972-09,343
1972-10,300
1972-11,254
1972-12,472
1973-01,570
1973-02,283
1973-03,381
1973-04,314
1973-05,239
1973-06,307
1973-07,324
1973-08,263
1973-09,410
1973-10,342
1973-11,286
1973-12,458
1974-01,591
1974-02,322
1974-03,399
1974-04,372
1974-05,268
1974-06,389
1974-07,357
1974-08,299
1974-09,370
1974-10,501
1974-11,318
1974-12,595
1975-01,600
1975-02,263
1975-03,410
1975-04,382
1975-05,347
1975-06,365
1975-07,372
1975-08,389
1975-09,337
1975-10,392
1975-11,304
1975-12,603
1976-01,739
1976-02,318
1976-03,451
1976-04,400
1976-05,318
1976-06,434
1976-07,363
1976-08,352
1976-09,383
1976-10,452
1976-11,324
1976-12,533
1977-01,806
1977-02,308
1977-03,450
1977-04,419
1977-05,367
1977-06,407
1977-07,388
1977-08,343
1977-09,442
1977-10,352
1977-11,353
1977-12,677
1978-01,854
1978-02,335
1978-03,476
1978-04,457
1978-05,350
1978-06,482
1978-07,384
1978-08,355
1978-09,387
1978-10,428
1978-11,419
1978-12,588
