Date,Experiencia del Cliente
1950-01,114
1950-02,42
1950-03,85
1950-04,89
1950-05,54
1950-06,101
1950-07,88
1950-08,65
1950-09,121
1950-10,106
1950-11,56
1950-12,149
1951-01,141
1951-02,72
1951-03,106
1951-04,96
1951-05,65
1951-06,94
1951-07,84
1951-08,86
1951-09,118
1951-10,98
1951-11,80
1951-12,174
1952-01,137
1952-02,63
1952-03,104
1952-04,114
1952-05,84
1952-06,128
1952-07,124
1952-08,69
1952-09,99
1952-10,100
1952-11,111
1952-12,224
1953-01,183
1953-02,76
1953-03,116
1953-04,138
1953-05,113
1953-06,118
1953-07,110
1953-08,70
1953-09,110
1953-10,116
1953-11,77
1953-12,163
1954-01,181
1954-02,99
1954-03,114
1954-04,144
1954-05,111
1954-06,135
1954-07,130
1954-08,97
1954-09,139
1954-10,154
1954-11,107
1954-12,229
1955-01,202
1955-02,125
1955-03,159
1955-04,150
1955-05,108
1955-06,134
1955-07,132
1955-08,109
1955-09,145
1955-10,146
1955-11,104
1955-12,213
1956-01,195
1956-02,95
1956-03,154
1956-04,151
1956-05,108
1956-06,141
1956-07,117
1956-08,102
1956-09,157
1956-10,155
1956-11,132
1956-12,244
1957-01,232
1957-02,142
1957-03,165
1957-04,163
1957-05,135
1957-06,162
1957-07,163
1957-08,135
1957-09,165
1957-10,168
1957-11,133
1957-12,278
1958-01,228
1958-02,132
1958-03,186
1958-04,169
1958-05,117
1958-06,170
1958-07,161
1958-08,132
1958-09,192
1958-10,173
1958-11,150
1958-12,305
1959-01,255
1959-02,116
1959-03,215
1959-04,203
1959-05,118
1959-06,183
1959-07,175
1959-08,146
1959-09,190
1959-10,165
1959-11,160
1959-12,350
1960-01,283
1960-02,122
1960-03,211
1960-04,182
1960-05,125
1960-06,210
1960-07,200
1960-08,139
1960-09,202
1960-10,161
1960-11,160
1960-12,372
1961-01,272
1961-02,141
1961-03,204
1961-04,200
1961-05,154
1961-06,205
1961-07,262
1961-08,257
1961-09,240
1961-10,193
1961-11,226
1961-12,352
1962-01,262
1962-02,158
1962-03,227
1962-04,189
1962-05,139
1962-06,245
1962-07,251
1962-08,190
1962-09,243
1962-10,218
1962-11,235
1962-12,426
1963-01,336
1963-02,235
1963-03,301
1963-04,244
1963-05,190
1963-06,259
1963-07,233
1963-08,202
1963-09,268
1963-10,254
1963-11,275
1963-12,460
1964-01,335
1964-02,220
1964-03,282
1964-04,246
1964-05,230
1964-06,282
1964-07,220
1964-08,209
1964-09,283
1964-10,261
1964-11,308
1964-12,486
1965-01,407
1965-02,265
1965-03,319
