Date,Gestión del Cambio
1950-01,58
1950-02,20
1950-03,17
1950-04,56
1950-05,17
1950-06,15
1950-07,54
1950-08,14
1950-09,21
1950-10,60
1950-11,15
1950-12,36
1951-01,75
1951-02,12
1951-03,29
1951-04,48
1951-05,27
1951-06,14
1951-07,49
1951-08,8
1951-09,26
1951-10,40
1951-11,33
1951-12,46
1952-01,73
1952-02,15
1952-03,46
1952-04,57
1952-05,29
1952-06,27
1952-07,80
1952-08,17
1952-09,39
1952-10,53
1952-11,31
1952-12,46
1953-01,110
1953-02,24
1953-03,35
1953-04,51
1953-05,45
1953-06,24
1953-07,67
1953-08,20
1953-09,29
1953-10,60
1953-11,29
1953-12,90
1954-01,99
1954-02,34
1954-03,41
1954-04,60
1954-05,35
1954-06,22
1954-07,62
1954-08,35
1954-09,40
1954-10,70
1954-11,39
1954-12,78
1955-01,104
1955-02,28
1955-03,54
1955-04,87
1955-05,43
1955-06,29
1955-07,72
1955-08,31
1955-09,49
1955-10,71
1955-11,31
1955-12,114
1956-01,133
1956-02,16
1956-03,46
1956-04,77
1956-05,39
1956-06,24
1956-07,78
1956-08,21
1956-09,38
1956-10,77
1956-11,55
1956-12,50
1957-01,110
1957-02,47
1957-03,43
1957-04,83
1957-05,42
1957-06,44
1957-07,98
1957-08,37
1957-09,54
1957-10,72
1957-11,57
1957-12,78
1958-01,120
1958-02,39
1958-03,70
1958-04,97
1958-05,39
1958-06,38
1958-07,100
1958-08,38
1958-09,61
1958-10,110
1958-11,40
1958-12,72
1959-01,136
1959-02,25
1959-03,63
1959-04,121
1959-05,46
1959-06,33
1959-07,118
1959-08,40
1959-09,64
1959-10,100
1959-11,69
1959-12,105
1960-01,199
1960-02,21
1960-03,71
1960-04,98
1960-05,47
1960-06,41
1960-07,137
1960-08,38
1960-09,67
1960-10,123
1960-11,45
1960-12,162
1961-01,190
1961-02,63
1961-03,73
1961-04,131
1961-05,46
1961-06,47
1961-07,132
1961-08,83
1961-09,103
1961-10,122
1961-11,67
1961-12,138
1962-01,171
1962-02,47
1962-03,100
1962-04,141
1962-05,55
1962-06,71
1962-07,161
1962-08,79
1962-09,94
1962-10,142
1962-11,82
1962-12,148
1963-01,190
1963-02,50
1963-03,143
1963-04,138
1963-05,98
1963-06,78
1963-07,172
1963-08,56
1963-09,105
1963-10,160
1963-11,93
1963-12,196
1964-01,200
1964-02,73
1964-03,129
1964-04,150
1964-05,104
1964-06,118
1964-07,165
1964-08,50
1964-09,129
1964-10,160
1964-11,119
1964-12,220
1965-01,224
1965-02,98
1965-03,161
1965-04,199
1965-05,132
1965-06,134
1965-07,200
1965-08,83
1965-09,155
1965-10,213
1965-11,119
1965-12,207
1966-01,266
1966-02,107
1966-03,150
1966-04,163
1966-05,137
1966-06,134
1966-07,190
1966-08,88
1966-09,150
1966-10,203
1966-11,140
1966-12,304
1967-01,253
1967-02,142
1967-03,186
1967-04,216
1967-05,146
1967-06,172
1967-07,200
1967-08,104
1967-09,179
1967-10,186
1967-11,132
1967-12,268
1968-01,237
1968-02,137
1968-03,189
1968-04,218
1968-05,188
1968-06,156
1968-07,223
1968-08,107
1968-09,192
1968-10,232
1968-11,129
1968-12,374
1969-01,315
1969-02,116
1969-03,172
1969-04,189
1969-05,174
1969-06,134
1969-07,227
1969-08,105
1969-09,201
1969-10,246
1969-11,167
1969-12,450
1970-01,641
1970-02,138
1970-03,214
1970-04,236
1970-05,192
1970-06,169
1970-07,257
1970-08,140
1970-09,241
1970-10,264
1970-11,201
1970-12,395
1971-01,448
1971-02,174
1971-03,280
1971-04,267
1971-05,248
1971-06,236
1971-07,266
1971-08,189
1971-09,297
1971-10,284
1971-11,191
1971-12,417
1972-01,420
1972-02,237
1972-03,294
1972-04,326
1972-05,224
1972-06,251
1972-07,350
1972-08,190
1972-09,295
1972-10,356
1972-11,205
1972-12,511
1973-01,506
1973-02,218
1973-03,329
1973-04,332
1973-05,246
1973-06,243
1973-07,304
1973-08,212
1973-09,294
1973-10,341
1973-11,195
1973-12,387
1974-01,468
1974-02,228
1974-03,368
1974-04,317
1974-05,285
1974-06,296
1974-07,329
1974-08,197
1974-09,351
1974-10,383
1974-11,254
1974-12,535
1975-01,516
1975-02,233
1975-03,367
1975-04,389
1975-05,230
1975-06,370
1975-07,354
1975-08,238
1975-09,363
1975-10,365
1975-11,243
1975-12,590
1976-01,732
1976-02,226
1976-03,393
1976-04,427
1976-05,257
1976-06,345
1976-07,423
