Date,Gestión del Conocimiento
1950-01,60
1950-02,10
1950-03,5
1950-04,52
1950-05,13
1950-06,19
1950-07,52
1950-08,12
1950-09,22
1950-10,58
1950-11,13
1950-12,26
1951-01,72
1951-02,11
1951-03,24
1951-04,35
1951-05,21
1951-06,8
1951-07,52
1951-08,13
1951-09,26
1951-10,39
1951-11,27
1951-12,56
1952-01,75
1952-02,11
1952-03,31
1952-04,49
1952-05,29
1952-06,10
1952-07,80
1952-08,14
1952-09,32
1952-10,39
1952-11,29
1952-12,48
1953-01,103
1953-02,11
1953-03,28
1953-04,43
1953-05,53
1953-06,22
1953-07,59
1953-08,17
1953-09,22
1953-10,53
1953-11,27
1953-12,23
1954-01,62
1954-02,34
1954-03,29
1954-04,50
1954-05,37
1954-06,19
1954-07,58
1954-08,26
1954-09,32
1954-10,51
1954-11,44
1954-12,54
1955-01,91
1955-02,21
1955-03,39
1955-04,62
1955-05,38
1955-06,17
1955-07,59
1955-08,23
1955-09,37
1955-10,62
1955-11,29
1955-12,32
1956-01,77
1956-02,12
1956-03,36
1956-04,73
1956-05,31
1956-06,21
1956-07,71
1956-08,19
1956-09,42
1956-10,58
1956-11,44
1956-12,34
1957-01,86
1957-02,43
1957-03,36
1957-04,61
1957-05,46
1957-06,35
1957-07,66
1957-08,36
1957-09,45
1957-10,61
1957-11,41
1957-12,44
1958-01,90
1958-02,26
1958-03,58
1958-04,80
1958-05,36
1958-06,29
1958-07,83
1958-08,32
1958-09,52
1958-10,85
1958-11,33
1958-12,65
1959-01,108
1959-02,29
1959-03,48
1959-04,97
1959-05,36
1959-06,31
1959-07,102
1959-08,30
1959-09,59
1959-10,70
1959-11,47
1959-12,62
1960-01,138
1960-02,11
1960-03,61
1960-04,77
1960-05,35
1960-06,32
1960-07,103
1960-08,18
1960-09,57
1960-10,82
1960-11,31
1960-12,96
1961-01,115
1961-02,35
1961-03,57
1961-04,81
1961-05,40
1961-06,40
1961-07,101
1961-08,72
1961-09,90
1961-10,75
1961-11,51
1961-12,93
1962-01,106
1962-02,25
1962-03,64
1962-04,94
1962-05,44
1962-06,46
1962-07,128
1962-08,64
1962-09,78
1962-10,101
1962-11,65
1962-12,129
1963-01,142
1963-02,50
1963-03,105
1963-04,109
1963-05,73
1963-06,67
1963-07,140
1963-08,39
1963-09,81
1963-10,119
1963-11,82
1963-12,144
1964-01,135
1964-02,48
1964-03,93
1964-04,96
1964-05,84
1964-06,77
1964-07,129
1964-08,32
1964-09,105
1964-10,104
1964-11,92
1964-12,147
1965-01,157
1965-02,78
1965-03,124
1965-04,132
1965-05,103
1965-06,96
1965-07,161
1965-08,53
1965-09,111
1965-10,173
1965-11,92
1965-12,160
1966-01,168
1966-02,84
1966-03,106
1966-04,117
1966-05,128
1966-06,96
1966-07,156
1966-08,70
1966-09,106
1966-10,135
1966-11,100
1966-12,166
1967-01,160
1967-02,110
1967-03,155
1967-04,141
1967-05,110
1967-06,124
1967-07,141
1967-08,84
1967-09,132
1967-10,119
1967-11,103
1967-12,154
1968-01,142
1968-02,97
1968-03,141
1968-04,137
1968-05,133
1968-06,94
1968-07,163
1968-08,76
1968-09,132
1968-10,153
1968-11,99
1968-12,162
1969-01,183
1969-02,87
1969-03,119
1969-04,119
1969-05,96
1969-06,74
1969-07,148
1969-08,76
1969-09,128
1969-10,148
1969-11,98
1969-12,217
1970-01,453
1970-02,91
1970-03,134
1970-04,140
1970-05,119
1970-06,101
1970-07,157
1970-08,116
1970-09,148
1970-10,177
1970-11,121
1970-12,151
1971-01,221
1971-02,127
1971-03,177
1971-04,162
1971-05,141
1971-06,138
1971-07,168
1971-08,126
1971-09,175
1971-10,176
1971-11,120
1971-12,199
1972-01,223
1972-02,126
1972-03,167
1972-04,230
1972-05,139
1972-06,141
1972-07,244
1972-08,150
1972-09,174
1972-10,233
1972-11,128
1972-12,199
1973-01,269
1973-02,178
1973-03,216
1973-04,165
1973-05,178
1973-06,159
1973-07,198
1973-08,163
1973-09,203
1973-10,213
1973-11,143
1973-12,196
1974-01,249
1974-02,160
1974-03,253
1974-04,174
1974-05,232
1974-06,222
1974-07,189
1974-08,184
1974-09,267
1974-10,229
1974-11,187
1974-12,250
1975-01,300
1975-02,157
1975-03,271
1975-04,244
1975-05,174
1975-06,248
1975-07,216
1975-08,201
1975-09,254
1975-10,218
1975-11,156
1975-12,286
1976-01,432
1976-02,150
1976-03,244
1976-04,281
1976-05,185
1976-06,237
1976-07,276
1976-08,201
1976-09,261
1976-10,290
1976-11,173
1976-12,280
1977-01,509
1977-02,171
1977-03,294
1977-04,286
1977-05,206
1977-06,249
1977-07,294
1977-08,174
1977-09,264
1977-10,275
1977-11,187
1977-12,323
1978-01,545
1978-02,167
1978-03,314
1978-04,299
1978-05,200
1978-06,222
1978-07,375
1978-08,184
1978-09,248
1978-10,315
1978-11,217
1978-12,317
1979-01,563
1979-02,192
1979-03,370
1979-04,294
1979-05,222
1979-06,375
1979-07,293
1979-08,175
1979-09,306
1979-10,294
1979-11,220
1979-12,354
1980-01,669
1980-02,203
1980-03,408
1980-04,323
1980-05,223
1980-06,352
1980-07,326
1980-08,193
1980-09,352
1980-10,348
1980-11,234
1980-12,382
1981-01,743
1981-02,211
1981-03,449
1981-04,321
1981-05,221
1981-06,351
1981-07,418
1981-08,227
1981-09,396
1981-10,330
1981-11,208
1981-12,420
1982-01,832
1982-02,221
1982-03,453
1982-04,381
1982-05,258
1982-06,424
1982-07,369
1982-08,192
1982-09,420
1982-10,326
1982-11,276
1982-12,447
1983-01,886
1983-02,264
1983-03,523
1983-04,352
1983-05,288
1983-06,424
1983-07,415
1983-08,229
1983-09,482
1983-10,315
1983-11,310
1983-12,401
1984-01,1125
1984-02,321
1984-03,499
1984-04,391
1984-05,306
1984-06,454
1984-07,446
1984-08,295
1984-09,480
1984-10,369
1984-11,317
1984-12,488
1985-01,1236
1985-02,329
1985-03,529
1985-04,436
1985-05,338
1985-06,429
1985-07,476
1985-08,276
1985-09,521
1985-10,324
1985-11,326
1985-12,573
1986-01,1385
1986-02,286
1986-03,594
1986-04,381
1986-05,423
1986-06,466
1986-07,459
1986-08,282
1986-09,593
1986-10,442
1986-11,392
1986-12,589
1987-01,1285
1987-02,341
1987-03,647
1987-04,530
1987-05,357
1987-06,587
1987-07,453
1987-08,326
1987-09,726
1987-10,378
1987-11,377
1987-12,719
1988-01,1494
1988-02,383
1988-03,738
1988-04,462
1988-05,396
1988-06,620
1988-07,467
1988-08,379
1988-09,674
1988-10,402
1988-11,434
1988-12,786
1989-01,1673
1989-02,474
1989-03,868
1989-04,489
1989-05,496
1989-06,617
1989-07,580
1989-08,476
1989-09,796
1989-10,485
1989-11,368
1989-12,817
1990-01,1808
1990-02,515
1990-03,979
1990-04,629
1990-05,534
1990-06,815
1990-07,591
1990-08,453
1990-09,913
1990-10,539
1990-11,440
1990-12,897
1991-01,1903
1991-02,489
1991-03,860
1991-04,858
1991-05,599
1991-06,770
1991-07,601
1991-08,415
1991-09,827
1991-10,603
1991-11,452
1991-12,887
1992-01,1528
1992-02,549
1992-03,1045
1992-04,734
1992-05,706
1992-06,884
1992-07,732
1992-08,511
1992-09,1002
1992-10,676
1992-11,559
1992-12,1117
1993-01,1677
1993-02,557
1993-03,926
1993-04,773
1993-05,729
1993-06,836
1993-07,703
1993-08,661
1993-09,1032
1993-10,606
1993-11,574
1993-12,1209
1994-01,2022
1994-02,607
1994-03,1045
1994-04,708
1994-05,720
1994-06,1032
1994-07,684
1994-08,648
1994-09,1018
1994-10,769
1994-11,603
1994-12,1283
1995-01,2022
1995-02,734
1995-03,1090
1995-04,731
1995-05,725
1995-06,1181
1995-07,785
1995-08,637
1995-09,1184
1995-10,830
1995-11,789
1995-12,1201
1996-01,2186
1996-02,708
1996-03,1217
1996-04,839
1996-05,859
1996-06,1162
1996-07,911
1996-08,658
1996-09,1146
1996-10,884
1996-11,844
1996-12,1276
1997-01,2340
1997-02,817
1997-03,1176
1997-04,905
1997-05,860
1997-06,1327
1997-07,934
1997-08,648
1997-09,1111
1997-10,955
1997-11,811
1997-12,1393
1998-01,2384
1998-02,773
1998-03,1425
1998-04,949
1998-05,770
1998-06,1254
1998-07,1102
1998-08,861
1998-09,1260
1998-10,896
1998-11,904
1998-12,1436
1999-01,2298
1999-02,935
1999-03,1402
1999-04,1077
1999-05,887
1999-06,1299
1999-07,1149
1999-08,1084
1999-09,1390
1999-10,1148
1999-11,1134
1999-12,1562
2000-01,2695
2000-02,1018
2000-03,1631
2000-04,1205
2000-05,981
2000-06,1381
2000-07,1228
2000-08,1150
2000-09,1367
2000-10,1625
2000-11,1200
2000-12,1719
2001-01,2664
2001-02,834
2001-03,1858
2001-04,1214
2001-05,1445
2001-06,1555
2001-07,1211
2001-08,1225
2001-09,1504
2001-10,1703
2001-11,990
2001-12,2337
2002-01,3246
2002-02,1014
2002-03,1752
2002-04,1394
2002-05,1625
2002-06,1594
2002-07,1340
2002-08,1300
2002-09,2108
2002-10,1500
2002-11,1504
2002-12,2086
2003-01,3090
2003-02,1263
2003-03,1746
2003-04,1399
2003-05,1072
2003-06,1811
2003-07,1420
2003-08,1408
2003-09,2530
2003-10,1631
2003-11,1400
2003-12,2448
2004-01,3309
2004-02,1406
2004-03,2156
2004-04,1680
2004-05,1351
2004-06,2037
2004-07,1751
2004-08,1672
2004-09,1814
2004-10,1777
2004-11,1569
2004-12,2261
2005-01,3352
2005-02,1250
2005-03,1938
2005-04,1714
2005-05,1495
2005-06,2444
2005-07,1779
2005-08,1906
2005-09,2076
2005-10,2011
2005-11,1708
2005-12,2242
2006-01,4040
2006-02,1349
2006-03,2165
2006-04,2194
2006-05,1640
2006-06,2326
2006-07,2204
2006-08,2219
2006-09,2427
2006-10,2179
2006-11,2211
2006-12,2504
2007-01,3921
2007-02,1914
2007-03,2585
2007-04,1978
2007-05,2611
2007-06,2988
2007-07,2292
2007-08,2672
2007-09,2199
2007-10,2835
2007-11,2358
2007-12,3665
2008-01,3920
2008-02,1789
2008-03,2426
2008-04,2504
2008-05,2061
2008-06,2797
2008-07,2396
2008-08,1986
2008-09,3417
2008-10,3170
2008-11,2822
2008-12,4218
2009-01,3849
2009-02,2325
2009-03,2828
2009-04,2451
2009-05,2219
2009-06,3158
2009-07,2525
2009-08,2807
2009-09,4432
2009-10,3141
2009-11,3140
