Date,Gestión del Conocimiento
1950-01,141
1950-02,57
1950-03,103
1950-04,97
1950-05,63
1950-06,112
1950-07,94
1950-08,73
1950-09,130
1950-10,116
1950-11,66
1950-12,186
1951-01,175
1951-02,76
1951-03,117
1951-04,110
1951-05,76
1951-06,112
1951-07,101
1951-08,93
1951-09,124
1951-10,110
1951-11,110
1951-12,232
1952-01,172
1952-02,70
1952-03,118
1952-04,129
1952-05,93
1952-06,146
1952-07,143
1952-08,81
1952-09,116
1952-10,109
1952-11,123
1952-12,280
1953-01,216
1953-02,89
1953-03,138
1953-04,157
1953-05,132
1953-06,143
1953-07,126
1953-08,80
1953-09,123
1953-10,125
1953-11,87
1953-12,191
1954-01,205
1954-02,113
1954-03,135
1954-04,162
1954-05,130
1954-06,156
1954-07,145
1954-08,108
1954-09,154
1954-10,170
1954-11,117
1954-12,293
1955-01,265
1955-02,133
1955-03,175
1955-04,173
1955-05,126
1955-06,144
1955-07,138
1955-08,113
1955-09,160
1955-10,159
1955-11,116
1955-12,261
1956-01,233
1956-02,112
1956-03,178
1956-04,172
1956-05,119
1956-06,155
1956-07,129
1956-08,115
1956-09,179
1956-10,175
1956-11,156
1956-12,327
1957-01,314
1957-02,156
1957-03,181
1957-04,176
1957-05,151
1957-06,179
1957-07,171
1957-08,145
1957-09,187
1957-10,189
1957-11,154
1957-12,332
1958-01,273
1958-02,145
1958-03,201
1958-04,178
1958-05,130
1958-06,190
1958-07,180
1958-08,150
1958-09,222
1958-10,194
1958-11,163
1958-12,359
1959-01,300
1959-02,133
1959-03,236
1959-04,219
1959-05,129
1959-06,198
1959-07,195
1959-08,160
1959-09,206
1959-10,181
1959-11,178
1959-12,408
1960-01,335
1960-02,147
1960-03,227
1960-04,192
1960-05,143
1960-06,235
1960-07,220
1960-08,168
1960-09,234
1960-10,181
1960-11,172
1960-12,434
1961-01,336
1961-02,157
1961-03,229
1961-04,219
1961-05,162
1961-06,221
1961-07,280
1961-08,281
1961-09,267
1961-10,215
1961-11,246
1961-12,419
1962-01,334
1962-02,184
1962-03,250
1962-04,209
1962-05,168
1962-06,278
1962-07,279
1962-08,221
1962-09,287
1962-10,250
1962-11,260
1962-12,508
1963-01,407
1963-02,262
1963-03,324
1963-04,262
1963-05,224
1963-06,293
1963-07,251
1963-08,212
1963-09,295
1963-10,280
1963-11,311
1963-12,579
1964-01,443
1964-02,250
1964-03,314
1964-04,271
1964-05,260
1964-06,316
1964-07,245
1964-08,235
1964-09,324
1964-10,292
1964-11,335
1964-12,584
1965-01,471
1965-02,287
1965-03,354
1965-04,332
1965-05,317
1965-06,362
1965-07,306
1965-08,259
1965-09,394
1965-10,369
1965-11,369
1965-12,754
1966-01,634
1966-02,308
1966-03,338
1966-04,354
1966-05,356
1966-06,383
1966-07,328
1966-08,261
1966-09,347
1966-10,333
1966-11,391
1966-12,748
1967-01,642
1967-02,380
1967-03,430
1967-04,365
1967-05,352
1967-06,406
1967-07,342
1967-08,328
1967-09,382
1967-10,330
1967-11,367
1967-12,723
1968-01,627
1968-02,366
1968-03,413
1968-04,414
1968-05,375
1968-06,384
1968-07,355
1968-08,348
1968-09,428
1968-10,378
1968-11,393
1968-12,792
1969-01,697
1969-02,369
1969-03,398
1969-04,357
1969-05,319
1969-06,383
1969-07,353
1969-08,331
1969-09,444
1969-10,398
1969-11,362
1969-12,1794
1970-01,1556
1970-02,354
1970-03,413
1970-04,390
1970-05,382
1970-06,411
1970-07,428
1970-08,429
1970-09,524
1970-10,462
1970-11,413
1970-12,1012
1971-01,940
1971-02,476
1971-03,503
1971-04,448
1971-05,441
1971-06,490
1971-07,453
1971-08,490
1971-09,534
1971-10,448
1971-11,425
1971-12,1134
1972-01,1026
1972-02,439
1972-03,557
1972-04,532
1972-05,488
1972-06,587
1972-07,606
1972-08,566
1972-09,610
1972-10,537
1972-11,466
1972-12,1230
1973-01,1192
1973-02,600
1973-03,572
1973-04,531
1973-05,553
1973-06,575
1973-07,572
1973-08,617
1973-09,628
1973-10,532
1973-11,548
1973-12,1368
1974-01,1280
1974-02,602
1974-03,630
1974-04,578
1974-05,648
1974-06,636
1974-07,639
