Date,Lealtad del Cliente
1950-01,65
1950-02,13
1950-03,9
1950-04,55
1950-05,16
1950-06,26
1950-07,60
1950-08,18
1950-09,26
1950-10,65
1950-11,13
1950-12,26
1951-01,81
1951-02,18
1951-03,27
1951-04,42
1951-05,29
1951-06,15
1951-07,54
1951-08,12
1951-09,31
1951-10,47
1951-11,32
1951-12,50
1952-01,86
1952-02,15
1952-03,33
1952-04,48
1952-05,34
1952-06,14
1952-07,89
1952-08,19
1952-09,33
1952-10,41
1952-11,34
1952-12,44
1953-01,109
1953-02,18
1953-03,31
1953-04,52
1953-05,60
1953-06,26
1953-07,71
1953-08,25
1953-09,21
1953-10,59
1953-11,31
1953-12,32
1954-01,78
1954-02,41
1954-03,30
1954-04,61
1954-05,46
1954-06,24
1954-07,67
1954-08,29
1954-09,40
1954-10,66
1954-11,50
1954-12,85
1955-01,107
1955-02,34
1955-03,49
1955-04,77
1955-05,51
1955-06,24
1955-07,65
1955-08,27
1955-09,43
1955-10,71
1955-11,37
1955-12,44
1956-01,96
1956-02,23
1956-03,41
1956-04,83
1956-05,45
1956-06,26
1956-07,74
1956-08,28
1956-09,47
1956-10,76
1956-11,42
1956-12,53
1957-01,96
1957-02,50
1957-03,53
1957-04,76
1957-05,57
1957-06,43
1957-07,75
1957-08,52
1957-09,54
1957-10,67
1957-11,46
1957-12,54
1958-01,105
1958-02,35
1958-03,63
1958-04,91
1958-05,41
1958-06,38
1958-07,90
1958-08,41
1958-09,60
1958-10,89
1958-11,37
1958-12,74
1959-01,126
1959-02,34
1959-03,54
1959-04,104
1959-05,46
1959-06,41
1959-07,104
1959-08,35
1959-09,69
1959-10,76
1959-11,52
1959-12,72
1960-01,144
1960-02,17
1960-03,67
1960-04,89
1960-05,42
1960-06,40
1960-07,115
1960-08,27
1960-09,63
1960-10,92
1960-11,32
1960-12,125
1961-01,137
1961-02,46
1961-03,60
1961-04,90
1961-05,51
1961-06,46
1961-07,114
1961-08,77
1961-09,101
1961-10,86
1961-11,55
1961-12,113
1962-01,117
1962-02,29
1962-03,78
1962-04,106
1962-05,50
1962-06,56
1962-07,141
1962-08,68
1962-09,86
1962-10,118
1962-11,69
1962-12,145
1963-01,159
1963-02,58
1963-03,117
1963-04,115
1963-05,81
1963-06,73
1963-07,149
1963-08,45
1963-09,91
1963-10,125
1963-11,83
1963-12,153
1964-01,159
1964-02,54
1964-03,105
1964-04,103
1964-05,95
1964-06,84
1964-07,137
1964-08,45
1964-09,110
1964-10,115
1964-11,106
1964-12,147
1965-01,174
1965-02,91
1965-03,136
1965-04,141
1965-05,109
1965-06,104
1965-07,170
1965-08,62
1965-09,116
1965-10,179
1965-11,105
1965-12,173
1966-01,188
1966-02,94
1966-03,106
1966-04,116
1966-05,143
1966-06,104
1966-07,171
1966-08,74
1966-09,115
1966-10,137
1966-11,108
1966-12,199
1967-01,180
1967-02,129
