Date,Propósito y Visión
1950-01,37
1950-02,22
1950-03,30
1950-04,48
1950-05,33
1950-06,26
1950-07,50
1950-08,31
1950-09,22
1950-10,41
1950-11,28
1950-12,33
1951-01,41
1951-02,31
1951-03,30
1951-04,55
1951-05,30
1951-06,24
1951-07,58
1951-08,35
1951-09,28
1951-10,51
1951-11,30
1951-12,61
1952-01,50
1952-02,27
1952-03,26
1952-04,48
1952-05,15
1952-06,38
1952-07,48
1952-08,22
1952-09,27
1952-10,57
1952-11,31
1952-12,77
1953-01,53
1953-02,33
1953-03,21
1953-04,54
1953-05,26
1953-06,29
1953-07,37
1953-08,16
1953-09,37
1953-10,57
1953-11,29
1953-12,29
1954-01,40
1954-02,25
1954-03,32
1954-04,36
1954-05,23
1954-06,29
1954-07,40
1954-08,20
1954-09,19
1954-10,46
1954-11,25
1954-12,49
1955-01,50
1955-02,27
1955-03,26
1955-04,37
1955-05,24
1955-06,18
1955-07,47
1955-08,21
1955-09,21
1955-10,44
1955-11,23
1955-12,23
1956-01,45
1956-02,22
1956-03,30
1956-04,43
1956-05,23
1956-06,15
1956-07,31
1956-08,24
1956-09,28
1956-10,39
1956-11,27
1956-12,37
1957-01,43
1957-02,18
1957-03,37
1957-04,57
1957-05,30
1957-06,34
1957-07,35
1957-08,32
1957-09,24
1957-10,55
1957-11,21
1957-12,40
1958-01,49
1958-02,28
1958-03,36
1958-04,48
1958-05,30
1958-06,36
1958-07,43
1958-08,16
1958-09,14
1958-10,49
1958-11,20
1958-12,47
1959-01,43
1959-02,12
1959-03,26
1959-04,39
1959-05,24
1959-06,33
1959-07,44
1959-08,24
1959-09,25
1959-10,39
1959-11,25
1959-12,68
1960-01,46
1960-02,18
1960-03,30
1960-04,43
1960-05,22
1960-06,16
1960-07,42
1960-08,24
1960-09,22
1960-10,45
1960-11,17
1960-12,53
1961-01,55
1961-02,22
1961-03,39
1961-04,44
1961-05,20
1961-06,36
1961-07,58
1961-08,24
1961-09,24
1961-10,68
1961-11,26
1961-12,51
1962-01,119
1962-02,24
1962-03,25
1962-04,43
1962-05,31
1962-06,24
1962-07,48
1962-08,23
1962-09,41
1962-10,53
1962-11,36
1962-12,63
1963-01,132
1963-02,22
1963-03,51
1963-04,52
1963-05,34
1963-06,34
1963-07,50
1963-08,60
1963-09,42
1963-10,41
1963-11,27
1963-12,105
1964-01,77
1964-02,25
1964-03,53
1964-04,53
1964-05,47
1964-06,32
1964-07,39
1964-08,31
1964-09,39
1964-10,56
1964-11,43
1964-12,69
1965-01,91
1965-02,46
1965-03,48
1965-04,66
1965-05,28
1965-06,51
1965-07,55
1965-08,32
1965-09,41
1965-10,65
1965-11,43
1965-12,107
1966-01,71
1966-02,60
1966-03,36
1966-04,63
1966-05,46
1966-06,64
1966-07,53
1966-08,39
1966-09,41
1966-10,76
1966-11,28
1966-12,77
1967-01,71
1967-02,33
1967-03,69
1967-04,48
1967-05,58
1967-06,54
1967-07,69
1967-08,53
1967-09,61
1967-10,57
1967-11,55
1967-12,83
1968-01,83
1968-02,41
1968-03,55
1968-04,88
1968-05,56
1968-06,56
1968-07,77
1968-08,51
1968-09,65
1968-10,64
1968-11,60
1968-12,65
1969-01,98
1969-02,40
1969-03,74
1969-04,83
1969-05,62
1969-06,60
1969-07,75
1969-08,67
1969-09,85
1969-10,75
1969-11,54
1969-12,98
1970-01,188
1970-02,51
1970-03,89
1970-04,89
1970-05,82
1970-06,63
1970-07,74
1970-08,69
1970-09,70
1970-10,79
1970-11,54
1970-12,98
1971-01,153
1971-02,60
1971-03,63
1971-04,87
1971-05,62
1971-06,80
1971-07,88
1971-08,72
1971-09,86
1971-10,158
1971-11,56
1971-12,104
1972-01,116
1972-02,79
1972-03,86
1972-04,110
1972-05,76
1972-06,65
1972-07,71
1972-08,74
1972-09,87
1972-10,101
1972-11,57
1972-12,106
1973-01,134
1973-02,103
1973-03,95
1973-04,94
1973-05,67
1973-06,100
1973-07,125
1973-08,96
1973-09,74
1973-10,99
1973-11,62
1973-12,141
1974-01,169
1974-02,69
1974-03,61
1974-04,99
1974-05,71
1974-06,88
1974-07,94
1974-08,99
1974-09,97
1974-10,89
1974-11,105
1974-12,150
1975-01,153
1975-02,60
1975-03,157
1975-04,107
1975-05,80
1975-06,92
1975-07,86
1975-08,111
1975-09,84
1975-10,97
1975-11,75
1975-12,166
1976-01,370
1976-02,48
1976-03,63
1976-04,98
1976-05,54
1976-06,77
1976-07,116
1976-08,87
1976-09,76
1976-10,85
1976-11,70
1976-12,116
1977-01,363
1977-02,58
1977-03,81
1977-04,95
1977-05,55
1977-06,75
1977-07,95
1977-08,64
1977-09,104
1977-10,124
1977-11,51
1977-12,89
1978-01,411
1978-02,53
1978-03,71
1978-04,80
1978-05,62
1978-06,82
1978-07,109
1978-08,70
1978-09,67
1978-10,103
1978-11,76
1978-12,86
1979-01,405
1979-02,54
1979-03,75
1979-04,92
1979-05,68
1979-06,75
1979-07,84
1979-08,62
1979-09,76
1979-10,120
1979-11,61
1979-12,180
1980-01,314
1980-02,59
1980-03,73
1980-04,132
1980-05,57
1980-06,69
1980-07,93
1980-08,75
1980-09,106
1980-10,142
1980-11,68
1980-12,133
1981-01,406
