Date,Segmentación de Clientes
1950-01,9
1950-02,1
1950-03,3
1950-04,9
1950-05,1
1950-06,2
1950-07,14
1950-08,3
1950-09,2
1950-10,14
1950-11,8
1950-12,3
1951-01,10
1951-02,3
1951-03,4
1951-04,10
1951-05,3
1951-06,2
1951-07,9
1951-08,1
1951-09,1
1951-10,8
1951-11,5
1951-12,1
1952-01,17
1952-02,2
1952-03,2
1952-04,8
1952-05,2
1952-06,1
1952-07,11
1952-08,1
1952-09,1
1952-10,5
1952-11,3
1952-12,9
1953-01,12
1953-02,4
1953-03,4
1953-04,11
1953-05,4
1953-06,2
1953-07,2
1953-08,2
1953-09,1
1953-10,15
1953-11,1
1953-12,7
1954-01,9
1954-02,4
1954-03,4
1954-04,7
1954-05,3
1954-06,4
1954-07,6
1954-08,4
1954-09,4
1954-10,6
1954-11,6
1954-12,8
1955-01,17
1955-02,5
1955-03,8
1955-04,5
1955-05,9
1955-06,4
1955-07,10
1955-08,3
1955-09,2
1955-10,9
1955-11,4
1955-12,15
1956-01,15
1956-02,4
1956-03,5
1956-04,8
1956-05,4
1956-06,11
1956-07,9
1956-08,2
1956-09,3
1956-10,14
1956-11,0
1956-12,8
1957-01,7
1957-02,3
1957-03,10
1957-04,12
1957-05,3
1957-06,5
1957-07,15
1957-08,4
1957-09,8
1957-10,11
1957-11,6
1957-12,4
1958-01,10
1958-02,6
1958-03,3
1958-04,16
1958-05,4
1958-06,4
1958-07,9
1958-08,7
1958-09,5
1958-10,16
1958-11,4
1958-12,4
1959-01,13
1959-02,3
1959-03,6
1959-04,9
1959-05,1
1959-06,16
1959-07,10
1959-08,5
1959-09,8
1959-10,10
1959-11,6
1959-12,8
1960-01,11
1960-02,6
1960-03,5
1960-04,10
1960-05,4
1960-06,7
1960-07,11
1960-08,2
1960-09,15
1960-10,14
1960-11,5
1960-12,13
1961-01,17
1961-02,8
1961-03,9
1961-04,12
1961-05,9
1961-06,9
1961-07,16
1961-08,11
1961-09,8
1961-10,9
1961-11,8
1961-12,19
1962-01,24
1962-02,5
1962-03,11
1962-04,16
1962-05,4
1962-06,9
1962-07,15
1962-08,5
1962-09,5
1962-10,14
1962-11,8
1962-12,17
1963-01,14
