Year,Estrategias de Crecimiento
1950-01,7.89E-11
1951-01,0.00E+00
1952-01,8.27E-11
1953-01,4.05E-10
1954-01,0.00E+00
1955-01,0.00E+00
1956-01,7.64E-11
1957-01,0.00E+00
1958-01,1.48E-10
1959-01,2.74E-10
1960-01,6.43E-11
1961-01,9.00E-10
1962-01,1.42E-09
1963-01,1.02E-09
1964-01,1.01E-09
1965-01,5.72E-10
1966-01,7.26E-10
1967-01,1.45E-09
1968-01,2.50E-09
1969-01,4.24E-09
1970-01,1.21E-08
1971-01,7.92E-09
1972-01,7.21E-09
1973-01,1.16E-08
1974-01,1.70E-08
1975-01,1.59E-08
1976-01,1.84E-08
1977-01,1.66E-08
1978-01,1.70E-08
1979-01,1.40E-08
1980-01,1.64E-08
1981-01,2.18E-08
1982-01,1.68E-08
1983-01,1.73E-08
1984-01,1.75E-08
1985-01,1.98E-08
1986-01,2.12E-08
1987-01,2.79E-08
1988-01,2.04E-08
1989-01,2.30E-08
1990-01,2.95E-08
1991-01,2.55E-08
1992-01,3.47E-08
1993-01,2.56E-08
1994-01,3.16E-08
1995-01,3.72E-08
1996-01,4.24E-08
1997-01,4.76E-08
1998-01,5.14E-08
1999-01,5.86E-08
2000-01,5.72E-08
2001-01,5.71E-08
2002-01,8.74E-08
2003-01,6.17E-08
2004-01,9.23E-08
2005-01,9.26E-08
2006-01,8.85E-08
2007-01,6.15E-08
2008-01,6.51E-08
2009-01,6.28E-08
2010-01,7.28E-08
2011-01,7.37E-08
2012-01,5.39E-08
2013-01,5.67E-08
2014-01,4.68E-08
2015-01,5.75E-08
2016-01,5.95E-08
2017-01,4.91E-08
2018-01,4.56E-08
2019-01,5.73E-08
2020-01,4.55E-08
2021-01,5.05E-08
2022-01,4.79E-08
