Year,Experiencia del Cliente
1950-01,2.42E-08
1951-01,2.61E-08
1952-01,3.53E-08
1953-01,3.02E-08
1954-01,3.92E-08
1955-01,2.85E-08
1956-01,3.06E-08
1957-01,3.12E-08
1958-01,3.11E-08
1959-01,2.68E-08
1960-01,2.79E-08
1961-01,2.81E-08
1962-01,2.89E-08
1963-01,2.29E-08
1964-01,2.61E-08
1965-01,1.22E-08
1966-01,8.34E-09
1967-01,8.55E-09
1968-01,1.14E-08
1969-01,1.14E-08
1970-01,7.41E-09
1971-01,1.50E-08
1972-01,7.98E-09
1973-01,1.26E-08
1974-01,1.43E-08
1975-01,1.24E-08
1976-01,8.59E-09
1977-01,1.43E-08
1978-01,1.45E-08
1979-01,1.10E-08
1980-01,1.73E-08
1981-01,1.32E-08
1982-01,1.95E-08
1983-01,1.80E-08
1984-01,2.00E-08
1985-01,2.97E-08
1986-01,8.64E-08
1987-01,6.25E-08
1988-01,8.69E-08
1989-01,9.66E-08
1990-01,1.26E-07
1991-01,1.65E-07
1992-01,1.87E-07
1993-01,2.17E-07
1994-01,2.13E-07
1995-01,2.79E-07
1996-01,3.03E-07
1997-01,2.60E-07
1998-01,3.15E-07
1999-01,3.94E-07
2000-01,3.79E-07
2001-01,4.13E-07
2002-01,4.21E-07
2003-01,4.33E-07
2004-01,4.40E-07
2005-01,3.96E-07
2006-01,4.13E-07
2007-01,3.83E-07
2008-01,3.90E-07
2009-01,3.35E-07
2010-01,3.51E-07
2011-01,3.39E-07
2012-01,3.65E-07
2013-01,3.34E-07
2014-01,3.22E-07
2015-01,2.84E-07
2016-01,2.63E-07
2017-01,2.33E-07
2018-01,2.26E-07
2019-01,2.34E-07
2020-01,2.37E-07
2021-01,2.78E-07
2022-01,2.55E-07
