Year,Gestión del Conocimiento
1950-01,1.58E-10
1951-01,0.00E+00
1952-01,0.00E+00
1953-01,8.10E-11
1954-01,3.86E-09
1955-01,1.44E-09
1956-01,4.58E-10
1957-01,0.00E+00
1958-01,7.76E-09
1959-01,3.42E-10
1960-01,1.29E-10
1961-01,3.00E-09
1962-01,0.00E+00
1963-01,1.24E-09
1964-01,1.01E-09
1965-01,8.89E-10
1966-01,6.65E-09
1967-01,3.19E-08
1968-01,3.37E-09
1969-01,1.49E-09
1970-01,3.14E-09
1971-01,1.29E-08
1972-01,2.40E-09
1973-01,1.11E-09
1974-01,1.19E-08
1975-01,2.30E-09
1976-01,4.37E-09
1977-01,1.27E-08
1978-01,8.53E-09
1979-01,1.64E-08
1980-01,1.04E-08
1981-01,1.16E-08
1982-01,1.03E-08
1983-01,1.68E-08
1984-01,2.56E-08
1985-01,3.61E-08
1986-01,2.90E-08
1987-01,2.35E-08
1988-01,2.06E-08
1989-01,2.75E-08
1990-01,3.42E-08
1991-01,3.96E-08
1992-01,3.61E-08
1993-01,5.48E-08
1994-01,5.46E-08
1995-01,3.81E-08
1996-01,7.19E-08
1997-01,1.06E-07
1998-01,1.78E-07
1999-01,2.96E-07
2000-01,3.95E-07
2001-01,4.62E-07
2002-01,5.02E-07
2003-01,6.34E-07
2004-01,6.10E-07
2005-01,7.45E-07
2006-01,6.72E-07
2007-01,7.35E-07
2008-01,1.02E-06
2009-01,8.68E-07
2010-01,1.00E-06
2011-01,8.90E-07
2012-01,8.51E-07
2013-01,7.47E-07
2014-01,6.30E-07
2015-01,6.54E-07
2016-01,7.32E-07
2017-01,7.50E-07
2018-01,8.23E-07
2019-01,7.68E-07
2020-01,6.14E-07
2021-01,7.44E-07
2022-01,6.48E-07
