Year,Optimización de Precios
1950-01,0.00E+00
1951-01,0.00E+00
1952-01,0.00E+00
1953-01,0.00E+00
1954-01,3.35E-09
1955-01,0.00E+00
1956-01,6.11E-10
1957-01,7.23E-11
1958-01,1.48E-10
1959-01,3.42E-10
1960-01,5.79E-10
1961-01,3.00E-10
1962-01,5.90E-11
1963-01,1.13E-10
1964-01,4.72E-10
1965-01,5.72E-10
1966-01,1.21E-10
1967-01,2.79E-10
1968-01,2.61E-09
1969-01,3.58E-09
1970-01,2.53E-09
1971-01,4.15E-09
1972-01,3.87E-09
1973-01,1.20E-08
1974-01,7.71E-09
1975-01,1.17E-08
1976-01,1.29E-08
1977-01,1.07E-08
1978-01,9.02E-09
1979-01,1.81E-08
1980-01,1.28E-08
1981-01,1.43E-08
1982-01,1.07E-08
1983-01,1.23E-08
1984-01,8.93E-09
1985-01,1.53E-08
1986-01,1.50E-08
1987-01,1.78E-08
1988-01,1.65E-08
1989-01,1.50E-08
1990-01,1.17E-08
1991-01,8.68E-09
1992-01,1.17E-08
1993-01,8.72E-09
1994-01,9.32E-09
1995-01,9.67E-09
1996-01,9.25E-09
1997-01,1.51E-08
1998-01,7.28E-09
1999-01,8.84E-09
2000-01,1.16E-08
2001-01,1.80E-08
2002-01,1.37E-08
2003-01,2.58E-08
2004-01,1.54E-08
2005-01,1.31E-08
2006-01,2.37E-08
2007-01,2.14E-08
2008-01,1.70E-08
2009-01,1.59E-08
2010-01,1.81E-08
2011-01,2.13E-08
2012-01,2.22E-08
2013-01,1.54E-08
2014-01,1.55E-08
2015-01,1.62E-08
2016-01,1.71E-08
2017-01,1.40E-08
2018-01,1.91E-08
2019-01,1.59E-08
2020-01,1.52E-08
2021-01,2.21E-08
2022-01,2.07E-08
