Year,Outsourcing
1950-01,8.97E-11
1951-01,1.05E-09
1952-01,3.75E-10
1953-01,1.10E-08
1954-01,2.54E-09
1955-01,8.06E-10
1956-01,0.00E+00
1957-01,5.68E-10
1958-01,4.41E-09
1959-01,1.54E-10
1960-01,1.09E-09
1961-01,1.63E-09
1962-01,5.99E-10
1963-01,3.84E-10
1964-01,2.52E-09
1965-01,2.44E-09
1966-01,1.64E-09
1967-01,2.33E-09
1968-01,2.50E-09
1969-01,2.10E-09
1970-01,1.20E-08
1971-01,6.97E-09
1972-01,3.11E-09
1973-01,1.02E-09
1974-01,7.93E-09
1975-01,3.01E-09
1976-01,6.82E-10
1977-01,4.44E-09
1978-01,5.01E-09
1979-01,5.12E-09
1980-01,4.95E-09
1981-01,2.68E-09
1982-01,5.43E-08
1983-01,1.33E-08
1984-01,9.75E-09
1985-01,6.56E-09
1986-01,2.01E-08
1987-01,2.71E-08
1988-01,2.27E-08
1989-01,5.12E-08
1990-01,3.83E-08
1991-01,8.71E-08
1992-01,1.18E-07
1993-01,1.47E-07
1994-01,2.16E-07
1995-01,2.85E-07
1996-01,4.33E-07
1997-01,5.66E-07
1998-01,6.63E-07
1999-01,6.53E-07
2000-01,6.13E-07
2001-01,7.68E-07
2002-01,7.87E-07
2003-01,7.71E-07
2004-01,1.09E-06
2005-01,1.22E-06
2006-01,1.40E-06
2007-01,1.40E-06
2008-01,1.25E-06
2009-01,1.06E-06
2010-01,9.11E-07
2011-01,7.86E-07
2012-01,7.80E-07
2013-01,7.13E-07
2014-01,7.05E-07
2015-01,7.21E-07
2016-01,8.63E-07
2017-01,6.11E-07
2018-01,5.24E-07
2019-01,4.82E-07
2020-01,4.79E-07
2021-01,5.41E-07
2022-01,4.90E-07
