Year,Planificación Estratégica
1950-01,3.16E-09
1951-01,5.19E-09
1952-01,5.30E-09
1953-01,2.42E-08
1954-01,3.15E-08
1955-01,4.06E-08
1956-01,1.53E-08
1957-01,1.32E-08
1958-01,4.96E-08
1959-01,2.38E-08
1960-01,2.48E-08
1961-01,3.19E-08
1962-01,1.56E-08
1963-01,6.26E-08
1964-01,6.34E-08
1965-01,3.91E-08
1966-01,3.28E-08
1967-01,1.09E-07
1968-01,6.39E-08
1969-01,5.60E-08
1970-01,5.58E-08
1971-01,7.99E-08
1972-01,6.54E-08
1973-01,9.14E-08
1974-01,1.19E-07
1975-01,1.07E-07
1976-01,1.20E-07
1977-01,1.76E-07
1978-01,1.99E-07
1979-01,2.38E-07
1980-01,2.71E-07
1981-01,3.24E-07
1982-01,4.50E-07
1983-01,5.39E-07
1984-01,6.86E-07
1985-01,7.60E-07
1986-01,8.58E-07
1987-01,9.37E-07
1988-01,9.81E-07
1989-01,9.52E-07
1990-01,9.96E-07
1991-01,9.89E-07
1992-01,1.01E-06
1993-01,1.06E-06
1994-01,1.24E-06
1995-01,1.32E-06
1996-01,1.28E-06
1997-01,1.40E-06
1998-01,1.54E-06
1999-01,1.33E-06
2000-01,1.43E-06
2001-01,1.42E-06
2002-01,1.37E-06
2003-01,1.42E-06
2004-01,1.46E-06
2005-01,1.53E-06
2006-01,1.42E-06
2007-01,1.52E-06
2008-01,1.61E-06
2009-01,1.58E-06
2010-01,1.35E-06
2011-01,1.18E-06
2012-01,1.26E-06
2013-01,1.16E-06
2014-01,1.12E-06
2015-01,1.25E-06
2016-01,1.37E-06
2017-01,1.37E-06
2018-01,1.29E-06
2019-01,1.20E-06
2020-01,9.20E-07
2021-01,1.12E-06
2022-01,9.47E-07
