Year,Planificación de Escenarios
1950-01,0.00E+00
1951-01,2.13E-09
1952-01,0.00E+00
1953-01,4.05E-10
1954-01,1.09E-09
1955-01,4.79E-10
1956-01,7.64E-11
1957-01,7.23E-10
1958-01,8.87E-10
1959-01,5.48E-10
1960-01,5.79E-10
1961-01,4.26E-09
1962-01,2.24E-09
1963-01,1.07E-09
1964-01,3.37E-09
1965-01,3.75E-09
1966-01,5.93E-09
1967-01,2.21E-08
1968-01,9.13E-09
1969-01,1.01E-08
1970-01,8.64E-09
1971-01,1.34E-08
1972-01,2.18E-08
1973-01,3.49E-08
1974-01,3.13E-08
1975-01,4.00E-08
1976-01,5.24E-08
1977-01,5.38E-08
1978-01,5.51E-08
1979-01,6.13E-08
1980-01,7.03E-08
1981-01,1.20E-07
1982-01,9.16E-08
1983-01,7.67E-08
1984-01,8.84E-08
1985-01,8.08E-08
1986-01,6.70E-08
1987-01,7.46E-08
1988-01,7.15E-08
1989-01,7.44E-08
1990-01,8.89E-08
1991-01,8.17E-08
1992-01,7.02E-08
1993-01,5.76E-08
1994-01,5.12E-08
1995-01,5.71E-08
1996-01,6.16E-08
1997-01,6.23E-08
1998-01,8.22E-08
1999-01,1.36E-07
2000-01,6.61E-08
2001-01,7.67E-08
2002-01,7.78E-08
2003-01,7.87E-08
2004-01,6.38E-08
2005-01,7.36E-08
2006-01,7.62E-08
2007-01,9.06E-08
2008-01,9.02E-08
2009-01,8.81E-08
2010-01,9.65E-08
2011-01,1.01E-07
2012-01,8.96E-08
2013-01,8.50E-08
2014-01,6.83E-08
2015-01,8.89E-08
2016-01,9.10E-08
2017-01,8.57E-08
2018-01,7.61E-08
2019-01,7.61E-08
2020-01,6.49E-08
2021-01,8.50E-08
2022-01,6.60E-08
