Year,Reingeniería de Procesos
1950-01,0.00E+00
1951-01,3.82E-10
1952-01,1.13E-09
1953-01,8.18E-10
1954-01,6.59E-10
1955-01,5.37E-10
1956-01,3.44E-10
1957-01,1.70E-09
1958-01,1.65E-08
1959-01,5.38E-10
1960-01,8.53E-10
1961-01,1.36E-10
1962-01,2.66E-10
1963-01,3.20E-10
1964-01,6.12E-10
1965-01,1.27E-09
1966-01,1.44E-09
1967-01,9.43E-10
1968-01,7.36E-09
1969-01,3.83E-09
1970-01,1.55E-09
1971-01,5.26E-09
1972-01,5.42E-09
1973-01,8.20E-09
1974-01,1.96E-09
1975-01,1.71E-09
1976-01,1.81E-09
1977-01,5.70E-09
1978-01,3.06E-09
1979-01,8.71E-10
1980-01,1.50E-09
1981-01,1.98E-09
1982-01,3.19E-09
1983-01,2.27E-09
1984-01,1.65E-09
1985-01,4.50E-09
1986-01,1.09E-08
1987-01,5.04E-09
1988-01,10.00E-09
1989-01,7.77E-09
1990-01,1.67E-08
1991-01,4.32E-08
1992-01,8.07E-08
1993-01,2.22E-07
1994-01,5.66E-07
1995-01,8.55E-07
1996-01,9.73E-07
1997-01,7.23E-07
1998-01,6.25E-07
1999-01,5.49E-07
2000-01,4.40E-07
2001-01,4.23E-07
2002-01,3.85E-07
2003-01,3.91E-07
2004-01,3.28E-07
2005-01,3.26E-07
2006-01,3.42E-07
2007-01,2.90E-07
2008-01,2.92E-07
2009-01,2.88E-07
2010-01,3.05E-07
2011-01,2.72E-07
2012-01,3.34E-07
2013-01,2.50E-07
2014-01,2.12E-07
2015-01,1.74E-07
2016-01,2.07E-07
2017-01,1.75E-07
2018-01,1.74E-07
2019-01,1.78E-07
2020-01,1.17E-07
2021-01,1.45E-07
2022-01,1.03E-07
