Month,Lealtad del Cliente
2004-01,82
2004-02,83
2004-03,100
2004-04,87
2004-05,87
2004-06,93
2004-07,79
2004-08,84
2004-09,76
2004-10,77
2004-11,89
2004-12,69
2005-01,72
2005-02,76
2005-03,78
2005-04,72
2005-05,68
2005-06,57
2005-07,53
2005-08,61
2005-09,62
2005-10,74
2005-11,69
2005-12,55
2006-01,59
2006-02,59
2006-03,62
2006-04,59
2006-05,61
2006-06,58
2006-07,57
2006-08,50
2006-09,57
2006-10,52
2006-11,55
2006-12,51
2007-01,48
2007-02,54
2007-03,57
2007-04,53
2007-05,56
2007-06,45
2007-07,46
2007-08,46
2007-09,46
2007-10,49
2007-11,51
2007-12,41
2008-01,45
2008-02,50
2008-03,52
2008-04,54
2008-05,43
2008-06,41
2008-07,39
2008-08,42
2008-09,42
2008-10,44
2008-11,44
2008-12,37
2009-01,39
2009-02,46
2009-03,45
2009-04,49
2009-05,44
2009-06,41
2009-07,41
2009-08,39
2009-09,41
2009-10,46
2009-11,49
2009-12,36
2010-01,42
2010-02,46
2010-03,48
2010-04,46
2010-05,46
2010-06,42
2010-07,36
2010-08,40
2010-09,42
2010-10,44
2010-11,40
2010-12,36
2011-01,41
2011-02,42
2011-03,46
2011-04,41
2011-05,40
2011-06,38
2011-07,36
2011-08,38
2011-09,41
2011-10,45
2011-11,45
2011-12,37
2012-01,39
2012-02,41
2012-03,42
2012-04,44
2012-05,41
2012-06,36
2012-07,38
2012-08,38
2012-09,41
2012-10,44
2012-11,43
2012-12,35
2013-01,44
2013-02,47
2013-03,43
2013-04,45
2013-05,39
2013-06,37
2013-07,38
2013-08,34
2013-09,41
2013-10,46
2013-11,43
2013-12,35
2014-01,38
2014-02,44
2014-03,44
2014-04,44
2014-05,39
2014-06,38
2014-07,37
2014-08,37
2014-09,43
2014-10,42
2014-11,44
2014-12,36
2015-01,38
2015-02,40
2015-03,45
2015-04,44
2015-05,39
2015-06,38
2015-07,34
2015-08,38
2015-09,42
2015-10,42
2015-11,40
2015-12,34
2016-01,38
2016-02,42
2016-03,43
2016-04,46
2016-05,42
2016-06,41
2016-07,36
2016-08,37
2016-09,45
2016-10,45
2016-11,45
2016-12,40
2017-01,52
2017-02,49
2017-03,49
2017-04,46
2017-05,48
2017-06,38
2017-07,40
2017-08,39
2017-09,46
2017-10,46
2017-11,47
2017-12,42
2018-01,41
2018-02,48
2018-03,46
2018-04,47
2018-05,43
2018-06,41
2018-07,42
2018-08,42
2018-09,43
2018-10,50
2018-11,48
2018-12,39
2019-01,40
2019-02,47
2019-03,48
2019-04,47
2019-05,43
2019-06,41
2019-07,40
2019-08,40
2019-09,46
2019-10,46
2019-11,41
2019-12,39
2020-01,44
2020-02,47
2020-03,46
2020-04,41
2020-05,44
2020-06,40
2020-07,41
2020-08,42
2020-09,46
2020-10,48
2020-11,44
2020-12,42
2021-01,44
2021-02,42
2021-03,43
2021-04,42
2021-05,44
2021-06,41
2021-07,37
2021-08,37
2021-09,46
2021-10,46
2021-11,48
2021-12,42
2022-01,48
2022-02,53
2022-03,63
2022-04,61
2022-05,54
2022-06,48
2022-07,42
2022-08,41
2022-09,50
2022-10,48
2022-11,53
2022-12,46
2023-01,47
2023-02,47
2023-03,53
2023-04,45
2023-05,50
2023-06,44
2023-07,41
2023-08,43
2023-09,57
2023-10,57
2023-11,51
2023-12,44
2024-01,51
2024-02,57
2024-03,56
2024-04,55
2024-05,45
2024-06,45
2024-07,42
2024-08,42
2024-09,47
2024-10,54
2024-11,49
2024-12,42
2025-01,48
2025-02,61
