Month,Segmentación de Clientes
2004-01,72
2004-02,82
2004-03,96
2004-04,96
2004-05,83
2004-06,58
2004-07,61
2004-08,64
2004-09,82
2004-10,97
2004-11,100
2004-12,71
2005-01,65
2005-02,82
2005-03,77
2005-04,85
2005-05,72
2005-06,60
2005-07,47
2005-08,52
2005-09,60
2005-10,87
2005-11,73
2005-12,53
2006-01,48
2006-02,59
2006-03,72
2006-04,70
2006-05,51
2006-06,40
2006-07,40
2006-08,44
2006-09,55
2006-10,62
2006-11,66
2006-12,45
2007-01,41
2007-02,46
2007-03,56
2007-04,51
2007-05,47
2007-06,42
2007-07,38
2007-08,42
2007-09,47
2007-10,57
2007-11,63
2007-12,46
2008-01,42
2008-02,49
2008-03,50
2008-04,50
2008-05,45
2008-06,36
2008-07,35
2008-08,36
2008-09,42
2008-10,49
2008-11,59
2008-12,40
2009-01,37
2009-02,47
2009-03,51
2009-04,47
2009-05,47
2009-06,34
2009-07,32
2009-08,36
2009-09,46
2009-10,56
2009-11,63
2009-12,46
2010-01,41
2010-02,48
2010-03,61
2010-04,55
2010-05,48
2010-06,34
2010-07,34
2010-08,43
2010-09,47
2010-10,54
2010-11,59
2010-12,40
2011-01,42
2011-02,45
2011-03,56
2011-04,51
2011-05,46
2011-06,34
2011-07,34
2011-08,37
2011-09,47
2011-10,54
2011-11,55
2011-12,41
2012-01,38
2012-02,47
2012-03,50
2012-04,46
2012-05,48
2012-06,35
2012-07,32
2012-08,35
2012-09,48
2012-10,57
2012-11,55
2012-12,40
2013-01,38
2013-02,46
2013-03,49
2013-04,49
2013-05,40
2013-06,34
2013-07,33
2013-08,34
2013-09,47
2013-10,50
2013-11,58
2013-12,38
2014-01,37
2014-02,49
2014-03,47
2014-04,44
2014-05,41
2014-06,35
2014-07,32
2014-08,34
2014-09,47
2014-10,52
2014-11,52
2014-12,41
2015-01,37
2015-02,44
2015-03,47
2015-04,46
2015-05,41
2015-06,34
2015-07,30
2015-08,32
2015-09,42
2015-10,45
2015-11,46
2015-12,39
2016-01,36
2016-02,44
2016-03,45
2016-04,46
2016-05,43
2016-06,33
2016-07,28
2016-08,32
2016-09,45
2016-10,51
2016-11,50
2016-12,40
2017-01,35
2017-02,44
2017-03,48
2017-04,43
2017-05,43
2017-06,32
2017-07,31
2017-08,34
2017-09,44
2017-10,51
2017-11,52
2017-12,44
2018-01,40
2018-02,48
2018-03,48
2018-04,45
2018-05,43
2018-06,35
2018-07,34
2018-08,33
2018-09,43
2018-10,63
2018-11,58
2018-12,49
2019-01,46
2019-02,57
2019-03,52
2019-04,45
2019-05,43
2019-06,35
2019-07,34
2019-08,33
2019-09,47
2019-10,49
2019-11,57
2019-12,41
2020-01,38
2020-02,48
2020-03,45
2020-04,39
2020-05,38
2020-06,37
2020-07,32
2020-08,34
2020-09,59
2020-10,58
2020-11,52
2020-12,43
2021-01,37
2021-02,46
2021-03,53
2021-04,43
2021-05,46
2021-06,44
2021-07,34
2021-08,34
2021-09,48
2021-10,54
2021-11,49
2021-12,43
2022-01,46
2022-02,69
2022-03,72
2022-04,67
2022-05,64
2022-06,50
2022-07,38
2022-08,35
2022-09,60
2022-10,64
2022-11,68
2022-12,52
2023-01,50
2023-02,56
2023-03,61
2023-04,52
2023-05,54
2023-06,42
2023-07,34
2023-08,32
2023-09,50
2023-10,59
2023-11,54
2023-12,45
2024-01,38
2024-02,48
2024-03,49
2024-04,46
2024-05,38
2024-06,31
2024-07,27
2024-08,33
2024-09,39
2024-10,42
2024-11,39
2024-12,31
2025-01,30
2025-02,43
