Year,Alianzas y Capital de Riesgo
1950-01,7.89E-11
1951-01,2.55E-10
1952-01,0.00E+00
1953-01,1.62E-10
1954-01,5.87E-10
1955-01,1.52E-09
1956-01,6.87E-10
1957-01,9.40E-10
1958-01,4.21E-09
1959-01,3.42E-10
1960-01,1.80E-09
1961-01,9.60E-10
1962-01,1.77E-10
1963-01,7.90E-10
1964-01,2.02E-10
1965-01,2.35E-09
1966-01,1.81E-10
1967-01,1.28E-08
1968-01,4.89E-10
1969-01,5.50E-11
1970-01,4.95E-10
1971-01,1.87E-09
1972-01,5.90E-10
1973-01,8.75E-10
1974-01,8.11E-09
1975-01,1.21E-09
1976-01,1.16E-09
1977-01,1.44E-09
1978-01,1.78E-09
1979-01,1.63E-09
1980-01,1.38E-09
1981-01,2.56E-09
1982-01,3.64E-09
1983-01,2.41E-09
1984-01,7.25E-09
1985-01,5.70E-09
1986-01,9.12E-09
1987-01,1.09E-08
1988-01,1.70E-08
1989-01,2.03E-08
1990-01,3.01E-08
1991-01,5.75E-08
1992-01,9.34E-08
1993-01,1.16E-07
1994-01,1.17E-07
1995-01,1.39E-07
1996-01,1.44E-07
1997-01,1.39E-07
1998-01,1.75E-07
1999-01,1.67E-07
2000-01,1.83E-07
2001-01,1.86E-07
2002-01,1.67E-07
2003-01,1.54E-07
2004-01,1.52E-07
2005-01,1.45E-07
2006-01,1.27E-07
2007-01,1.39E-07
2008-01,1.25E-07
2009-01,1.16E-07
2010-01,1.00E-07
2011-01,8.60E-08
2012-01,1.01E-07
2013-01,9.10E-08
2014-01,9.42E-08
2015-01,8.24E-08
2016-01,8.85E-08
2017-01,7.73E-08
2018-01,8.69E-08
2019-01,8.33E-08
2020-01,5.97E-08
2021-01,7.10E-08
2022-01,5.94E-08
