Year,Fusiones y Adquisiciones
1950-01,9.96E-09
1951-01,6.49E-09
1952-01,3.94E-09
1953-01,1.06E-08
1954-01,7.81E-09
1955-01,3.45E-08
1956-01,2.37E-08
1957-01,3.08E-08
1958-01,3.05E-08
1959-01,2.81E-08
1960-01,2.70E-08
1961-01,3.03E-08
1962-01,3.46E-08
1963-01,3.76E-08
1964-01,3.89E-08
1965-01,4.13E-08
1966-01,3.33E-08
1967-01,6.81E-08
1968-01,5.52E-08
1969-01,8.34E-08
1970-01,8.11E-08
1971-01,7.06E-08
1972-01,6.53E-08
1973-01,8.14E-08
1974-01,9.38E-08
1975-01,7.26E-08
1976-01,6.92E-08
1977-01,6.91E-08
1978-01,9.75E-08
1979-01,8.12E-08
1980-01,1.04E-07
1981-01,7.50E-08
1982-01,4.13E-07
1983-01,1.00E-07
1984-01,1.46E-07
1985-01,1.47E-07
1986-01,3.82E-07
1987-01,2.18E-07
1988-01,3.30E-07
1989-01,3.80E-07
1990-01,2.34E-07
1991-01,4.68E-07
1992-01,1.19E-06
1993-01,1.05E-06
1994-01,9.86E-07
1995-01,3.81E-07
1996-01,1.19E-06
1997-01,7.44E-07
1998-01,7.54E-07
1999-01,1.50E-06
2000-01,5.66E-07
2001-01,1.58E-06
2002-01,1.60E-06
2003-01,1.37E-06
2004-01,7.73E-07
2005-01,5.24E-07
2006-01,4.33E-07
2007-01,6.90E-07
2008-01,3.76E-07
2009-01,3.64E-07
2010-01,2.04E-07
2011-01,2.24E-07
2012-01,1.31E-07
2013-01,1.15E-07
2014-01,1.20E-07
2015-01,1.85E-07
2016-01,1.82E-07
2017-01,1.28E-07
2018-01,2.02E-07
2019-01,1.80E-07
2020-01,2.13E-07
2021-01,1.37E-07
2022-01,8.73E-08
