Year,Gestión del Cambio
1950-01,1.58E-10
1951-01,1.70E-10
1952-01,0.00E+00
1953-01,5.67E-10
1954-01,1.68E-10
1955-01,0.00E+00
1956-01,2.29E-10
1957-01,0.00E+00
1958-01,9.61E-10
1959-01,4.79E-10
1960-01,1.93E-10
1961-01,6.00E-11
1962-01,2.95E-10
1963-01,1.30E-09
1964-01,5.40E-10
1965-01,8.26E-10
1966-01,1.27E-09
1967-01,7.80E-10
1968-01,5.43E-10
1969-01,1.10E-09
1970-01,4.35E-09
1971-01,1.91E-09
1972-01,4.91E-09
1973-01,1.69E-09
1974-01,3.24E-09
1975-01,9.93E-10
1976-01,2.01E-09
1977-01,1.47E-09
1978-01,3.55E-09
1979-01,3.48E-09
1980-01,3.16E-09
1981-01,4.10E-09
1982-01,8.91E-09
1983-01,5.36E-09
1984-01,8.92E-09
1985-01,1.14E-08
1986-01,7.24E-09
1987-01,1.30E-08
1988-01,1.72E-08
1989-01,1.54E-08
1990-01,2.63E-08
1991-01,2.50E-08
1992-01,3.95E-08
1993-01,3.81E-08
1994-01,8.39E-08
1995-01,7.05E-08
1996-01,7.87E-08
1997-01,9.24E-08
1998-01,8.37E-08
1999-01,1.12E-07
2000-01,1.32E-07
2001-01,1.08E-07
2002-01,1.50E-07
2003-01,1.59E-07
2004-01,1.53E-07
2005-01,1.74E-07
2006-01,1.69E-07
2007-01,2.38E-07
2008-01,2.32E-07
2009-01,2.64E-07
2010-01,2.67E-07
2011-01,2.86E-07
2012-01,3.01E-07
2013-01,3.97E-07
2014-01,2.62E-07
2015-01,2.73E-07
2016-01,2.88E-07
2017-01,3.52E-07
2018-01,2.96E-07
2019-01,2.69E-07
2020-01,2.53E-07
2021-01,2.72E-07
2022-01,2.86E-07
