Year,Innovación Colaborativa
1950-01,2.37E-10
1951-01,3.40E-10
1952-01,0.00E+00
1953-01,0.00E+00
1954-01,6.71E-10
1955-01,1.92E-09
1956-01,3.82E-10
1957-01,5.06E-10
1958-01,2.37E-09
1959-01,1.37E-10
1960-01,5.79E-10
1961-01,1.20E-10
1962-01,4.13E-10
1963-01,5.64E-11
1964-01,6.75E-11
1965-01,6.35E-11
1966-01,6.05E-11
1967-01,4.46E-10
1968-01,1.63E-10
1969-01,1.05E-09
1970-01,1.71E-09
1971-01,2.66E-10
1972-01,4.18E-10
1973-01,3.17E-10
1974-01,3.19E-10
1975-01,1.25E-09
1976-01,3.01E-10
1977-01,9.30E-10
1978-01,4.44E-10
1979-01,8.22E-10
1980-01,7.89E-10
1981-01,3.16E-09
1982-01,3.37E-10
1983-01,3.15E-09
1984-01,1.10E-09
1985-01,8.90E-10
1986-01,2.24E-09
1987-01,3.32E-09
1988-01,2.36E-09
1989-01,2.93E-09
1990-01,3.31E-09
1991-01,4.32E-09
1992-01,3.60E-09
1993-01,1.71E-09
1994-01,3.17E-09
1995-01,5.07E-09
1996-01,2.54E-09
1997-01,5.17E-09
1998-01,3.59E-09
1999-01,4.42E-09
2000-01,4.36E-09
2001-01,6.03E-09
2002-01,1.01E-08
2003-01,1.22E-08
2004-01,1.42E-08
2005-01,1.96E-08
2006-01,6.85E-08
2007-01,3.87E-08
2008-01,7.02E-08
2009-01,9.68E-08
2010-01,1.80E-07
2011-01,1.68E-07
2012-01,1.30E-07
2013-01,1.42E-07
2014-01,2.14E-07
2015-01,2.15E-07
2016-01,3.79E-07
2017-01,3.23E-07
2018-01,4.24E-07
2019-01,5.54E-07
2020-01,4.20E-07
2021-01,6.12E-07
2022-01,7.44E-07
