Date,Cuadro de Mando Integral
1950-01,11
1950-02,2
1950-03,4
1950-04,6
1950-05,7
1950-06,8
1950-07,5
1950-08,5
1950-09,9
1950-10,15
1950-11,2
1950-12,22
1951-01,11
1951-02,6
1951-03,4
1951-04,9
1951-05,2
1951-06,4
1951-07,14
1951-08,6
1951-09,5
1951-10,11
1951-11,8
1951-12,14
1952-01,9
1952-02,5
1952-03,4
1952-04,12
1952-05,2
1952-06,4
1952-07,12
1952-08,4
1952-09,1
1952-10,6
1952-11,9
1952-12,11
1953-01,16
1953-02,5
1953-03,9
1953-04,6
1953-05,9
1953-06,4
1953-07,8
1953-08,4
1953-09,11
1953-10,15
1953-11,6
1953-12,4
1954-01,17
1954-02,9
1954-03,9
1954-04,23
1954-05,7
1954-06,5
1954-07,6
1954-08,14
1954-09,2
1954-10,13
1954-11,15
1954-12,16
1955-01,17
1955-02,6
1955-03,10
1955-04,14
1955-05,14
1955-06,7
1955-07,10
1955-08,11
1955-09,9
1955-10,18
1955-11,16
1955-12,8
1956-01,28
1956-02,6
1956-03,19
1956-04,14
1956-05,21
1956-06,14
1956-07,17
1956-08,9
1956-09,14
1956-10,12
1956-11,8
1956-12,18
1957-01,29
1957-02,12
1957-03,15
1957-04,57
1957-05,16
1957-06,6
1957-07,12
1957-08,17
1957-09,10
1957-10,8
1957-11,16
1957-12,18
1958-01,24
1958-02,13
1958-03,11
1958-04,24
1958-05,11
1958-06,11
1958-07,22
1958-08,18
1958-09,16
1958-10,15
1958-11,16
1958-12,29
1959-01,33
1959-02,12
1959-03,13
1959-04,27
1959-05,11
1959-06,26
1959-07,16
1959-08,12
1959-09,17
1959-10,21
1959-11,17
1959-12,37
1960-01,26
1960-02,13
1960-03,14
1960-04,16
1960-05,14
1960-06,19
1960-07,23
1960-08,35
1960-09,23
1960-10,22
1960-11,18
1960-12,18
1961-01,46
1961-02,23
1961-03,26
1961-04,17
1961-05,22
1961-06,19
1961-07,28
1961-08,21
1961-09,21
1961-10,16
1961-11,20
1961-12,81
1962-01,59
1962-02,20
1962-03,25
1962-04,30
1962-05,23
1962-06,25
1962-07,35
1962-08,19
1962-09,29
1962-10,32
1962-11,26
1962-12,41
1963-01,61
1963-02,15
1963-03,37
1963-04,40
1963-05,31
1963-06,36
1963-07,35
1963-08,34
1963-09,33
1963-10,38
1963-11,25
1963-12,37
1964-01,44
1964-02,15
1964-03,30
1964-04,28
1964-05,22
1964-06,41
1964-07,36
1964-08,34
1964-09,32
1964-10,40
1964-11,29
1964-12,68
1965-01,61
1965-02,38
1965-03,38
1965-04,32
1965-05,37
1965-06,55
1965-07,43
1965-08,45
1965-09,30
1965-10,64
1965-11,40
1965-12,49
1966-01,84
1966-02,39
1966-03,40
1966-04,41
1966-05,35
1966-06,49
1966-07,50
1966-08,59
1966-09,37
1966-10,33
1966-11,40
1966-12,71
1967-01,65
1967-02,52
1967-03,55
1967-04,42
1967-05,41
1967-06,47
1967-07,50
1967-08,56
1967-09,49
1967-10,46
1967-11,29
1967-12,67
1968-01,80
1968-02,61
1968-03,67
1968-04,73
1968-05,63
1968-06,60
1968-07,67
1968-08,75
1968-09,52
1968-10,71
1968-11,44
1968-12,59
1969-01,94
1969-02,55
1969-03,63
1969-04,56
1969-05,42
1969-06,66
1969-07,78
1969-08,63
1969-09,46
1969-10,56
1969-11,44
1969-12,89
1970-01,341
1970-02,71
1970-03,71
1970-04,66
1970-05,66
1970-06,56
1970-07,65
1970-08,60
1970-09,52
1970-10,62
1970-11,55
1970-12,94
1971-01,127
1971-02,57
1971-03,72
1971-04,83
1971-05,70
1971-06,95
1971-07,64
1971-08,104
1971-09,75
1971-10,74
1971-11,66
1971-12,123
1972-01,125
1972-02,80
1972-03,98
1972-04,83
1972-05,48
1972-06,121
1972-07,78
1972-08,105
1972-09,98
1972-10,94
1972-11,59
1972-12,117
1973-01,155
1973-02,84
1973-03,112
1973-04,87
1973-05,77
1973-06,133
1973-07,88
1973-08,124
1973-09,110
1973-10,71
1973-11,56
1973-12,115
1974-01,177
1974-02,92
1974-03,107
1974-04,88
1974-05,58
1974-06,111
1974-07,97
1974-08,123
1974-09,121
1974-10,124
1974-11,101
1974-12,118
1975-01,181
1975-02,108
1975-03,124
1975-04,138
1975-05,85
1975-06,117
1975-07,83
1975-08,166
1975-09,106
1975-10,97
1975-11,80
1975-12,191
1976-01,203
1976-02,91
1976-03,140
1976-04,110
1976-05,86
1976-06,136
1976-07,122
1976-08,138
1976-09,152
1976-10,106
1976-11,87
1976-12,184
1977-01,288
1977-02,105
1977-03,136
1977-04,98
1977-05,97
1977-06,143
1977-07,102
1977-08,151
1977-09,162
1977-10,123
1977-11,93
1977-12,178
1978-01,324
1978-02,85
1978-03,170
1978-04,138
1978-05,107
1978-06,139
1978-07,169
1978-08,140
1978-09,118
1978-10,143
1978-11,130
1978-12,156
1979-01,362
1979-02,132
1979-03,182
1979-04,168
1979-05,114
1979-06,196
1979-07,153
1979-08,196
1979-09,233
1979-10,169
1979-11,107
1979-12,198
1980-01,391
1980-02,113
1980-03,157
1980-04,171
1980-05,192
1980-06,182
1980-07,174
1980-08,154
1980-09,170
1980-10,186
1980-11,132
1980-12,268
1981-01,490
1981-02,159
1981-03,221
1981-04,250
1981-05,135
1981-06,241
1981-07,219
1981-08,253
1981-09,236
1981-10,202
1981-11,186
1981-12,285
1982-01,425
1982-02,153
1982-03,244
1982-04,273
1982-05,143
1982-06,298
1982-07,201
1982-08,240
1982-09,231
1982-10,218
1982-11,165
1982-12,353
1983-01,506
1983-02,186
1983-03,274
1983-04,175
1983-05,204
1983-06,294
1983-07,222
1983-08,211
1983-09,273
1983-10,227
1983-11,173
1983-12,265
1984-01,547
1984-02,189
1984-03,264
1984-04,225
1984-05,166
1984-06,250
1984-07,292
1984-08,197
1984-09,237
1984-10,259
1984-11,181
1984-12,290
1985-01,589
1985-02,191
1985-03,255
1985-04,210
1985-05,206
1985-06,297
1985-07,273
1985-08,198
1985-09,276
1985-10,253
1985-11,197
1985-12,338
1986-01,610
1986-02,154
1986-03,334
1986-04,269
1986-05,255
1986-06,322
1986-07,226
1986-08,211
1986-09,307
1986-10,243
1986-11,188
1986-12,440
1987-01,696
1987-02,197
1987-03,286
1987-04,237
1987-05,234
1987-06,294
1987-07,308
1987-08,312
1987-09,338
1987-10,235
1987-11,204
1987-12,348
1988-01,789
1988-02,212
1988-03,339
1988-04,221
1988-05,241
1988-06,373
1988-07,232
1988-08,270
1988-09,335
1988-10,269
1988-11,218
1988-12,377
1989-01,829
1989-02,218
1989-03,344
1989-04,318
1989-05,324
1989-06,389
1989-07,334
1989-08,303
1989-09,415
1989-10,258
1989-11,252
1989-12,449
1990-01,906
1990-02,253
1990-03,374
1990-04,354
1990-05,365
1990-06,316
1990-07,315
1990-08,367
1990-09,520
1990-10,320
1990-11,240
1990-12,356
1991-01,918
1991-02,247
1991-03,378
1991-04,401
1991-05,284
1991-06,430
1991-07,314
1991-08,304
1991-09,485
1991-10,320
1991-11,275
1991-12,377
1992-01,901
1992-02,292
1992-03,461
1992-04,380
1992-05,334
1992-06,631
1992-07,418
1992-08,349
1992-09,475
1992-10,394
1992-11,322
1992-12,458
1993-01,835
1993-02,306
1993-03,474
1993-04,425
1993-05,389
1993-06,631
1993-07,456
1993-08,389
1993-09,570
1993-10,367
1993-11,346
1993-12,512
1994-01,1194
1994-02,350
1994-03,571
1994-04,426
1994-05,477
1994-06,518
1994-07,357
1994-08,427
1994-09,527
1994-10,448
1994-11,357
1994-12,546
1995-01,1310
1995-02,360
1995-03,529
1995-04,414
1995-05,520
1995-06,573
1995-07,457
1995-08,378
1995-09,699
1995-10,408
1995-11,375
1995-12,508
1996-01,1365
1996-02,335
1996-03,633
1996-04,499
1996-05,499
1996-06,730
1996-07,500
1996-08,366
1996-09,563
1996-10,572
1996-11,519
1996-12,588
1997-01,1310
1997-02,424
1997-03,633
1997-04,489
1997-05,453
1997-06,719
1997-07,575
1997-08,436
1997-09,629
1997-10,482
1997-11,437
1997-12,567
1998-01,1301
1998-02,399
1998-03,599
1998-04,501
1998-05,519
1998-06,724
1998-07,566
1998-08,612
1998-09,732
1998-10,561
1998-11,504
1998-12,584
1999-01,1332
1999-02,390
1999-03,687
1999-04,529
1999-05,590
1999-06,718
1999-07,553
1999-08,731
1999-09,703
1999-10,457
1999-11,470
1999-12,662
2000-01,1472
2000-02,459
2000-03,789
2000-04,647
2000-05,678
2000-06,802
2000-07,700
2000-08,551
2000-09,742
2000-10,713
2000-11,588
2000-12,672
2001-01,1298
2001-02,442
2001-03,790
2001-04,601
2001-05,632
2001-06,843
2001-07,678
2001-08,610
2001-09,868
2001-10,793
2001-11,501
2001-12,925
2002-01,1639
2002-02,562
2002-03,887
2002-04,641
2002-05,731
2002-06,869
2002-07,665
2002-08,498
2002-09,969
2002-10,636
2002-11,528
2002-12,879
2003-01,1648
2003-02,599
2003-03,868
2003-04,666
2003-05,679
2003-06,969
2003-07,630
2003-08,675
2003-09,1209
2003-10,738
2003-11,628
2003-12,1005
2004-01,1537
2004-02,692
2004-03,1092
2004-04,891
2004-05,851
2004-06,1304
2004-07,1010
2004-08,824
2004-09,1133
2004-10,956
2004-11,739
2004-12,957
2005-01,1832
2005-02,713
2005-03,888
2005-04,871
2005-05,1006
2005-06,1280
2005-07,825
2005-08,792
2005-09,1024
2005-10,1015
2005-11,798
2005-12,1117
2006-01,1931
2006-02,798
2006-03,1222
2006-04,1144
2006-05,961
2006-06,1557
2006-07,1370
2006-08,1365
2006-09,1335
2006-10,2456
2006-11,1571
2006-12,1319
2007-01,2005
2007-02,940
2007-03,1383
2007-04,1331
2007-05,1493
2007-06,2012
2007-07,1553
2007-08,1843
2007-09,1687
2007-10,1843
2007-11,1269
2007-12,1813
2008-01,2035
2008-02,967
2008-03,1483
2008-04,1475
2008-05,1474
2008-06,2352
2008-07,1891
2008-08,1541
2008-09,2144
2008-10,2439
2008-11,1531
2008-12,2440
2009-01,2429
2009-02,1279
2009-03,1592
2009-04,1601
2009-05,1849
2009-06,2394
2009-07,1755
2009-08,2535
2009-09,2478
2009-10,2059
2009-11,1686
2009-12,2528
2010-01,2459
2010-02,1287
2010-03,2023
2010-04,1761
2010-05,2136
2010-06,3577
2010-07,2442
2010-08,2813
2010-09,2453
2010-10,3233
2010-11,2240
2010-12,2638
2011-01,3169
2011-02,1714
2011-03,2108
2011-04,2413
2011-05,2831
2011-06,3199
2011-07,2782
2011-08,3420
