Year,Calidad Total
1950-01,4.24E-09
1951-01,8.28E-10
1952-01,2.56E-09
1953-01,3.41E-09
1954-01,3.77E-08
1955-01,1.90E-09
1956-01,4.15E-09
1957-01,1.41E-08
1958-01,7.49E-08
1959-01,3.74E-08
1960-01,2.31E-08
1961-01,2.40E-08
1962-01,1.20E-07
1963-01,3.63E-08
1964-01,4.32E-08
1965-01,2.29E-08
1966-01,1.58E-08
1967-01,3.54E-08
1968-01,3.03E-08
1969-01,2.02E-08
1970-01,2.33E-08
1971-01,3.66E-08
1972-01,4.66E-08
1973-01,4.28E-08
1974-01,1.79E-08
1975-01,1.58E-08
1976-01,2.88E-08
1977-01,3.13E-08
1978-01,4.61E-08
1979-01,2.05E-08
1980-01,6.29E-08
1981-01,3.80E-08
1982-01,5.89E-08
1983-01,5.37E-08
1984-01,7.56E-08
1985-01,7.61E-08
1986-01,1.12E-07
1987-01,2.08E-07
1988-01,2.97E-07
1989-01,7.88E-07
1990-01,1.76E-06
1991-01,2.94E-06
1992-01,4.40E-06
1993-01,4.65E-06
1994-01,4.88E-06
1995-01,3.85E-06
1996-01,3.57E-06
1997-01,2.71E-06
1998-01,2.14E-06
1999-01,1.96E-06
2000-01,1.72E-06
2001-01,1.60E-06
2002-01,1.59E-06
2003-01,1.33E-06
2004-01,1.18E-06
2005-01,1.54E-06
2006-01,1.32E-06
2007-01,1.16E-06
2008-01,1.14E-06
2009-01,1.18E-06
2010-01,1.15E-06
2011-01,9.77E-07
2012-01,1.41E-06
2013-01,1.22E-06
2014-01,9.52E-07
2015-01,9.26E-07
2016-01,9.11E-07
2017-01,1.12E-06
2018-01,1.09E-06
2019-01,1.03E-06
2020-01,8.56E-07
2021-01,6.81E-07
2022-01,6.84E-07
