Year,Gestión de Costos
1950-01,0.00E+00
1951-01,0.00E+00
1952-01,0.00E+00
1953-01,0.00E+00
1954-01,0.00E+00
1955-01,0.00E+00
1956-01,0.00E+00
1957-01,0.00E+00
1958-01,3.32E-10
1959-01,0.00E+00
1960-01,4.35E-10
1961-01,1.36E-10
1962-01,1.33E-10
1963-01,0.00E+00
1964-01,0.00E+00
1965-01,0.00E+00
1966-01,0.00E+00
1967-01,6.28E-11
1968-01,0.00E+00
1969-01,2.48E-10
1970-01,6.21E-11
1971-01,0.00E+00
1972-01,0.00E+00
1973-01,4.80E-10
1974-01,6.01E-11
1975-01,1.18E-10
1976-01,0.00E+00
1977-01,7.77E-10
1978-01,0.00E+00
1979-01,0.00E+00
1980-01,4.45E-10
1981-01,1.12E-10
1982-01,4.93E-10
1983-01,2.58E-10
1984-01,0.00E+00
1985-01,4.72E-10
1986-01,3.13E-10
1987-01,2.64E-10
1988-01,3.11E-10
1989-01,9.17E-10
1990-01,2.50E-09
1991-01,4.38E-09
1992-01,7.15E-09
1993-01,1.40E-08
1994-01,2.34E-08
1995-01,2.90E-08
1996-01,2.48E-08
1997-01,2.18E-08
1998-01,2.42E-08
1999-01,2.49E-08
2000-01,2.54E-08
2001-01,1.92E-08
2002-01,1.82E-08
2003-01,2.06E-08
2004-01,3.03E-08
2005-01,3.09E-08
2006-01,2.82E-08
2007-01,2.50E-08
2008-01,2.48E-08
2009-01,2.13E-08
2010-01,2.89E-08
2011-01,1.70E-08
2012-01,1.78E-08
2013-01,1.81E-08
2014-01,1.63E-08
2015-01,8.32E-09
2016-01,9.72E-09
2017-01,9.73E-09
2018-01,1.90E-08
2019-01,1.30E-08
2020-01,8.78E-09
2021-01,1.10E-08
2022-01,6.27E-09
