Year,Lealtad del Cliente
1950-01,0.00E+00
1951-01,8.51E-11
1952-01,0.00E+00
1953-01,0.00E+00
1954-01,0.00E+00
1955-01,0.00E+00
1956-01,0.00E+00
1957-01,0.00E+00
1958-01,0.00E+00
1959-01,0.00E+00
1960-01,0.00E+00
1961-01,1.80E-10
1962-01,0.00E+00
1963-01,0.00E+00
1964-01,0.00E+00
1965-01,0.00E+00
1966-01,0.00E+00
1967-01,0.00E+00
1968-01,0.00E+00
1969-01,0.00E+00
1970-01,0.00E+00
1971-01,0.00E+00
1972-01,0.00E+00
1973-01,1.06E-10
1974-01,0.00E+00
1975-01,0.00E+00
1976-01,0.00E+00
1977-01,0.00E+00
1978-01,0.00E+00
1979-01,0.00E+00
1980-01,2.96E-10
1981-01,1.48E-10
1982-01,0.00E+00
1983-01,4.50E-11
1984-01,0.00E+00
1985-01,2.81E-10
1986-01,1.40E-10
1987-01,4.74E-11
1988-01,0.00E+00
1989-01,0.00E+00
1990-01,4.74E-10
1991-01,4.80E-10
1992-01,3.06E-09
1993-01,1.39E-09
1994-01,5.92E-10
1995-01,1.16E-09
1996-01,2.59E-09
1997-01,4.41E-09
1998-01,2.87E-09
1999-01,2.46E-09
2000-01,2.24E-09
2001-01,1.73E-09
2002-01,4.18E-09
2003-01,1.72E-09
2004-01,1.81E-09
2005-01,2.15E-09
2006-01,1.45E-09
2007-01,1.63E-09
2008-01,3.57E-09
2009-01,2.50E-09
2010-01,1.34E-09
2011-01,1.29E-09
2012-01,2.90E-09
2013-01,1.05E-09
2014-01,7.30E-10
2015-01,2.50E-09
2016-01,2.39E-09
2017-01,1.95E-09
2018-01,1.55E-09
2019-01,4.35E-09
2020-01,1.12E-09
2021-01,2.74E-09
2022-01,8.66E-10
