Year,Presupuesto Base Cero
1950-01,8.68E-09
1951-01,5.10E-10
1952-01,7.45E-10
1953-01,1.78E-09
1954-01,5.37E-09
1955-01,4.31E-09
1956-01,6.42E-09
1957-01,2.60E-09
1958-01,5.40E-09
1959-01,3.70E-09
1960-01,8.36E-09
1961-01,1.76E-08
1962-01,4.90E-09
1963-01,1.31E-08
1964-01,1.15E-08
1965-01,2.13E-08
1966-01,3.80E-08
1967-01,5.18E-08
1968-01,5.66E-08
1969-01,1.06E-07
1970-01,1.20E-07
1971-01,1.22E-07
1972-01,1.03E-07
1973-01,1.10E-07
1974-01,8.44E-08
1975-01,9.66E-08
1976-01,8.80E-08
1977-01,6.73E-08
1978-01,6.54E-08
1979-01,6.48E-08
1980-01,5.95E-08
1981-01,4.38E-08
1982-01,4.19E-08
1983-01,2.81E-08
1984-01,3.05E-08
1985-01,2.88E-08
1986-01,2.59E-08
1987-01,3.62E-08
1988-01,3.42E-08
1989-01,2.50E-08
1990-01,2.18E-08
1991-01,1.26E-08
1992-01,9.11E-09
1993-01,1.30E-08
1994-01,9.11E-09
1995-01,1.02E-08
1996-01,1.13E-08
1997-01,1.43E-08
1998-01,1.46E-08
1999-01,1.17E-08
2000-01,1.01E-08
2001-01,1.18E-08
2002-01,1.01E-08
2003-01,8.53E-09
2004-01,6.01E-09
2005-01,6.71E-09
2006-01,6.60E-09
2007-01,7.53E-09
2008-01,1.15E-08
2009-01,6.48E-09
2010-01,6.88E-09
2011-01,5.40E-09
2012-01,4.33E-09
2013-01,9.74E-09
2014-01,8.20E-09
2015-01,8.63E-09
2016-01,8.85E-09
2017-01,9.29E-09
2018-01,6.18E-09
2019-01,6.80E-09
2020-01,6.65E-09
2021-01,7.70E-09
2022-01,5.66E-09
