Year,Propósito y Visión
1950-01,0.00E+00
1951-01,1.70E-10
1952-01,0.00E+00
1953-01,4.86E-10
1954-01,8.39E-11
1955-01,7.99E-11
1956-01,1.53E-10
1957-01,4.34E-10
1958-01,8.13E-10
1959-01,4.79E-10
1960-01,1.93E-10
1961-01,0.00E+00
1962-01,2.36E-10
1963-01,6.77E-10
1964-01,5.67E-10
1965-01,2.54E-10
1966-01,9.07E-10
1967-01,1.11E-10
1968-01,1.85E-09
1969-01,1.56E-09
1970-01,5.50E-10
1971-01,8.50E-10
1972-01,4.93E-10
1973-01,7.55E-10
1974-01,3.15E-09
1975-01,5.54E-09
1976-01,1.00E-09
1977-01,8.94E-10
1978-01,6.70E-09
1979-01,2.33E-09
1980-01,2.73E-09
1981-01,1.02E-08
1982-01,7.23E-09
1983-01,6.81E-09
1984-01,9.62E-09
1985-01,7.26E-09
1986-01,1.92E-08
1987-01,1.25E-08
1988-01,1.15E-08
1989-01,1.65E-08
1990-01,2.48E-08
1991-01,2.47E-08
1992-01,2.39E-08
1993-01,2.68E-08
1994-01,3.07E-08
1995-01,3.86E-08
1996-01,3.88E-08
1997-01,4.88E-08
1998-01,5.10E-08
1999-01,4.32E-08
2000-01,4.05E-08
2001-01,3.94E-08
2002-01,3.67E-08
2003-01,3.42E-08
2004-01,4.68E-08
2005-01,4.10E-08
2006-01,4.53E-08
2007-01,3.74E-08
2008-01,4.35E-08
2009-01,5.73E-08
2010-01,4.79E-08
2011-01,4.72E-08
2012-01,3.95E-08
2013-01,4.92E-08
2014-01,3.82E-08
2015-01,5.36E-08
2016-01,5.22E-08
2017-01,4.64E-08
2018-01,4.27E-08
2019-01,4.37E-08
2020-01,3.64E-08
2021-01,4.18E-08
2022-01,3.77E-08
