Year,Segmentación de Clientes
1950-01,7.89E-11
1951-01,1.36E-09
1952-01,0.00E+00
1953-01,0.00E+00
1954-01,4.36E-09
1955-01,3.99E-10
1956-01,9.16E-10
1957-01,6.51E-10
1958-01,2.88E-09
1959-01,1.44E-09
1960-01,1.87E-09
1961-01,3.06E-09
1962-01,2.95E-09
1963-01,4.40E-09
1964-01,1.11E-08
1965-01,6.41E-09
1966-01,9.80E-09
1967-01,1.34E-08
1968-01,1.80E-08
1969-01,1.58E-08
1970-01,2.30E-08
1971-01,1.99E-08
1972-01,3.60E-08
1973-01,3.24E-08
1974-01,4.62E-08
1975-01,4.07E-08
1976-01,5.03E-08
1977-01,5.72E-08
1978-01,7.21E-08
1979-01,7.13E-08
1980-01,6.14E-08
1981-01,6.52E-08
1982-01,6.31E-08
1983-01,7.00E-08
1984-01,6.40E-08
1985-01,6.49E-08
1986-01,7.94E-08
1987-01,7.93E-08
1988-01,7.82E-08
1989-01,7.00E-08
1990-01,6.22E-08
1991-01,2.03E-07
1992-01,6.83E-08
1993-01,9.43E-08
1994-01,6.21E-08
1995-01,6.19E-08
1996-01,6.66E-08
1997-01,4.90E-08
1998-01,8.35E-08
1999-01,8.61E-08
2000-01,5.71E-08
2001-01,1.04E-07
2002-01,5.73E-08
2003-01,4.85E-08
2004-01,5.98E-08
2005-01,5.30E-08
2006-01,5.62E-08
2007-01,5.95E-08
2008-01,7.23E-08
2009-01,6.66E-08
2010-01,6.48E-08
2011-01,7.34E-08
2012-01,6.78E-08
2013-01,5.89E-08
2014-01,6.09E-08
2015-01,5.46E-08
2016-01,5.77E-08
2017-01,5.64E-08
2018-01,5.42E-08
2019-01,5.37E-08
2020-01,4.22E-08
2021-01,5.00E-08
2022-01,4.91E-08
