Month,Calidad Total
2004-01,79
2004-02,100
2004-03,94
2004-04,89
2004-05,80
2004-06,76
2004-07,63
2004-08,63
2004-09,74
2004-10,78
2004-11,83
2004-12,73
2005-01,67
2005-02,76
2005-03,71
2005-04,76
2005-05,66
2005-06,59
2005-07,44
2005-08,49
2005-09,56
2005-10,58
2005-11,63
2005-12,53
2006-01,52
2006-02,63
2006-03,65
2006-04,53
2006-05,55
2006-06,45
2006-07,42
2006-08,40
2006-09,46
2006-10,44
2006-11,52
2006-12,41
2007-01,46
2007-02,51
2007-03,47
2007-04,45
2007-05,49
2007-06,43
2007-07,37
2007-08,39
2007-09,43
2007-10,43
2007-11,40
2007-12,40
2008-01,40
2008-02,44
2008-03,42
2008-04,39
2008-05,43
2008-06,39
2008-07,33
2008-08,33
2008-09,40
2008-10,37
2008-11,41
2008-12,37
2009-01,34
2009-02,36
2009-03,39
2009-04,36
2009-05,38
2009-06,36
2009-07,33
2009-08,33
2009-09,33
2009-10,36
2009-11,38
2009-12,34
2010-01,37
2010-02,37
2010-03,36
2010-04,32
2010-05,34
2010-06,34
2010-07,29
2010-08,29
2010-09,29
2010-10,32
2010-11,36
2010-12,28
2011-01,28
2011-02,30
2011-03,34
2011-04,34
2011-05,33
2011-06,28
2011-07,26
2011-08,25
2011-09,29
2011-10,33
2011-11,34
2011-12,27
2012-01,27
2012-02,32
2012-03,31
2012-04,31
2012-05,29
2012-06,29
2012-07,23
2012-08,22
2012-09,28
2012-10,29
2012-11,30
2012-12,26
2013-01,26
2013-02,29
2013-03,29
2013-04,29
2013-05,29
2013-06,29
2013-07,23
2013-08,21
2013-09,25
2013-10,28
2013-11,30
2013-12,26
2014-01,25
2014-02,27
2014-03,29
2014-04,27
2014-05,27
2014-06,26
2014-07,23
2014-08,23
2014-09,27
2014-10,28
2014-11,31
2014-12,26
2015-01,24
2015-02,28
2015-03,27
2015-04,27
2015-05,28
2015-06,27
2015-07,22
2015-08,21
2015-09,24
2015-10,28
2015-11,27
2015-12,26
2016-01,24
2016-02,25
2016-03,24
2016-04,26
2016-05,26
2016-06,23
2016-07,18
2016-08,18
2016-09,22
2016-10,25
2016-11,26
2016-12,22
2017-01,21
2017-02,23
2017-03,24
2017-04,25
2017-05,25
2017-06,19
2017-07,17
2017-08,18
2017-09,20
2017-10,23
2017-11,26
2017-12,20
2018-01,20
2018-02,22
2018-03,23
2018-04,24
2018-05,23
2018-06,18
2018-07,17
2018-08,17
2018-09,20
2018-10,21
2018-11,23
2018-12,20
2019-01,18
2019-02,21
2019-03,22
2019-04,23
2019-05,21
2019-06,18
2019-07,16
2019-08,15
2019-09,18
2019-10,20
2019-11,23
2019-12,19
2020-01,18
2020-02,21
2020-03,45
2020-04,20
2020-05,19
2020-06,19
2020-07,16
2020-08,16
2020-09,23
2020-10,23
2020-11,20
2020-12,21
2021-01,21
2021-02,21
2021-03,23
2021-04,37
2021-05,26
2021-06,24
2021-07,23
2021-08,19
2021-09,20
2021-10,20
2021-11,20
2021-12,19
2022-01,23
2022-02,31
2022-03,33
2022-04,30
2022-05,26
2022-06,25
2022-07,19
2022-08,18
2022-09,22
2022-10,23
2022-11,24
2022-12,22
2023-01,20
2023-02,26
2023-03,28
2023-04,23
2023-05,36
2023-06,41
2023-07,31
2023-08,25
2023-09,25
2023-10,24
2023-11,24
2023-12,22
2024-01,20
2024-02,22
2024-03,20
2024-04,20
2024-05,20
2024-06,19
2024-07,14
2024-08,16
2024-09,17
2024-10,18
2024-11,19
2024-12,15
2025-01,17
2025-02,17
