Month,Estrategias de Crecimiento
2004-01,51
2004-02,84
2004-03,80
2004-04,69
2004-05,89
2004-06,77
2004-07,54
2004-08,65
2004-09,55
2004-10,86
2004-11,100
2004-12,70
2005-01,74
2005-02,74
2005-03,89
2005-04,95
2005-05,85
2005-06,61
2005-07,56
2005-08,55
2005-09,71
2005-10,59
2005-11,88
2005-12,53
2006-01,65
2006-02,68
2006-03,78
2006-04,68
2006-05,80
2006-06,54
2006-07,40
2006-08,41
2006-09,58
2006-10,67
2006-11,73
2006-12,44
2007-01,58
2007-02,57
2007-03,67
2007-04,69
2007-05,57
2007-06,56
2007-07,47
2007-08,55
2007-09,61
2007-10,52
2007-11,59
2007-12,47
2008-01,47
2008-02,52
2008-03,55
2008-04,65
2008-05,56
2008-06,42
2008-07,41
2008-08,46
2008-09,56
2008-10,58
2008-11,58
2008-12,42
2009-01,43
2009-02,49
2009-03,55
2009-04,56
2009-05,50
2009-06,39
2009-07,46
2009-08,43
2009-09,47
2009-10,48
2009-11,69
2009-12,46
2010-01,50
2010-02,58
2010-03,68
2010-04,55
2010-05,56
2010-06,48
2010-07,44
2010-08,39
2010-09,56
2010-10,63
2010-11,56
2010-12,48
2011-01,46
2011-02,48
2011-03,56
2011-04,53
2011-05,52
2011-06,46
2011-07,43
2011-08,43
2011-09,47
2011-10,52
2011-11,58
2011-12,43
2012-01,43
2012-02,50
2012-03,52
2012-04,48
2012-05,49
2012-06,39
2012-07,38
2012-08,41
2012-09,52
2012-10,53
2012-11,52
2012-12,39
2013-01,40
2013-02,49
2013-03,54
2013-04,55
2013-05,47
2013-06,43
2013-07,41
2013-08,39
2013-09,47
2013-10,52
2013-11,54
2013-12,42
2014-01,44
2014-02,52
2014-03,54
2014-04,52
2014-05,49
2014-06,43
2014-07,38
2014-08,39
2014-09,49
2014-10,53
2014-11,54
2014-12,38
2015-01,41
2015-02,51
2015-03,60
2015-04,56
2015-05,47
2015-06,47
2015-07,38
2015-08,37
2015-09,48
2015-10,49
2015-11,52
2015-12,43
2016-01,44
2016-02,52
2016-03,61
2016-04,54
2016-05,52
2016-06,39
2016-07,38
2016-08,37
2016-09,51
2016-10,53
2016-11,55
2016-12,44
2017-01,45
2017-02,52
2017-03,58
2017-04,58
2017-05,60
2017-06,47
2017-07,43
2017-08,42
2017-09,50
2017-10,63
2017-11,62
2017-12,48
2018-01,50
2018-02,53
2018-03,56
2018-04,58
2018-05,57
2018-06,40
2018-07,43
2018-08,49
2018-09,57
2018-10,58
2018-11,59
2018-12,45
2019-01,47
2019-02,52
2019-03,57
2019-04,59
2019-05,62
2019-06,47
2019-07,47
2019-08,42
2019-09,56
2019-10,62
2019-11,63
2019-12,53
2020-01,55
2020-02,61
2020-03,52
2020-04,57
2020-05,53
2020-06,53
2020-07,49
2020-08,48
2020-09,67
2020-10,63
2020-11,59
2020-12,58
2021-01,50
2021-02,54
2021-03,58
2021-04,57
2021-05,59
2021-06,55
2021-07,49
2021-08,46
2021-09,62
2021-10,62
2021-11,68
2021-12,54
2022-01,71
2022-02,72
2022-03,86
2022-04,79
2022-05,70
2022-06,63
2022-07,53
2022-08,56
2022-09,67
2022-10,71
2022-11,70
2022-12,61
2023-01,63
2023-02,68
2023-03,64
2023-04,60
2023-05,61
2023-06,58
2023-07,51
2023-08,51
2023-09,66
2023-10,67
2023-11,62
2023-12,55
2024-01,60
2024-02,70
2024-03,66
2024-04,66
2024-05,59
2024-06,59
2024-07,53
2024-08,52
2024-09,66
2024-10,65
2024-11,68
2024-12,56
2025-01,62
2025-02,83
