Month,Gestión del Cambio
2004-01,96
2004-02,98
2004-03,93
2004-04,99
2004-05,88
2004-06,89
2004-07,100
2004-08,90
2004-09,85
2004-10,87
2004-11,82
2004-12,70
2005-01,79
2005-02,86
2005-03,87
2005-04,91
2005-05,81
2005-06,77
2005-07,75
2005-08,79
2005-09,74
2005-10,77
2005-11,75
2005-12,66
2006-01,75
2006-02,70
2006-03,78
2006-04,71
2006-05,83
2006-06,71
2006-07,62
2006-08,69
2006-09,64
2006-10,63
2006-11,62
2006-12,51
2007-01,57
2007-02,61
2007-03,60
2007-04,59
2007-05,64
2007-06,58
2007-07,57
2007-08,57
2007-09,53
2007-10,60
2007-11,57
2007-12,47
2008-01,56
2008-02,58
2008-03,55
2008-04,60
2008-05,54
2008-06,51
2008-07,51
2008-08,47
2008-09,56
2008-10,57
2008-11,54
2008-12,46
2009-01,46
2009-02,49
2009-03,50
2009-04,53
2009-05,52
2009-06,49
2009-07,47
2009-08,47
2009-09,46
2009-10,47
2009-11,48
2009-12,39
2010-01,44
2010-02,45
2010-03,48
2010-04,46
2010-05,47
2010-06,45
2010-07,41
2010-08,43
2010-09,41
2010-10,43
2010-11,44
2010-12,35
2011-01,40
2011-02,41
2011-03,43
2011-04,40
2011-05,44
2011-06,39
2011-07,35
2011-08,37
2011-09,41
2011-10,39
2011-11,37
2011-12,32
2012-01,36
2012-02,40
2012-03,44
2012-04,39
2012-05,42
2012-06,37
2012-07,37
2012-08,37
2012-09,39
2012-10,43
2012-11,42
2012-12,28
2013-01,37
2013-02,40
2013-03,41
2013-04,44
2013-05,40
2013-06,39
2013-07,39
2013-08,36
2013-09,38
2013-10,41
2013-11,40
2013-12,31
2014-01,39
2014-02,41
2014-03,43
2014-04,39
2014-05,41
2014-06,37
2014-07,39
2014-08,36
2014-09,39
2014-10,41
2014-11,41
2014-12,33
2015-01,37
2015-02,41
2015-03,44
2015-04,42
2015-05,40
2015-06,37
2015-07,37
2015-08,36
2015-09,39
2015-10,38
2015-11,39
2015-12,31
2016-01,35
2016-02,40
2016-03,41
2016-04,41
2016-05,41
2016-06,37
2016-07,32
2016-08,34
2016-09,38
2016-10,37
2016-11,40
2016-12,32
2017-01,37
2017-02,41
2017-03,44
2017-04,41
2017-05,42
2017-06,37
2017-07,35
2017-08,37
2017-09,41
2017-10,45
2017-11,43
2017-12,33
2018-01,38
2018-02,41
2018-03,42
2018-04,40
2018-05,42
2018-06,39
2018-07,37
2018-08,37
2018-09,39
2018-10,44
2018-11,40
2018-12,34
2019-01,40
2019-02,44
2019-03,45
2019-04,45
2019-05,46
2019-06,44
2019-07,46
2019-08,42
2019-09,44
2019-10,46
2019-11,46
2019-12,39
2020-01,45
2020-02,46
2020-03,39
2020-04,38
2020-05,37
2020-06,39
2020-07,39
2020-08,38
2020-09,41
2020-10,41
2020-11,37
2020-12,34
2021-01,36
2021-02,38
2021-03,42
2021-04,40
2021-05,43
2021-06,42
2021-07,37
2021-08,36
2021-09,40
2021-10,43
2021-11,44
2021-12,38
2022-01,41
2022-02,47
2022-03,49
2022-04,46
2022-05,43
2022-06,42
2022-07,41
2022-08,41
2022-09,43
2022-10,43
2022-11,44
2022-12,38
2023-01,42
2023-02,46
2023-03,44
2023-04,39
2023-05,44
2023-06,44
2023-07,41
2023-08,41
2023-09,42
2023-10,44
2023-11,42
2023-12,36
2024-01,42
2024-02,50
2024-03,47
2024-04,47
2024-05,45
2024-06,44
2024-07,42
2024-08,42
2024-09,43
2024-10,41
2024-11,44
2024-12,36
2025-01,41
2025-02,47
