Date,Calidad Total
1950-01,25
1950-02,6
1950-03,4
1950-04,11
1950-05,3
1950-06,12
1950-07,18
1950-08,8
1950-09,15
1950-10,14
1950-11,5
1950-12,16
1951-01,23
1951-02,10
1951-03,12
1951-04,11
1951-05,18
1951-06,8
1951-07,23
1951-08,6
1951-09,13
1951-10,18
1951-11,19
1951-12,13
1952-01,23
1952-02,12
1952-03,18
1952-04,12
1952-05,16
1952-06,6
1952-07,26
1952-08,5
1952-09,7
1952-10,8
1952-11,11
1952-12,15
1953-01,24
1953-02,9
1953-03,13
1953-04,15
1953-05,21
1953-06,10
1953-07,17
1953-08,14
1953-09,14
1953-10,10
1953-11,19
1953-12,10
1954-01,18
1954-02,22
1954-03,14
1954-04,19
1954-05,21
1954-06,15
1954-07,23
1954-08,16
1954-09,20
1954-10,27
1954-11,12
1954-12,12
1955-01,41
1955-02,12
1955-03,17
1955-04,20
1955-05,19
1955-06,11
1955-07,16
1955-08,10
1955-09,13
1955-10,24
1955-11,16
1955-12,28
1956-01,30
1956-02,14
1956-03,13
1956-04,20
1956-05,11
1956-06,16
1956-07,23
1956-08,12
1956-09,20
1956-10,18
1956-11,15
1956-12,26
1957-01,45
1957-02,13
1957-03,32
1957-04,18
1957-05,14
1957-06,15
1957-07,13
1957-08,16
1957-09,18
1957-10,26
1957-11,22
1957-12,23
1958-01,34
1958-02,22
1958-03,27
1958-04,27
1958-05,18
1958-06,10
1958-07,34
1958-08,18
1958-09,22
1958-10,24
1958-11,12
1958-12,26
1959-01,43
1959-02,7
1959-03,26
1959-04,26
1959-05,12
1959-06,23
1959-07,29
1959-08,16
1959-09,22
1959-10,20
1959-11,24
1959-12,26
1960-01,60
1960-02,18
1960-03,20
1960-04,34
1960-05,19
1960-06,21
1960-07,35
1960-08,19
1960-09,29
1960-10,26
1960-11,16
1960-12,37
1961-01,46
1961-02,14
1961-03,28
1961-04,35
1961-05,21
1961-06,14
1961-07,32
1961-08,34
1961-09,35
1961-10,28
1961-11,26
1961-12,39
1962-01,44
1962-02,27
1962-03,38
1962-04,39
1962-05,37
1962-06,27
1962-07,33
1962-08,19
1962-09,47
1962-10,39
1962-11,43
1962-12,54
1963-01,65
1963-02,25
1963-03,45
1963-04,42
1963-05,41
1963-06,31
1963-07,43
1963-08,22
1963-09,44
1963-10,40
1963-11,36
1963-12,59
1964-01,74
1964-02,29
1964-03,39
1964-04,40
1964-05,40
1964-06,42
1964-07,31
1964-08,29
1964-09,39
1964-10,48
1964-11,38
1964-12,47
1965-01,77
1965-02,40
1965-03,53
1965-04,61
1965-05,33
1965-06,65
1965-07,50
1965-08,30
1965-09,47
1965-10,54
1965-11,37
1965-12,61
1966-01,87
1966-02,53
1966-03,40
1966-04,37
1966-05,38
1966-06,54
1966-07,51
1966-08,41
1966-09,50
1966-10,52
1966-11,58
1966-12,84
1967-01,92
1967-02,53
1967-03,59
1967-04,57
1967-05,39
1967-06,52
1967-07,49
1967-08,39
1967-09,43
1967-10,40
1967-11,59
1967-12,66
1968-01,91
1968-02,45
1968-03,56
1968-04,56
1968-05,40
1968-06,52
1968-07,60
1968-08,39
1968-09,54
1968-10,51
1968-11,46
1968-12,86
1969-01,94
1969-02,46
1969-03,62
1969-04,52
1969-05,61
1969-06,38
1969-07,70
1969-08,44
1969-09,47
1969-10,74
1969-11,58
1969-12,74
1970-01,228
1970-02,41
1970-03,64
1970-04,71
1970-05,70
1970-06,59
1970-07,63
1970-08,69
1970-09,104
1970-10,99
1970-11,71
1970-12,75
1971-01,128
1971-02,78
1971-03,78
1971-04,80
1971-05,79
1971-06,64
1971-07,95
1971-08,50
1971-09,100
1971-10,97
1971-11,55
1971-12,128
1972-01,182
1972-02,83
1972-03,70
1972-04,150
1972-05,77
1972-06,86
1972-07,133
1972-08,70
1972-09,104
1972-10,145
1972-11,77
1972-12,109
1973-01,202
1973-02,97
1973-03,79
1973-04,148
1973-05,70
1973-06,76
1973-07,141
1973-08,100
1973-09,137
1973-10,157
1973-11,97
1973-12,108
1974-01,214
1974-02,103
1974-03,131
1974-04,123
1974-05,101
1974-06,94
1974-07,143
1974-08,71
1974-09,140
1974-10,159
1974-11,98
1974-12,126
1975-01,291
1975-02,116
1975-03,128
1975-04,142
1975-05,108
1975-06,127
1975-07,159
1975-08,90
1975-09,126
1975-10,159
1975-11,105
1975-12,151
1976-01,320
1976-02,82
1976-03,143
1976-04,151
1976-05,119
1976-06,104
1976-07,160
1976-08,101
1976-09,134
1976-10,192
1976-11,133
1976-12,168
1977-01,358
1977-02,96
1977-03,128
1977-04,166
1977-05,128
1977-06,99
1977-07,166
1977-08,122
1977-09,153
1977-10,186
1977-11,121
1977-12,133
1978-01,395
1978-02,105
1978-03,144
1978-04,157
1978-05,122
1978-06,106
1978-07,198
1978-08,109
1978-09,140
1978-10,187
1978-11,125
1978-12,153
1979-01,399
1979-02,100
1979-03,181
1979-04,189
1979-05,123
1979-06,111
1979-07,163
1979-08,122
1979-09,136
1979-10,197
1979-11,122
1979-12,148
1980-01,474
1980-02,120
1980-03,175
1980-04,214
1980-05,125
1980-06,174
1980-07,211
1980-08,117
1980-09,166
1980-10,188
1980-11,107
1980-12,184
1981-01,445
1981-02,121
1981-03,206
1981-04,211
1981-05,136
1981-06,167
1981-07,219
1981-08,142
1981-09,182
1981-10,212
1981-11,180
1981-12,228
1982-01,515
1982-02,142
1982-03,172
1982-04,278
1982-05,160
1982-06,204
1982-07,222
1982-08,128
1982-09,188
1982-10,229
1982-11,142
1982-12,169
1983-01,614
1983-02,149
1983-03,196
1983-04,208
1983-05,154
1983-06,165
1983-07,237
1983-08,139
1983-09,219
1983-10,189
1983-11,162
1983-12,211
1984-01,588
1984-02,192
1984-03,266
1984-04,225
1984-05,182
1984-06,223
1984-07,327
1984-08,158
1984-09,224
1984-10,208
1984-11,155
1984-12,218
1985-01,688
1985-02,188
1985-03,269
1985-04,246
1985-05,173
1985-06,192
1985-07,292
1985-08,174
1985-09,249
1985-10,309
1985-11,179
1985-12,303
1986-01,825
1986-02,173
1986-03,265
1986-04,300
1986-05,213
1986-06,216
1986-07,273
1986-08,174
1986-09,249
1986-10,310
1986-11,351
1986-12,328
1987-01,833
1987-02,195
1987-03,241
1987-04,270
1987-05,234
1987-06,292
1987-07,280
1987-08,226
1987-09,337
1987-10,277
1987-11,213
1987-12,308
1988-01,865
1988-02,215
1988-03,320
1988-04,314
1988-05,215
1988-06,352
1988-07,328
1988-08,286
