Date,Gestión de Costos
1950-01,7
1950-02,1
1950-03,2
1950-04,8
1950-05,3
1950-06,4
1950-07,6
1950-08,9
1950-09,4
1950-10,2
1950-11,5
1950-12,4
1951-01,9
1951-02,5
1951-03,3
1951-04,2
1951-05,4
1951-06,4
1951-07,5
1951-08,1
1951-09,5
1951-10,8
1951-11,3
1951-12,1
1952-01,11
1952-02,4
1952-03,9
1952-04,11
1952-05,6
1952-06,4
1952-07,14
1952-08,4
1952-09,4
1952-10,5
1952-11,5
1952-12,6
1953-01,12
1953-02,4
1953-03,7
1953-04,8
1953-05,8
1953-06,5
1953-07,5
1953-08,5
1953-09,5
1953-10,5
1953-11,8
1953-12,4
1954-01,11
1954-02,5
1954-03,6
1954-04,5
1954-05,10
1954-06,6
1954-07,13
1954-08,3
1954-09,9
1954-10,9
1954-11,7
1954-12,12
1955-01,20
1955-02,4
1955-03,3
1955-04,12
1955-05,6
1955-06,7
1955-07,6
1955-08,7
1955-09,6
1955-10,10
1955-11,9
1955-12,23
1956-01,10
1956-02,4
1956-03,5
1956-04,10
1956-05,10
1956-06,8
1956-07,13
1956-08,5
1956-09,12
1956-10,11
1956-11,7
1956-12,9
1957-01,13
1957-02,8
1957-03,9
1957-04,9
1957-05,7
1957-06,8
1957-07,8
1957-08,8
1957-09,7
1957-10,6
1957-11,13
1957-12,5
1958-01,42
1958-02,7
1958-03,6
1958-04,17
1958-05,6
1958-06,14
1958-07,16
1958-08,18
1958-09,10
1958-10,13
1958-11,6
1958-12,18
1959-01,22
1959-02,6
1959-03,8
1959-04,16
1959-05,2
1959-06,11
1959-07,17
1959-08,8
1959-09,8
1959-10,10
1959-11,5
1959-12,14
1960-01,24
1960-02,0
1960-03,13
1960-04,14
1960-05,7
1960-06,6
1960-07,19
1960-08,6
1960-09,15
1960-10,10
1960-11,6
1960-12,21
1961-01,25
1961-02,7
1961-03,13
1961-04,21
1961-05,10
1961-06,10
1961-07,22
1961-08,19
1961-09,21
1961-10,17
1961-11,9
1961-12,26
1962-01,24
1962-02,8
1962-03,19
1962-04,17
1962-05,7
1962-06,15
1962-07,24
1962-08,10
1962-09,23
1962-10,14
1962-11,13
1962-12,31
1963-01,38
1963-02,10
1963-03,28
1963-04,15
1963-05,19
1963-06,16
1963-07,24
1963-08,10
1963-09,15
1963-10,23
1963-11,18
1963-12,51
1964-01,29
1964-02,9
1964-03,23
1964-04,19
1964-05,22
1964-06,23
1964-07,20
1964-08,12
1964-09,34
1964-10,25
1964-11,19
1964-12,29
1965-01,22
1965-02,20
1965-03,24
1965-04,19
1965-05,21
1965-06,26
1965-07,25
1965-08,19
1965-09,17
1965-10,28
1965-11,26
1965-12,26
1966-01,39
1966-02,20
1966-03,33
1966-04,15
1966-05,28
1966-06,29
1966-07,30
1966-08,16
1966-09,32
1966-10,25
1966-11,23
1966-12,44
1967-01,36
1967-02,18
1967-03,57
1967-04,28
1967-05,25
1967-06,37
1967-07,24
1967-08,20
1967-09,47
1967-10,19
1967-11,33
1967-12,45
1968-01,29
1968-02,24
1968-03,59
1968-04,29
1968-05,42
1968-06,39
1968-07,31
1968-08,26
1968-09,46
1968-10,24
1968-11,31
1968-12,48
1969-01,39
1969-02,22
1969-03,40
1969-04,25
1969-05,37
1969-06,24
1969-07,31
1969-08,23
1969-09,39
1969-10,33
1969-11,33
1969-12,52
1970-01,139
1970-02,29
1970-03,62
1970-04,40
1970-05,35
1970-06,45
1970-07,42
1970-08,31
1970-09,59
1970-10,47
1970-11,40
1970-12,61
1971-01,85
1971-02,50
1971-03,72
1971-04,33
1971-05,39
1971-06,58
1971-07,30
1971-08,33
1971-09,76
1971-10,38
1971-11,34
1971-12,65
1972-01,91
1972-02,44
1972-03,73
1972-04,62
1972-05,36
1972-06,60
1972-07,50
1972-08,53
1972-09,69
1972-10,58
1972-11,40
1972-12,74
1973-01,77
1973-02,52
1973-03,87
1973-04,44
1973-05,46
1973-06,70
1973-07,54
1973-08,58
1973-09,100
1973-10,49
1973-11,36
1973-12,82
1974-01,74
1974-02,43
1974-03,119
1974-04,28
1974-05,64
1974-06,71
1974-07,44
1974-08,50
1974-09,94
1974-10,62
1974-11,95
1974-12,90
1975-01,83
1975-02,74
1975-03,87
1975-04,59
1975-05,49
1975-06,88
1975-07,51
1975-08,70
1975-09,82
1975-10,58
1975-11,95
1975-12,110
1976-01,132
1976-02,39
1976-03,85
1976-04,74
1976-05,59
1976-06,77
1976-07,65
1976-08,63
1976-09,94
1976-10,76
1976-11,84
1976-12,100
1977-01,171
1977-02,54
1977-03,93
1977-04,75
1977-05,68
1977-06,80
1977-07,75
1977-08,72
1977-09,106
1977-10,78
1977-11,66
1977-12,88
1978-01,178
1978-02,57
1978-03,105
1978-04,67
1978-05,67
1978-06,75
