Date,Innovación Colaborativa
1950-01,0
1950-02,2
1950-03,1
1950-04,1
1950-05,1
1950-06,0
1950-07,1
1950-08,0
1950-09,0
1950-10,1
1950-11,1
1950-12,0
1951-01,0
1951-02,1
1951-03,2
1951-04,1
1951-05,0
1951-06,0
1951-07,0
1951-08,1
1951-09,0
1951-10,0
1951-11,0
1951-12,0
1952-01,0
1952-02,0
1952-03,0
1952-04,0
1952-05,0
1952-06,0
1952-07,1
1952-08,0
1952-09,0
1952-10,0
1952-11,0
1952-12,1
1953-01,1
1953-02,1
1953-03,0
1953-04,1
1953-05,1
1953-06,2
1953-07,1
1953-08,1
1953-09,0
1953-10,2
1953-11,2
1953-12,1
1954-01,1
1954-02,3
1954-03,3
1954-04,2
1954-05,2
1954-06,1
1954-07,1
1954-08,1
1954-09,2
1954-10,1
1954-11,3
1954-12,1
1955-01,1
1955-02,2
1955-03,2
1955-04,0
1955-05,3
1955-06,1
1955-07,1
1955-08,0
1955-09,0
1955-10,0
1955-11,1
1955-12,1
1956-01,2
1956-02,1
1956-03,1
1956-04,1
1956-05,2
1956-06,4
1956-07,1
1956-08,1
1956-09,0
1956-10,1
1956-11,0
1956-12,3
1957-01,1
1957-02,0
1957-03,0
1957-04,0
1957-05,0
1957-06,0
1957-07,1
1957-08,2
1957-09,1
1957-10,0
1957-11,2
1957-12,2
1958-01,0
1958-02,1
1958-03,0
1958-04,0
1958-05,0
1958-06,1
1958-07,0
1958-08,0
1958-09,4
1958-10,0
1958-11,0
1958-12,2
1959-01,3
1959-02,0
1959-03,3
1959-04,1
1959-05,0
1959-06,1
1959-07,1
1959-08,1
1959-09,3
1959-10,3
1959-11,1
1959-12,2
1960-01,5
1960-02,0
1960-03,1
1960-04,4
1960-05,3
1960-06,3
1960-07,2
1960-08,1
1960-09,0
1960-10,2
1960-11,0
1960-12,2
1961-01,3
1961-02,2
1961-03,3
1961-04,1
1961-05,2
1961-06,3
1961-07,0
1961-08,1
1961-09,3
1961-10,1
1961-11,1
1961-12,19
1962-01,20
1962-02,0
1962-03,3
1962-04,22
1962-05,3
1962-06,2
1962-07,18
1962-08,3
1962-09,3
1962-10,18
1962-11,1
1962-12,2
1963-01,22
1963-02,2
1963-03,6
1963-04,20
1963-05,2
1963-06,2
1963-07,15
1963-08,1
1963-09,3
1963-10,19
1963-11,5
1963-12,10
1964-01,23
1964-02,5
1964-03,1
1964-04,24
1964-05,2
1964-06,5
1964-07,20
1964-08,3
1964-09,3
1964-10,29
1964-11,2
1964-12,2
1965-01,37
1965-02,2
1965-03,4
1965-04,26
1965-05,2
1965-06,1
1965-07,29
1965-08,1
1965-09,5
1965-10,25
1965-11,7
1965-12,8
1966-01,30
1966-02,3
1966-03,6
1966-04,23
1966-05,6
1966-06,8
1966-07,36
1966-08,2
1966-09,8
1966-10,21
1966-11,4
1966-12,7
1967-01,39
1967-02,6
1967-03,7
1967-04,25
1967-05,4
1967-06,7
1967-07,31
1967-08,8
1967-09,8
1967-10,32
1967-11,4
1967-12,14
1968-01,46
1968-02,4
1968-03,10
1968-04,40
1968-05,8
1968-06,14
1968-07,36
1968-08,3
1968-09,6
1968-10,30
1968-11,5
1968-12,28
1969-01,42
1969-02,7
1969-03,14
1969-04,32
1969-05,17
1969-06,10
1969-07,32
1969-08,6
1969-09,10
1969-10,38
1969-11,12
1969-12,35
1970-01,85
1970-02,7
1970-03,12
1970-04,50
1970-05,9
1970-06,11
1970-07,36
1970-08,9
1970-09,9
1970-10,39
1970-11,14
1970-12,10
1971-01,47
1971-02,6
1971-03,10
1971-04,39
1971-05,9
1971-06,6
1971-07,36
1971-08,7
1971-09,11
1971-10,42
1971-11,9
1971-12,28
1972-01,39
1972-02,20
1972-03,16
1972-04,47
1972-05,7
1972-06,15
1972-07,35
1972-08,7
1972-09,12
1972-10,49
1972-11,7
1972-12,11
1973-01,43
1973-02,10
1973-03,18
1973-04,31
1973-05,17
1973-06,15
1973-07,41
1973-08,7
1973-09,16
1973-10,30
1973-11,7
1973-12,17
1974-01,35
1974-02,7
1974-03,6
1974-04,32
1974-05,15
1974-06,17
1974-07,38
1974-08,16
1974-09,12
1974-10,40
1974-11,9
1974-12,19
1975-01,38
1975-02,5
1975-03,14
1975-04,32
1975-05,8
1975-06,16
1975-07,42
1975-08,16
1975-09,10
1975-10,45
1975-11,9
1975-12,18
1976-01,73
1976-02,12
1976-03,13
1976-04,43
1976-05,13
1976-06,20
1976-07,43
1976-08,11
1976-09,10
1976-10,33
1976-11,8
1976-12,21
1977-01,78
1977-02,10
1977-03,20
1977-04,32
1977-05,9
1977-06,25
1977-07,45
1977-08,21
1977-09,20
1977-10,33
1977-11,9
1977-12,41
1978-01,62
1978-02,17
1978-03,20
1978-04,41
1978-05,17
1978-06,25
1978-07,62
1978-08,7
1978-09,14
1978-10,66
1978-11,17
1978-12,27
1979-01,57
1979-02,21
1979-03,21
1979-04,57
1979-05,7
1979-06,29
1979-07,78
1979-08,11
1979-09,44
1979-10,53
1979-11,20
1979-12,29
1980-01,85
1980-02,12
1980-03,23
1980-04,39
1980-05,23
1980-06,32
1980-07,47
1980-08,41
1980-09,17
1980-10,63
1980-11,23
1980-12,43
1981-01,81
1981-02,14
1981-03,36
1981-04,61
1981-05,12
1981-06,29
1981-07,65
1981-08,25
1981-09,25
1981-10,54
1981-11,15
1981-12,31
1982-01,85
1982-02,16
1982-03,26
1982-04,60
1982-05,18
1982-06,20
1982-07,57
1982-08,16
1982-09,31
1982-10,66
1982-11,3
1982-12,19
1983-01,80
1983-02,25
1983-03,25
