Date,Reingeniería de Procesos
1950-01,2
1950-02,3
1950-03,1
1950-04,3
1950-05,5
1950-06,3
1950-07,3
1950-08,2
1950-09,2
1950-10,4
1950-11,2
1950-12,5
1951-01,3
1951-02,3
1951-03,2
1951-04,3
1951-05,2
1951-06,1
1951-07,2
1951-08,1
1951-09,1
1951-10,2
1951-11,4
1951-12,5
1952-01,1
1952-02,6
1952-03,6
1952-04,6
1952-05,1
1952-06,6
1952-07,3
1952-08,2
1952-09,4
1952-10,2
1952-11,3
1952-12,4
1953-01,2
1953-02,1
1953-03,3
1953-04,3
1953-05,1
1953-06,2
1953-07,3
1953-08,2
1953-09,1
1953-10,3
1953-11,0
1953-12,1
1954-01,1
1954-02,1
1954-03,0
1954-04,3
1954-05,2
1954-06,0
1954-07,0
1954-08,0
1954-09,0
1954-10,0
1954-11,1
1954-12,0
1955-01,0
1955-02,1
1955-03,2
1955-04,0
1955-05,2
1955-06,1
1955-07,2
1955-08,1
1955-09,0
1955-10,1
1955-11,2
1955-12,2
1956-01,2
1956-02,0
1956-03,0
1956-04,0
1956-05,0
1956-06,3
1956-07,6
1956-08,0
1956-09,2
1956-10,1
1956-11,1
1956-12,1
1957-01,5
1957-02,1
1957-03,1
1957-04,3
1957-05,3
1957-06,1
1957-07,2
1957-08,0
1957-09,2
1957-10,2
1957-11,1
1957-12,4
1958-01,4
1958-02,1
1958-03,4
1958-04,0
1958-05,1
1958-06,0
1958-07,0
1958-08,7
1958-09,2
1958-10,2
1958-11,1
1958-12,3
1959-01,6
1959-02,0
1959-03,3
1959-04,0
1959-05,2
1959-06,1
1959-07,3
1959-08,0
1959-09,1
1959-10,2
1959-11,0
1959-12,2
1960-01,5
1960-02,1
1960-03,4
1960-04,0
1960-05,1
1960-06,2
1960-07,3
1960-08,2
1960-09,2
1960-10,1
1960-11,1
1960-12,2
1961-01,3
1961-02,2
1961-03,3
1961-04,2
1961-05,2
1961-06,1
1961-07,1
1961-08,0
1961-09,3
1961-10,3
1961-11,2
1961-12,3
1962-01,7
1962-02,0
1962-03,4
1962-04,7
1962-05,0
1962-06,3
1962-07,7
1962-08,2
1962-09,3
1962-10,1
1962-11,3
1962-12,9
1963-01,11
1963-02,2
1963-03,3
1963-04,4
1963-05,2
1963-06,2
1963-07,6
1963-08,2
1963-09,5
1963-10,2
1963-11,0
1963-12,2
1964-01,5
1964-02,2
1964-03,4
1964-04,5
1964-05,4
1964-06,5
1964-07,2
1964-08,1
1964-09,5
1964-10,2
1964-11,3
1964-12,5
1965-01,8
1965-02,1
1965-03,3
1965-04,8
1965-05,1
1965-06,2
1965-07,4
1965-08,5
1965-09,6
1965-10,6
1965-11,6
1965-12,7
1966-01,8
1966-02,5
1966-03,12
1966-04,6
1966-05,3
1966-06,5
1966-07,11
1966-08,2
1966-09,3
1966-10,6
1966-11,0
1966-12,7
1967-01,20
1967-02,5
1967-03,8
1967-04,7
1967-05,1
1967-06,3
1967-07,6
1967-08,2
1967-09,7
1967-10,4
1967-11,6
1967-12,7
1968-01,8
1968-02,5
1968-03,9
1968-04,5
1968-05,7
1968-06,9
1968-07,6
1968-08,3
1968-09,5
1968-10,18
1968-11,2
1968-12,10
1969-01,7
1969-02,3
1969-03,3
1969-04,5
1969-05,10
1969-06,6
1969-07,5
1969-08,8
1969-09,9
1969-10,11
1969-11,3
1969-12,26
1970-01,57
1970-02,6
1970-03,8
1970-04,10
1970-05,9
1970-06,12
1970-07,6
1970-08,6
1970-09,8
1970-10,9
1970-11,11
1970-12,14
1971-01,17
1971-02,6
1971-03,10
1971-04,8
1971-05,11
1971-06,13
1971-07,11
1971-08,13
1971-09,6
1971-10,12
1971-11,9
1971-12,14
1972-01,9
1972-02,2
1972-03,7
1972-04,12
1972-05,6
1972-06,26
1972-07,14
1972-08,15
1972-09,14
1972-10,11
1972-11,13
1972-12,10
1973-01,22
1973-02,8
1973-03,22
1973-04,10
1973-05,4
1973-06,17
1973-07,11
1973-08,13
1973-09,17
1973-10,13
1973-11,8
1973-12,20
1974-01,28
1974-02,9
1974-03,16
1974-04,14
1974-05,9
1974-06,14
1974-07,19
1974-08,12
1974-09,12
1974-10,18
1974-11,8
1974-12,14
1975-01,26
1975-02,16
1975-03,15
1975-04,14
1975-05,12
1975-06,15
1975-07,11
1975-08,19
1975-09,10
1975-10,20
1975-11,5
1975-12,36
1976-01,32
1976-02,15
1976-03,13
1976-04,22
1976-05,15
1976-06,27
1976-07,16
1976-08,14
1976-09,23
1976-10,14
1976-11,14
1976-12,32
1977-01,31
1977-02,19
1977-03,26
1977-04,26
1977-05,6
1977-06,41
1977-07,8
1977-08,15
1977-09,24
1977-10,21
1977-11,13
1977-12,20
1978-01,29
1978-02,12
1978-03,27
1978-04,16
1978-05,20
1978-06,24
1978-07,21
1978-08,20
1978-09,19
1978-10,20
1978-11,13
1978-12,26
1979-01,63
1979-02,17
1979-03,23
1979-04,25
1979-05,6
1979-06,30
1979-07,11
1979-08,15
1979-09,35
1979-10,16
1979-11,15
1979-12,24
1980-01,59
1980-02,16
1980-03,11
1980-04,23
1980-05,21
1980-06,24
1980-07,23
1980-08,13
1980-09,19
1980-10,26
1980-11,19
1980-12,26
1981-01,61
1981-02,14
1981-03,28
1981-04,23
1981-05,13
1981-06,34
1981-07,14
1981-08,22
1981-09,17
1981-10,36
1981-11,13
1981-12,49
1982-01,58
1982-02,18
1982-03,38
1982-04,36
1982-05,7
1982-06,27
1982-07,17
1982-08,15
1982-09,31
1982-10,28
1982-11,15
1982-12,25
1983-01,91
1983-02,27
1983-03,36
1983-04,26
1983-05,25
1983-06,38
1983-07,26
1983-08,19
1983-09,38
1983-10,24
1983-11,18
1983-12,36
1984-01,99
1984-02,25
1984-03,40
1984-04,32
1984-05,18
1984-06,28
1984-07,37
1984-08,22
1984-09,28
1984-10,19
1984-11,16
1984-12,37
1985-01,116
1985-02,30
1985-03,34
1985-04,31
1985-05,29
1985-06,39
1985-07,32
1985-08,34
1985-09,45
1985-10,25
1985-11,35
1985-12,49
1986-01,100
1986-02,17
1986-03,35
1986-04,45
1986-05,25
1986-06,43
1986-07,35
1986-08,20
1986-09,40
1986-10,42
1986-11,19
1986-12,50
1987-01,150
1987-02,32
1987-03,36
1987-04,44
1987-05,45
1987-06,41
1987-07,34
1987-08,28
1987-09,38
1987-10,46
1987-11,35
1987-12,38
1988-01,139
1988-02,29
1988-03,46
1988-04,38
1988-05,24
1988-06,60
1988-07,28
1988-08,38
1988-09,70
1988-10,27
1988-11,20
1988-12,45
1989-01,138
1989-02,32
1989-03,56
1989-04,32
1989-05,41
1989-06,51
1989-07,53
1989-08,58
1989-09,53
1989-10,47
1989-11,26
1989-12,50
1990-01,192
1990-02,35
1990-03,52
1990-04,43
1990-05,31
1990-06,58
1990-07,46
1990-08,33
1990-09,77
1990-10,64
1990-11,30
1990-12,46
1991-01,182
1991-02,36
1991-03,61
1991-04,100
1991-05,54
1991-06,59
1991-07,55
1991-08,56
1991-09,81
1991-10,55
1991-11,39
1991-12,49
1992-01,146
1992-02,48
1992-03,80
1992-04,74
1992-05,75
1992-06,80
1992-07,66
1992-08,41
1992-09,96
1992-10,72
1992-11,62
1992-12,77
1993-01,184
1993-02,77
1993-03,79
1993-04,91
1993-05,57
1993-06,109
1993-07,78
1993-08,88
1993-09,79
1993-10,82
1993-11,50
1993-12,104
1994-01,215
1994-02,64
1994-03,92
1994-04,71
1994-05,72
1994-06,88
1994-07,85
1994-08,95
1994-09,115
1994-10,83
1994-11,69
1994-12,120
1995-01,236
1995-02,73
1995-03,116
1995-04,86
1995-05,84
1995-06,141
1995-07,100
1995-08,94
1995-09,139
1995-10,84
1995-11,82
1995-12,129
1996-01,241
1996-02,76
1996-03,162
1996-04,106
1996-05,103
1996-06,161
1996-07,106
1996-08,115
1996-09,137
1996-10,103
1996-11,101
1996-12,148
1997-01,192
1997-02,91
1997-03,152
1997-04,112
1997-05,100
1997-06,193
1997-07,133
1997-08,117
1997-09,164
1997-10,89
1997-11,85
1997-12,138
1998-01,204
1998-02,94
1998-03,198
1998-04,104
1998-05,94
1998-06,176
1998-07,146
1998-08,121
1998-09,187
1998-10,89
1998-11,89
1998-12,201
1999-01,215
1999-02,87
1999-03,148
1999-04,125
1999-05,111
1999-06,174
1999-07,139
1999-08,118
1999-09,170
1999-10,112
1999-11,141
1999-12,135
2000-01,268
2000-02,105
2000-03,176
2000-04,125
2000-05,117
2000-06,174
2000-07,180
2000-08,115
2000-09,146
2000-10,141
2000-11,111
2000-12,152
2001-01,240
2001-02,84
2001-03,184
2001-04,131
2001-05,133
2001-06,230
2001-07,122
2001-08,131
2001-09,143
2001-10,165
2001-11,82
2001-12,207
2002-01,272
2002-02,123
2002-03,176
2002-04,132
2002-05,90
2002-06,158
2002-07,186
2002-08,116
2002-09,164
2002-10,151
2002-11,158
2002-12,173
2003-01,303
2003-02,153
2003-03,183
2003-04,206
2003-05,130
2003-06,184
2003-07,161
2003-08,157
2003-09,209
2003-10,164
2003-11,130
2003-12,217
2004-01,287
2004-02,161
2004-03,211
2004-04,189
2004-05,193
2004-06,245
2004-07,187
2004-08,231
2004-09,229
2004-10,217
2004-11,159
2004-12,259
2005-01,363
2005-02,164
2005-03,195
2005-04,205
2005-05,240
2005-06,218
2005-07,244
2005-08,178
2005-09,264
2005-10,233
2005-11,186
2005-12,212
2006-01,420
2006-02,192
2006-03,348
2006-04,274
2006-05,286
2006-06,280
2006-07,289
2006-08,206
2006-09,359
2006-10,345
2006-11,266
2006-12,305
2007-01,439
2007-02,234
2007-03,369
2007-04,303
2007-05,306
2007-06,339
2007-07,355
2007-08,345
2007-09,369
2007-10,341
2007-11,304
2007-12,398
2008-01,449
2008-02,215
2008-03,449
2008-04,402
2008-05,330
2008-06,420
2008-07,372
2008-08,243
2008-09,398
2008-10,499
2008-11,333
2008-12,553
2009-01,450
2009-02,337
2009-03,427
2009-04,358
2009-05,405
2009-06,488
2009-07,458
2009-08,396
2009-09,552
2009-10,465
2009-11,389
2009-12,478
2010-01,591
2010-02,278
2010-03,508
2010-04,441
2010-05,631
2010-06,532
2010-07,502
2010-08,511
2010-09,489
2010-10,664
2010-11,509
2010-12,538
2011-01,642
2011-02,410
2011-03,545
2011-04,436
2011-05,859
2011-06,708
2011-07,601
2011-08,666
2011-09,674
2011-10,522
2011-11,527
2011-12,613
2012-01,935
2012-02,424
2012-03,725
2012-04,503
2012-05,539
2012-06,746
2012-07,646
2012-08,505
2012-09,689
2012-10,649
2012-11,606
2012-12,725
2013-01,795
2013-02,433
2013-03,652
2013-04,543
2013-05,617
2013-06,728
2013-07,620
2013-08,603
2013-09,808
2013-10,758
2013-11,778
2013-12,803
2014-01,818
2014-02,619
2014-03,655
2014-04,650
2014-05,633
2014-06,806
2014-07,753
2014-08,667
2014-09,881
2014-10,819
2014-11,717
2014-12,891
2015-01,882
2015-02,515
2015-03,860
2015-04,618
2015-05,652
2015-06,781
2015-07,696
2015-08,687
2015-09,745
2015-10,927
2015-11,754
2015-12,952
2016-01,945
2016-02,617
2016-03,920
2016-04,868
2016-05,768
2016-06,900
2016-07,757
2016-08,789
2016-09,955
2016-10,857
2016-11,895
2016-12,1076
2017-01,765
2017-02,716
2017-03,892
2017-04,742
2017-05,830
2017-06,984
2017-07,1101
2017-08,1019
2017-09,1146
2017-10,1046
2017-11,1042
2017-12,1204
2018-01,945
2018-02,684
2018-03,1091
2018-04,897
2018-05,962
2018-06,1184
2018-07,1015
2018-08,1025
2018-09,1229
2018-10,1377
2018-11,961
2018-12,1310
2019-01,1037
2019-02,855
2019-03,1127
2019-04,1071
2019-05,1145
2019-06,1318
2019-07,1123
2019-08,1194
2019-09,1329
2019-10,1390
2019-11,1434
2019-12,1491
2020-01,1615
2020-02,1081
2020-03,1212
2020-04,1034
2020-05,1056
