Date,Alianzas y Capital de Riesgo
1950-01,9
1950-02,4
1950-03,5
1950-04,6
1950-05,4
1950-06,7
1950-07,8
1950-08,1
1950-09,4
1950-10,4
1950-11,4
1950-12,15
1951-01,6
1951-02,4
1951-03,4
1951-04,7
1951-05,7
1951-06,4
1951-07,6
1951-08,0
1951-09,9
1951-10,3
1951-11,0
1951-12,25
1952-01,8
1952-02,6
1952-03,4
1952-04,8
1952-05,9
1952-06,4
1952-07,11
1952-08,2
1952-09,5
1952-10,4
1952-11,3
1952-12,31
1953-01,9
1953-02,8
1953-03,4
1953-04,7
1953-05,7
1953-06,7
1953-07,2
1953-08,1
1953-09,11
1953-10,2
1953-11,6
1953-12,24
1954-01,10
1954-02,10
1954-03,6
1954-04,5
1954-05,7
1954-06,1
1954-07,3
1954-08,4
1954-09,6
1954-10,2
1954-11,8
1954-12,9
1955-01,14
1955-02,6
1955-03,11
1955-04,6
1955-05,13
1955-06,6
1955-07,4
1955-08,6
1955-09,8
1955-10,5
1955-11,5
1955-12,6
1956-01,9
1956-02,8
1956-03,5
1956-04,10
1956-05,7
1956-06,14
1956-07,6
1956-08,3
1956-09,12
1956-10,7
1956-11,3
1956-12,10
1957-01,12
1957-02,4
1957-03,15
1957-04,8
1957-05,10
1957-06,16
1957-07,7
1957-08,9
1957-09,8
1957-10,7
1957-11,6
1957-12,9
1958-01,9
1958-02,11
1958-03,10
1958-04,7
1958-05,8
1958-06,11
1958-07,6
1958-08,8
1958-09,9
1958-10,14
1958-11,2
1958-12,23
1959-01,9
1959-02,7
1959-03,12
1959-04,11
1959-05,7
1959-06,9
1959-07,14
1959-08,7
1959-09,11
1959-10,4
1959-11,6
1959-12,22
1960-01,12
1960-02,8
1960-03,9
1960-04,6
1960-05,5
1960-06,7
1960-07,8
1960-08,1
1960-09,16
1960-10,12
1960-11,5
1960-12,46
1961-01,18
1961-02,10
1961-03,11
1961-04,17
1961-05,8
1961-06,7
1961-07,8
1961-08,6
1961-09,13
1961-10,11
1961-11,7
1961-12,32
1962-01,14
1962-02,9
1962-03,16
1962-04,13
1962-05,10
1962-06,12
1962-07,9
1962-08,8
1962-09,16
1962-10,10
1962-11,10
1962-12,31
1963-01,18
1963-02,3
1963-03,16
1963-04,7
1963-05,10
1963-06,8
1963-07,9
1963-08,3
1963-09,18
1963-10,8
1963-11,9
1963-12,50
1964-01,23
1964-02,6
1964-03,12
1964-04,13
1964-05,15
1964-06,17
1964-07,17
1964-08,7
1964-09,13
1964-10,12
1964-11,14
1964-12,60
1965-01,22
1965-02,12
1965-03,13
1965-04,23
1965-05,11
1965-06,12
1965-07,17
1965-08,7
1965-09,21
1965-10,16
1965-11,15
1965-12,39
1966-01,29
1966-02,11
1966-03,24
1966-04,10
1966-05,23
1966-06,13
1966-07,20
1966-08,9
1966-09,19
1966-10,15
1966-11,14
1966-12,62
1967-01,31
1967-02,10
1967-03,32
1967-04,15
1967-05,19
1967-06,20
1967-07,28
1967-08,7
1967-09,24
1967-10,9
1967-11,11
1967-12,46
1968-01,33
1968-02,15
1968-03,35
1968-04,11
1968-05,15
1968-06,19
1968-07,24
1968-08,11
1968-09,35
1968-10,19
1968-11,12
1968-12,54
1969-01,58
1969-02,24
1969-03,28
1969-04,14
1969-05,21
1969-06,27
1969-07,25
1969-08,21
1969-09,27
1969-10,17
1969-11,23
1969-12,80
1970-01,262
1970-02,21
1970-03,39
1970-04,45
1970-05,28
1970-06,29
1970-07,20
1970-08,23
1970-09,30
1970-10,23
1970-11,23
1970-12,44
1971-01,59
1971-02,21
1971-03,31
1971-04,27
1971-05,22
1971-06,36
1971-07,23
1971-08,51
1971-09,31
1971-10,34
