Date,Balanced Scorecard
1950-01,0
1950-02,1
1950-03,3
1950-04,0
1950-05,1
1950-06,1
1950-07,1
1950-08,0
1950-09,0
1950-10,1
1950-11,1
1950-12,1
1951-01,1
1951-02,1
1951-03,0
1951-04,2
1951-05,1
1951-06,2
1951-07,1
1951-08,4
1951-09,1
1951-10,4
1951-11,0
1951-12,3
1952-01,0
1952-02,0
1952-03,2
1952-04,5
1952-05,1
1952-06,3
1952-07,1
1952-08,2
1952-09,0
1952-10,4
1952-11,1
1952-12,2
1953-01,3
1953-02,0
1953-03,2
1953-04,0
1953-05,0
1953-06,0
1953-07,1
1953-08,3
1953-09,1
1953-10,0
1953-11,2
1953-12,0
1954-01,2
1954-02,2
1954-03,5
1954-04,4
1954-05,3
1954-06,2
1954-07,4
1954-08,1
1954-09,3
1954-10,5
1954-11,0
1954-12,0
1955-01,1
1955-02,2
1955-03,3
1955-04,3
1955-05,4
1955-06,5
1955-07,0
1955-08,2
1955-09,1
1955-10,5
1955-11,6
1955-12,3
1956-01,0
1956-02,1
1956-03,0
1956-04,0
1956-05,1
1956-06,2
1956-07,2
1956-08,2
1956-09,5
1956-10,0
1956-11,1
1956-12,0
1957-01,2
1957-02,0
1957-03,0
1957-04,1
1957-05,3
1957-06,5
1957-07,2
1957-08,2
1957-09,2
1957-10,1
1957-11,0
1957-12,2
1958-01,2
1958-02,3
1958-03,3
1958-04,3
1958-05,1
1958-06,0
1958-07,1
1958-08,3
1958-09,4
1958-10,0
1958-11,2
1958-12,4
1959-01,3
1959-02,0
1959-03,4
1959-04,2
1959-05,4
1959-06,5
1959-07,0
1959-08,1
1959-09,2
1959-10,2
1959-11,5
1959-12,8
1960-01,3
1960-02,0
1960-03,2
1960-04,5
1960-05,7
1960-06,6
1960-07,4
1960-08,1
1960-09,2
1960-10,2
1960-11,2
1960-12,4
1961-01,2
1961-02,5
1961-03,2
1961-04,4
1961-05,3
1961-06,3
1961-07,0
1961-08,2
1961-09,3
1961-10,3
1961-11,2
1961-12,2
1962-01,6
1962-02,0
1962-03,1
1962-04,3
1962-05,5
1962-06,2
1962-07,2
