Date,Benchmarking
1950-01,10
1950-02,1
1950-03,3
1950-04,5
1950-05,4
1950-06,2
1950-07,4
1950-08,2
1950-09,3
1950-10,2
1950-11,1
1950-12,7
1951-01,9
1951-02,2
1951-03,3
1951-04,3
1951-05,2
1951-06,4
1951-07,4
1951-08,3
1951-09,3
1951-10,3
1951-11,4
1951-12,10
1952-01,9
1952-02,4
1952-03,5
1952-04,3
1952-05,6
1952-06,10
1952-07,8
1952-08,3
1952-09,3
1952-10,4
1952-11,1
1952-12,10
1953-01,8
1953-02,6
1953-03,9
1953-04,6
1953-05,6
1953-06,4
1953-07,4
1953-08,3
1953-09,5
1953-10,7
1953-11,5
1953-12,7
1954-01,5
1954-02,7
1954-03,8
1954-04,5
1954-05,1
1954-06,2
1954-07,7
1954-08,7
1954-09,1
1954-10,4
1954-11,5
1954-12,13
1955-01,13
1955-02,6
1955-03,8
1955-04,4
1955-05,1
1955-06,3
1955-07,4
1955-08,2
1955-09,4
1955-10,6
1955-11,5
1955-12,15
1956-01,12
1956-02,2
1956-03,3
1956-04,5
1956-05,6
1956-06,10
1956-07,5
1956-08,1
1956-09,4
1956-10,6
1956-11,7
1956-12,18
1957-01,15
1957-02,8
1957-03,16
1957-04,14
1957-05,7
1957-06,6
1957-07,7
1957-08,6
1957-09,6
1957-10,8
1957-11,8
1957-12,21
1958-01,21
1958-02,8
1958-03,10
1958-04,10
1958-05,8
1958-06,12
1958-07,11
1958-08,9
1958-09,7
1958-10,5
1958-11,10
1958-12,22
1959-01,17
1959-02,3
1959-03,8
1959-04,13
1959-05,7
1959-06,9
1959-07,12
1959-08,8
1959-09,7
1959-10,6
1959-11,13
1959-12,40
1960-01,31
1960-02,6
1960-03,13
1960-04,14
1960-05,11
1960-06,18
1960-07,15
1960-08,11
1960-09,15
1960-10,8
1960-11,6
1960-12,33
1961-01,29
1961-02,6
1961-03,14
1961-04,20
1961-05,13
1961-06,16
1961-07,43
1961-08,40
1961-09,13
1961-10,11
1961-11,12
1961-12,35
1962-01,29
1962-02,6
1962-03,15
1962-04,14
1962-05,10
1962-06,17
1962-07,8
1962-08,7
1962-09,15
1962-10,14
1962-11,19
1962-12,46
1963-01,40
1963-02,18
1963-03,24
1963-04,19
1963-05,13
1963-06,21
1963-07,15
1963-08,11
1963-09,12
1963-10,12
1963-11,16
1963-12,45
1964-01,33
1964-02,10
1964-03,13
1964-04,12
1964-05,15
1964-06,21
1964-07,13
1964-08,12
1964-09,26
1964-10,28
1964-11,23
1964-12,44
1965-01,40
1965-02,16
1965-03,21
1965-04,23
1965-05,26
1965-06,31
1965-07,13
1965-08,16
1965-09,29
1965-10,19
1965-11,19
1965-12,37
1966-01,44
1966-02,34
1966-03,19
1966-04,16
1966-05,18
1966-06,29
1966-07,26
1966-08,17
1966-09,17
1966-10,17
1966-11,21
1966-12,50
1967-01,46
1967-02,23
1967-03,28
1967-04,24
1967-05,21
1967-06,33
1967-07,30
1967-08,25
1967-09,23
1967-10,21
1967-11,27
1967-12,66
1968-01,54
1968-02,26
1968-03,25
1968-04,25
1968-05,26
1968-06,37
1968-07,34
1968-08,27
1968-09,32
1968-10,31
1968-11,23
1968-12,62
1969-01,68
1969-02,38
1969-03,33
1969-04,29
1969-05,26
1969-06,31
1969-07,35
1969-08,28
1969-09,29
1969-10,23
1969-11,22
1969-12,223
1970-01,181
1970-02,26
1970-03,25
1970-04,27
1970-05,31
1970-06,31
1970-07,33
1970-08,40
1970-09,36
1970-10,33
1970-11,29
1970-12,107
1971-01,112
1971-02,31
1971-03,31
1971-04,25
1971-05,25
1971-06,41
1971-07,44
1971-08,46
1971-09,45
1971-10,41
1971-11,37
1971-12,128
1972-01,136
1972-02,57
1972-03,57
1972-04,44
1972-05,41
1972-06,52
1972-07,54
1972-08,60
1972-09,52
1972-10,41
1972-11,43
1972-12,127
1973-01,125
1973-02,63
1973-03,73
1973-04,61
1973-05,60
1973-06,61
1973-07,65
1973-08,77
1973-09,63
1973-10,46
1973-11,56
1973-12,153
1974-01,139
1974-02,59
1974-03,65
1974-04,48
1974-05,67
1974-06,65
1974-07,59
1974-08,65
1974-09,61
1974-10,60
1974-11,66
1974-12,193
1975-01,176
1975-02,66
1975-03,92
1975-04,70
1975-05,56
1975-06,64
1975-07,70
1975-08,73
1975-09,64
1975-10,69
1975-11,69
1975-12,253
1976-01,254
1976-02,92
1976-03,96
1976-04,62
1976-05,62
1976-06,89
1976-07,92
1976-08,81
1976-09,79
1976-10,66
1976-11,72
1976-12,264
1977-01,244
1977-02,89
1977-03,111
1977-04,88
1977-05,89
1977-06,91
1977-07,93
1977-08,106
1977-09,114
1977-10,74
1977-11,68
1977-12,312
1978-01,301
1978-02,100
1978-03,122
1978-04,102
1978-05,85
1978-06,107
1978-07,117
1978-08,99
1978-09,101
1978-10,95
1978-11,94
1978-12,350
1979-01,322
1979-02,94
1979-03,112
1979-04,103
1979-05,116
1979-06,128
1979-07,96
1979-08,129
1979-09,114
1979-10,105
1979-11,128
1979-12,476
1980-01,452
1980-02,116
1980-03,124
1980-04,150
1980-05,182
1980-06,139
1980-07,123
1980-08,116
1980-09,146
1980-10,134
1980-11,123
1980-12,485
1981-01,473
1981-02,166
1981-03,197
1981-04,160
1981-05,166
1981-06,198
1981-07,154
1981-08,157
1981-09,199
1981-10,176
1981-11,172
1981-12,526
1982-01,491
1982-02,140
1982-03,194
1982-04,197
1982-05,177
1982-06,182
1982-07,138
1982-08,196
1982-09,209
1982-10,172
1982-11,186
1982-12,578
1983-01,539
1983-02,192
1983-03,190
1983-04,160
1983-05,183
1983-06,178
1983-07,149
1983-08,177
1983-09,188
1983-10,174
1983-11,177
1983-12,572
1984-01,584
1984-02,211
1984-03,215
1984-04,184
1984-05,163
1984-06,176
1984-07,189
1984-08,193
1984-09,190
1984-10,186
1984-11,194
1984-12,591
1985-01,584
1985-02,197
1985-03,204
1985-04,182
1985-05,190
1985-06,210
1985-07,225
1985-08,241
1985-09,230
1985-10,237
1985-11,227
1985-12,695
1986-01,666
1986-02,187
1986-03,220
1986-04,222
1986-05,204
1986-06,179
1986-07,167
1986-08,233
1986-09,233
1986-10,180
1986-11,186
1986-12,646
1987-01,632
1987-02,222
1987-03,211
1987-04,173
1987-05,200
1987-06,214
1987-07,219
1987-08,254
1987-09,219
1987-10,214
1987-11,208
1987-12,776
1988-01,772
1988-02,219
1988-03,218
1988-04,195
1988-05,235
1988-06,209
1988-07,195
1988-08,238
1988-09,229
1988-10,202
1988-11,216
1988-12,851
1989-01,813
1989-02,243
1989-03,290
1989-04,235
1989-05,227
1989-06,244
1989-07,247
1989-08,287
1989-09,274
1989-10,215
1989-11,212
1989-12,1011
1990-01,984
1990-02,270
1990-03,324
1990-04,284
1990-05,254
1990-06,242
1990-07,231
1990-08,333
1990-09,368
1990-10,222
1990-11,193
1990-12,1039
1991-01,1031
1991-02,257
1991-03,322
1991-04,307
1991-05,240
1991-06,305
1991-07,278
1991-08,295
1991-09,307
1991-10,240
1991-11,248
1991-12,999
1992-01,1028
1992-02,333
1992-03,335
1992-04,292
1992-05,385
1992-06,384
1992-07,257
1992-08,275
1992-09,313
1992-10,308
1992-11,298
1992-12,1072
1993-01,1058
1993-02,317
1993-03,369
1993-04,341
1993-05,401
1993-06,381
1993-07,288
1993-08,346
1993-09,408
1993-10,309
1993-11,288
1993-12,1383
1994-01,1344
1994-02,354
1994-03,428
1994-04,403
1994-05,433
1994-06,362
1994-07,323
1994-08,396
1994-09,394
1994-10,321
1994-11,348
1994-12,1600
1995-01,1584
1995-02,408
1995-03,434
1995-04,406
1995-05,479
1995-06,442
1995-07,375
1995-08,423
1995-09,499
1995-10,369
1995-11,389
1995-12,1582
1996-01,1533
1996-02,457
1996-03,522
1996-04,434
1996-05,511
1996-06,480
1996-07,384
1996-08,472
1996-09,562
1996-10,510
1996-11,479
1996-12,1909
1997-01,1835
1997-02,479
1997-03,519
1997-04,416
1997-05,549
1997-06,563
1997-07,411
1997-08,494
1997-09,529
1997-10,412
1997-11,467
1997-12,1875
1998-01,1799
1998-02,514
1998-03,553
1998-04,437
1998-05,554
1998-06,649
1998-07,510
1998-08,529
1998-09,556
1998-10,453
1998-11,516
1998-12,2179
1999-01,1987
1999-02,526
1999-03,588
1999-04,568
1999-05,572
1999-06,547
1999-07,545
1999-08,586
1999-09,598
1999-10,488
1999-11,658
1999-12,2492
2000-01,2326
2000-02,609
2000-03,855
2000-04,545
2000-05,702
2000-06,764
2000-07,548
2000-08,659
2000-09,771
2000-10,540
2000-11,559
2000-12,2360
2001-01,2274
2001-02,564
2001-03,673
2001-04,550
2001-05,679
2001-06,774
2001-07,583
2001-08,659
2001-09,849
2001-10,808
2001-11,597
2001-12,2953
2002-01,2638
2002-02,643
2002-03,715
2002-04,569
2002-05,668
2002-06,772
2002-07,607
2002-08,751
2002-09,808
2002-10,601
2002-11,731
2002-12,2980
2003-01,2803
2003-02,704
2003-03,750
2003-04,635
2003-05,634
2003-06,755
2003-07,634
2003-08,804
2003-09,895
2003-10,658
2003-11,703
2003-12,3336
2004-01,3150
2004-02,834
2004-03,968
2004-04,788
2004-05,929
2004-06,1129
2004-07,866
2004-08,947
2004-09,1004
2004-10,889
2004-11,809
2004-12,3693
2005-01,3542
2005-02,853
2005-03,961
2005-04,829
2005-05,914
2005-06,1055
2005-07,864
2005-08,903
2005-09,1013
2005-10,947
2005-11,937
2005-12,4619
2006-01,4518
2006-02,895
2006-03,1128
2006-04,1015
2006-05,1065
2006-06,1255
2006-07,1147
2006-08,1158
2006-09,1291
2006-10,1270
2006-11,1190
2006-12,4173
2007-01,3990
2007-02,1054
2007-03,1335
2007-04,1186
2007-05,1459
2007-06,1511
2007-07,1371
2007-08,1461
2007-09,1350
2007-10,1247
2007-11,1359
2007-12,4711
2008-01,4402
2008-02,1099
2008-03,1311
2008-04,1340
2008-05,1396
2008-06,1538
2008-07,1264
2008-08,1488
2008-09,1859
2008-10,1751
2008-11,1655
2008-12,5996
2009-01,5435
2009-02,1215
2009-03,1322
2009-04,1303
2009-05,1413
2009-06,1750
2009-07,1468
2009-08,1898
2009-09,1994
2009-10,1593
2009-11,1643
2009-12,6031
2010-01,5511
2010-02,1240
2010-03,1626
2010-04,1523
2010-05,1652
2010-06,1960
2010-07,1998
2010-08,2010
2010-09,2081
2010-10,2118
2010-11,2189
2010-12,6330
2011-01,5945
2011-02,1502
2011-03,1782
2011-04,1965
2011-05,2054
2011-06,2207
2011-07,2068
2011-08,2375
2011-09,2353
2011-10,2048
2011-11,2075
2011-12,6722
2012-01,7636
2012-02,1689
2012-03,2044
2012-04,1989
2012-05,2268
2012-06,3000
2012-07,2479
2012-08,1993
2012-09,2503
2012-10,2265
2012-11,2456
2012-12,8484
2013-01,8026
2013-02,1735
2013-03,2047
2013-04,2027
2013-05,2278
2013-06,2639
2013-07,2254
2013-08,2158
2013-09,2586
2013-10,2762
2013-11,2690
2013-12,9087
2014-01,8872
2014-02,1975
2014-03,2326
2014-04,2445
2014-05,2442
2014-06,2654
2014-07,2433
2014-08,2734
2014-09,2996
2014-10,2731
2014-11,2945
2014-12,10148
2015-01,9555
2015-02,2135
2015-03,2960
2015-04,2235
2015-05,2442
2015-06,2562
2015-07,2295
2015-08,2477
2015-09,2838
2015-10,3033
2015-11,3018
2015-12,11061
2016-01,10335
2016-02,2358
2016-03,2770
2016-04,3031
2016-05,2811
2016-06,3154
2016-07,2610
2016-08,3054
2016-09,3454
2016-10,3221
2016-11,3213
2016-12,10953
2017-01,10037
2017-02,2539
2017-03,3046
2017-04,2757
2017-05,3138
2017-06,3487
2017-07,3899
2017-08,3839
2017-09,3760
2017-10,3500
2017-11,3605
2017-12,12076
2018-01,11186
2018-02,2709
2018-03,3502
2018-04,3251
2018-05,3517
2018-06,3932
2018-07,4566
2018-08,4073
2018-09,4109
2018-10,4406
2018-11,4011
2018-12,13592
2019-01,12676
2019-02,3152
2019-03,3864
2019-04,3502
2019-05,3770
2019-06,4265
2019-07,4291
2019-08,4453
2019-09,4426
2019-10,4626
2019-11,5143
2019-12,16112
2020-01,15256
2020-02,3522
2020-03,3866
2020-04,3640
2020-05,3769
2020-06,4846
2020-07,4660
2020-08,4644
2020-09,4621
2020-10,4571
2020-11,5126
2020-12,17620
2021-01,15948
2021-02,4154
2021-03,4687
2021-04,4357
2021-05,4300
2021-06,4953
2021-07,4471
2021-08,5182
2021-09,5014
2021-10,4701
2021-11,5282
2021-12,18204
2022-01,16820
2022-02,3796
2022-03,4785
2022-04,4497
2022-05,4575
2022-06,5634
2022-07,4804
2022-08,5236
2022-09,5077
2022-10,5063
2022-11,5397
2022-12,20351
2023-01,18768
2023-02,4167
2023-03,4909
2023-04,4332
2023-05,4951
2023-06,6042
2023-07,5405
2023-08,5716
2023-09,5758
2023-10,6032
2023-11,6163
2023-12,22895
2024-01,20793
2024-02,5405
2024-03,5562
2024-04,5842
2024-05,6418
2024-06,6725
2024-07,6377
2024-08,6370
2024-09,6593
2024-10,6490
2024-11,6636
2024-12,10619
2025-01,8415
2025-02,4869
2025-03,2676
