Date,Competencias Centrales
1950-01,10
1950-02,2
1950-03,5
1950-04,5
1950-05,3
1950-06,5
1950-07,3
1950-08,2
1950-09,3
1950-10,3
1950-11,1
1950-12,3
1951-01,5
1951-02,2
1951-03,4
1951-04,4
1951-05,2
1951-06,5
1951-07,9
1951-08,3
1951-09,1
1951-10,3
1951-11,2
1951-12,21
1952-01,7
1952-02,4
1952-03,0
1952-04,10
1952-05,4
1952-06,2
1952-07,7
1952-08,1
1952-09,6
1952-10,8
1952-11,3
1952-12,7
1953-01,9
1953-02,5
1953-03,11
1953-04,6
1953-05,6
1953-06,7
1953-07,4
1953-08,4
1953-09,6
1953-10,7
1953-11,3
1953-12,5
1954-01,8
1954-02,9
1954-03,7
1954-04,3
1954-05,7
1954-06,7
1954-07,9
1954-08,7
1954-09,7
1954-10,5
1954-11,8
1954-12,13
1955-01,8
1955-02,3
1955-03,8
1955-04,3
1955-05,2
1955-06,9
1955-07,9
1955-08,2
1955-09,10
1955-10,6
1955-11,5
1955-12,12
1956-01,13
1956-02,5
1956-03,6
1956-04,12
1956-05,7
1956-06,6
1956-07,14
1956-08,5
1956-09,8
1956-10,9
1956-11,2
1956-12,31
1957-01,9
1957-02,6
1957-03,8
1957-04,14
1957-05,8
1957-06,12
1957-07,15
1957-08,8
1957-09,12
1957-10,12
1957-11,9
1957-12,11
1958-01,19
1958-02,5
1958-03,15
1958-04,11
1958-05,7
1958-06,15
1958-07,8
1958-08,18
1958-09,16
1958-10,9
1958-11,7
1958-12,15
1959-01,14
1959-02,6
1959-03,12
1959-04,18
1959-05,12
1959-06,12
1959-07,25
1959-08,13
1959-09,12
1959-10,7
1959-11,14
1959-12,21
1960-01,32
1960-02,9
1960-03,14
1960-04,15
1960-05,15
1960-06,19
1960-07,14
1960-08,9
1960-09,15
1960-10,35
1960-11,8
1960-12,39
1961-01,38
1961-02,18
1961-03,27
1961-04,31
1961-05,13
1961-06,14
1961-07,14
1961-08,5
1961-09,23
1961-10,17
1961-11,7
1961-12,19
1962-01,20
1962-02,13
1962-03,20
1962-04,15
1962-05,4
1962-06,22
1962-07,13
1962-08,10
1962-09,13
1962-10,21
1962-11,12
1962-12,28
1963-01,21
1963-02,12
1963-03,16
1963-04,19
1963-05,12
1963-06,10
1963-07,14
1963-08,8
1963-09,34
1963-10,15
1963-11,17
1963-12,13
1964-01,33
1964-02,17
1964-03,18
1964-04,27
1964-05,14
1964-06,30
1964-07,21
1964-08,14
1964-09,22
1964-10,14
1964-11,24
1964-12,26
1965-01,21
1965-02,15
1965-03,19
1965-04,24
1965-05,21
1965-06,20
1965-07,26
1965-08,15
1965-09,28
1965-10,17
1965-11,14
1965-12,49
1966-01,43
1966-02,21
1966-03,21
1966-04,20
1966-05,23
1966-06,18
1966-07,16
1966-08,19
1966-09,23
1966-10,23
1966-11,17
1966-12,34
1967-01,47
1967-02,13
1967-03,34
1967-04,23
1967-05,18
1967-06,26
1967-07,41
1967-08,19
1967-09,27
1967-10,26
1967-11,19
1967-12,56
1968-01,43
1968-02,29
1968-03,21
1968-04,36
1968-05,29
1968-06,30
1968-07,34
1968-08,26
1968-09,30
1968-10,33
1968-11,20
1968-12,51
1969-01,60
1969-02,32
1969-03,37
1969-04,27
1969-05,26
1969-06,34
1969-07,31
1969-08,28
1969-09,31
1969-10,29
1969-11,21
1969-12,62
1970-01,192
1970-02,32
1970-03,29
1970-04,55
1970-05,32
1970-06,55
1970-07,31
1970-08,21
1970-09,49
1970-10,37
1970-11,31
1970-12,62
1971-01,71
1971-02,48
1971-03,41
1971-04,36
1971-05,31
1971-06,49
1971-07,39
1971-08,70
1971-09,51
1971-10,56
1971-11,33
1971-12,67
1972-01,87
1972-02,38
1972-03,48
1972-04,59
1972-05,44
1972-06,42
1972-07,41
1972-08,70
1972-09,60
1972-10,50
1972-11,34
1972-12,74
1973-01,118
1973-02,50
1973-03,64
1973-04,47
1973-05,43
1973-06,79
1973-07,38
1973-08,59
1973-09,54
1973-10,71
1973-11,32
1973-12,91
1974-01,67
1974-02,54
1974-03,62
1974-04,54
1974-05,51
1974-06,87
1974-07,47
1974-08,76
1974-09,65
1974-10,57
1974-11,42
1974-12,68
1975-01,86
1975-02,52
1975-03,69
1975-04,67
1975-05,42
1975-06,93
1975-07,55
1975-08,70
1975-09,62
1975-10,64
1975-11,54
1975-12,107
1976-01,150
1976-02,47
1976-03,70
1976-04,90
1976-05,38
1976-06,80
1976-07,67
1976-08,93
1976-09,95
1976-10,69
1976-11,63
1976-12,112
1977-01,174
1977-02,51
1977-03,92
1977-04,91
1977-05,75
1977-06,88
1977-07,68
1977-08,90
1977-09,97
1977-10,59
1977-11,83
1977-12,103
1978-01,163
1978-02,51
1978-03,68
1978-04,122
1978-05,64
1978-06,81
1978-07,84
1978-08,91
1978-09,88
1978-10,98
1978-11,83
1978-12,100
1979-01,189
1979-02,74
1979-03,132
1979-04,79
1979-05,72
1979-06,108
1979-07,83
1979-08,92
1979-09,114
1979-10,82
1979-11,55
1979-12,139
1980-01,195
1980-02,64
1980-03,146
1980-04,94
1980-05,74
1980-06,123
1980-07,111
1980-08,74
1980-09,103
1980-10,92
1980-11,79
1980-12,177
1981-01,194
1981-02,63
1981-03,182
1981-04,118
1981-05,77
1981-06,129
1981-07,91
1981-08,97
1981-09,133
1981-10,135
1981-11,71
1981-12,120
1982-01,189
1982-02,83
1982-03,183
1982-04,105
1982-05,60
1982-06,137
1982-07,85
