Date,Cuadro de Mando Integral
1950-01,26
1950-02,5
1950-03,10
1950-04,12
1950-05,15
1950-06,13
1950-07,10
1950-08,13
1950-09,22
1950-10,17
1950-11,19
1950-12,42
1951-01,25
1951-02,10
1951-03,13
1951-04,11
1951-05,6
1951-06,17
1951-07,19
1951-08,9
1951-09,15
1951-10,19
1951-11,19
1951-12,25
1952-01,16
1952-02,9
1952-03,15
1952-04,14
1952-05,6
1952-06,16
1952-07,14
1952-08,4
1952-09,6
1952-10,14
1952-11,16
1952-12,39
1953-01,34
1953-02,14
1953-03,12
1953-04,14
1953-05,12
1953-06,12
1953-07,12
1953-08,12
1953-09,26
1953-10,21
1953-11,10
1953-12,45
1954-01,50
1954-02,17
1954-03,29
1954-04,30
1954-05,12
1954-06,11
1954-07,19
1954-08,16
1954-09,14
1954-10,26
1954-11,21
1954-12,41
1955-01,33
1955-02,16
1955-03,20
1955-04,27
1955-05,21
1955-06,17
1955-07,19
1955-08,20
1955-09,25
1955-10,31
1955-11,24
1955-12,59
1956-01,57
1956-02,23
1956-03,30
1956-04,33
1956-05,32
1956-06,29
1956-07,26
1956-08,23
1956-09,25
1956-10,20
1956-11,25
1956-12,76
1957-01,68
1957-02,27
1957-03,72
1957-04,72
1957-05,22
1957-06,18
1957-07,29
1957-08,27
1957-09,17
1957-10,22
1957-11,30
1957-12,84
1958-01,77
1958-02,23
1958-03,33
1958-04,35
1958-05,22
1958-06,33
1958-07,38
1958-08,33
1958-09,30
1958-10,30
1958-11,41
1958-12,122
1959-01,105
1959-02,25
1959-03,38
1959-04,37
1959-05,37
1959-06,40
1959-07,28
1959-08,27
1959-09,35
1959-10,38
1959-11,47
1959-12,133
1960-01,109
1960-02,25
1960-03,30
1960-04,29
1960-05,29
1960-06,41
1960-07,58
1960-08,57
1960-09,44
1960-10,38
1960-11,32
1960-12,140
1961-01,145
1961-02,44
1961-03,41
1961-04,38
1961-05,38
1961-06,46
1961-07,47
1961-08,42
1961-09,35
1961-10,35
1961-11,45
1961-12,189
1962-01,130
1962-02,42
1962-03,53
1962-04,51
1962-05,43
1962-06,59
1962-07,51
1962-08,48
1962-09,57
1962-10,58
1962-11,62
1962-12,167
1963-01,141
1963-02,45
1963-03,75
1963-04,64
1963-05,56
1963-06,68
1963-07,49
1963-08,63
1963-09,67
1963-10,59
1963-11,52
1963-12,160
1964-01,138
1964-02,43
1964-03,56
1964-04,47
1964-05,52
1964-06,76
1964-07,59
1964-08,66
1964-09,69
1964-10,69
1964-11,69
1964-12,233
1965-01,204
1965-02,76
1965-03,69
1965-04,68
1965-05,89
1965-06,94
1965-07,59
1965-08,74
1965-09,90
1965-10,101
1965-11,84
1965-12,247
1966-01,237
1966-02,72
1966-03,78
1966-04,69
1966-05,83
1966-06,96
1966-07,83
1966-08,96
1966-09,68
1966-10,60
1966-11,86
1966-12,253
1967-01,231
1967-02,103
1967-03,94
1967-04,81
1967-05,88
1967-06,91
1967-07,83
1967-08,103
1967-09,94
1967-10,74
1967-11,88
1967-12,316
1968-01,313
1968-02,124
1968-03,133
1968-04,132
1968-05,111
1968-06,125
1968-07,126
1968-08,123
1968-09,122
1968-10,114
1968-11,95
1968-12,330
1969-01,328
1969-02,111
1969-03,113
1969-04,93
1969-05,96
1969-06,140
1969-07,121
1969-08,109
1969-09,99
1969-10,99
1969-11,88
1969-12,630
1970-01,611
1970-02,135
1970-03,126
1970-04,118
1970-05,112
1970-06,110
1970-07,105
1970-08,112
1970-09,110
1970-10,117
1970-11,123
1970-12,477
1971-01,439
1971-02,125
1971-03,149
1971-04,146
1971-05,160
1971-06,159
1971-07,126
1971-08,179
1971-09,145
1971-10,139
1971-11,181
1971-12,484
1972-01,447
1972-02,170
1972-03,170
1972-04,129
1972-05,168
1972-06,197
1972-07,144
1972-08,201
1972-09,187
1972-10,148
1972-11,173
1972-12,564
1973-01,537
1973-02,190
1973-03,186
1973-04,158
1973-05,208
1973-06,217
1973-07,165
1973-08,231
1973-09,179
1973-10,121
1973-11,165
1973-12,551
1974-01,534
1974-02,196
1974-03,184
1974-04,144
1974-05,165
1974-06,200
1974-07,176
1974-08,240
1974-09,237
1974-10,221
1974-11,215
1974-12,589
1975-01,584
1975-02,227
1975-03,244
1975-04,211
1975-05,201
1975-06,198
1975-07,213
1975-08,268
1975-09,194
1975-10,174
1975-11,255
1975-12,883
1976-01,789
1976-02,220
1976-03,242
1976-04,191
1976-05,219
1976-06,247
1976-07,223
1976-08,281
1976-09,254
1976-10,185
1976-11,235
1976-12,883
1977-01,809
1977-02,236
1977-03,232
1977-04,191
1977-05,226
1977-06,237
1977-07,214
1977-08,302
1977-09,276
1977-10,205
1977-11,258
1977-12,1018
1978-01,932
1978-02,249
1978-03,292
1978-04,229
1978-05,235
1978-06,287
1978-07,272
1978-08,253
1978-09,253
1978-10,257
1978-11,262
1978-12,938
1979-01,915
1979-02,300
1979-03,332
1979-04,278
1979-05,288
1979-06,332
1979-07,277
1979-08,422
1979-09,386
1979-10,270
1979-11,294
1979-12,1346
1980-01,1269
1980-02,262
1980-03,311
1980-04,325
1980-05,359
1980-06,344
1980-07,296
1980-08,314
1980-09,340
1980-10,304
1980-11,357
1980-12,1523
1981-01,1424
1981-02,366
1981-03,417
1981-04,376
1981-05,349
1981-06,435
1981-07,426
1981-08,483
1981-09,431
1981-10,376
1981-11,441
1981-12,1506
1982-01,1383
1982-02,375
1982-03,492
1982-04,406
1982-05,429
1982-06,487
1982-07,345
1982-08,457
1982-09,446
1982-10,375
1982-11,478
1982-12,1806
1983-01,1642
1983-02,447
1983-03,442
1983-04,362
1983-05,480
1983-06,498
1983-07,374
1983-08,474
1983-09,470
1983-10,384
1983-11,414
1983-12,1770
1984-01,1713
1984-02,430
1984-03,474
1984-04,381
1984-05,381
1984-06,533
1984-07,459
1984-08,420
1984-09,475
1984-10,427
1984-11,451
1984-12,1813
