Date,Estrategias de Crecimiento
1950-01,60
1950-02,36
1950-03,41
1950-04,61
1950-05,28
1950-06,52
1950-07,64
1950-08,42
1950-09,60
1950-10,47
1950-11,43
1950-12,71
1951-01,67
1951-02,37
1951-03,58
1951-04,48
1951-05,52
1951-06,50
1951-07,74
1951-08,32
1951-09,58
1951-10,66
1951-11,52
1951-12,64
1952-01,103
1952-02,67
1952-03,60
1952-04,55
1952-05,57
1952-06,56
1952-07,59
1952-08,39
1952-09,68
1952-10,53
1952-11,62
1952-12,97
1953-01,119
1953-02,36
1953-03,73
1953-04,59
1953-05,65
1953-06,81
1953-07,96
1953-08,54
1953-09,71
1953-10,71
1953-11,70
1953-12,95
1954-01,106
1954-02,50
1954-03,121
1954-04,79
1954-05,62
1954-06,58
1954-07,81
1954-08,43
1954-09,69
1954-10,77
1954-11,72
1954-12,168
1955-01,95
1955-02,52
1955-03,64
1955-04,66
1955-05,64
1955-06,62
1955-07,87
1955-08,55
1955-09,78
1955-10,80
1955-11,56
1955-12,214
1956-01,104
1956-02,63
1956-03,56
1956-04,67
1956-05,81
1956-06,79
1956-07,91
1956-08,56
1956-09,88
1956-10,84
1956-11,55
1956-12,143
1957-01,111
1957-02,60
1957-03,87
1957-04,77
1957-05,70
1957-06,69
1957-07,74
1957-08,57
1957-09,85
1957-10,105
1957-11,65
1957-12,130
1958-01,111
1958-02,60
1958-03,111
1958-04,91
1958-05,61
1958-06,90
1958-07,100
1958-08,71
1958-09,99
1958-10,101
1958-11,100
1958-12,130
1959-01,169
1959-02,72
1959-03,100
1959-04,127
1959-05,83
1959-06,87
1959-07,122
1959-08,80
1959-09,129
1959-10,100
1959-11,89
1959-12,385
1960-01,168
1960-02,86
1960-03,118
1960-04,106
1960-05,123
1960-06,101
1960-07,124
1960-08,94
1960-09,85
1960-10,94
1960-11,91
1960-12,320
1961-01,202
1961-02,102
1961-03,141
1961-04,124
1961-05,115
1961-06,114
1961-07,145
1961-08,92
1961-09,132
1961-10,133
1961-11,108
1961-12,250
1962-01,224
1962-02,107
1962-03,186
1962-04,142
1962-05,126
1962-06,127
1962-07,147
1962-08,60
1962-09,143
1962-10,130
1962-11,134
1962-12,327
1963-01,283
1963-02,101
1963-03,191
1963-04,139
1963-05,145
1963-06,146
1963-07,124
1963-08,87
1963-09,193
1963-10,151
1963-11,118
1963-12,446
1964-01,254
1964-02,141
1964-03,150
1964-04,154
1964-05,142
1964-06,155
1964-07,122
1964-08,108
1964-09,203
1964-10,151
1964-11,133
1964-12,469
1965-01,298
1965-02,174
1965-03,192
1965-04,182
1965-05,179
1965-06,165
1965-07,180
1965-08,123
1965-09,168
1965-10,183
1965-11,174
1965-12,353
1966-01,238
1966-02,146
1966-03,209
1966-04,186
1966-05,169
1966-06,169
1966-07,171
1966-08,127
1966-09,190
1966-10,222
1966-11,181
1966-12,414
1967-01,338
1967-02,169
1967-03,192
1967-04,193
1967-05,168
1967-06,189
1967-07,258
1967-08,187
1967-09,209
1967-10,268
1967-11,135
1967-12,595
1968-01,1028
1968-02,235
1968-03,249
1968-04,276
1968-05,167
1968-06,270
1968-07,262
1968-08,215
1968-09,252
1968-10,263
1968-11,175
1968-12,434
1969-01,356
1969-02,354
1969-03,303
1969-04,279
1969-05,205
1969-06,347
1969-07,291
