Date,Experiencia del Cliente
1950-01,35
1950-02,0
1950-03,0
1950-04,35
1950-05,1
1950-06,2
1950-07,31
1950-08,1
1950-09,1
1950-10,39
1950-11,0
1950-12,2
1951-01,49
1951-02,5
1951-03,12
1951-04,25
1951-05,10
1951-06,0
1951-07,34
1951-08,1
1951-09,12
1951-10,26
1951-11,11
1951-12,2
1952-01,50
1952-02,1
1952-03,13
1952-04,29
1952-05,15
1952-06,3
1952-07,57
1952-08,0
1952-09,11
1952-10,21
1952-11,8
1952-12,2
1953-01,40
1953-02,1
1953-03,12
1953-04,30
1953-05,17
1953-06,3
1953-07,43
1953-08,1
1953-09,15
1953-10,31
1953-11,11
1953-12,1
1954-01,32
1954-02,7
1954-03,14
1954-04,38
1954-05,15
1954-06,1
1954-07,44
1954-08,3
1954-09,17
1954-10,35
1954-11,20
1954-12,16
1955-01,60
1955-02,3
1955-03,25
1955-04,37
1955-05,15
1955-06,0
1955-07,41
1955-08,5
1955-09,18
1955-10,37
1955-11,14
1955-12,5
1956-01,57
1956-02,1
1956-03,14
1956-04,44
1956-05,14
1956-06,4
1956-07,45
1956-08,1
1956-09,19
1956-10,37
1956-11,19
1956-12,4
1957-01,62
1957-02,18
1957-03,15
1957-04,40
1957-05,21
1957-06,10
1957-07,50
1957-08,6
1957-09,18
1957-10,39
1957-11,20
1957-12,5
1958-01,63
1958-02,2
1958-03,26
1958-04,61
1958-05,12
1958-06,7
1958-07,60
1958-08,8
1958-09,24
1958-10,59
1958-11,15
1958-12,28
1959-01,76
1959-02,10
1959-03,19
1959-04,71
1959-05,20
1959-06,8
1959-07,76
1959-08,18
1959-09,24
1959-10,50
1959-11,24
1959-12,18
1960-01,115
1960-02,3
1960-03,27
1960-04,57
1960-05,16
1960-06,5
1960-07,82
1960-08,9
1960-09,27
1960-10,55
1960-11,15
1960-12,40
1961-01,71
1961-02,16
1961-03,26
1961-04,58
1961-05,22
1961-06,10
1961-07,79
1961-08,37
1961-09,46
1961-10,55
1961-11,32
1961-12,49
1962-01,81
1962-02,15
1962-03,41
1962-04,77
1962-05,30
1962-06,22
1962-07,92
1962-08,31
1962-09,41
1962-10,64
1962-11,40
1962-12,67
1963-01,79
1963-02,5
1963-03,50
1963-04,72
1963-05,48
1963-06,25
1963-07,101
1963-08,20
1963-09,45
1963-10,84
1963-11,37
1963-12,61
1964-01,84
1964-02,17
1964-03,58
1964-04,75
1964-05,44
1964-06,40
1964-07,99
1964-08,16
1964-09,72
1964-10,58
1964-11,59
1964-12,64
1965-01,98
1965-02,41
1965-03,71
1965-04,87
1965-05,66
1965-06,63
1965-07,123
1965-08,33
1965-09,62
1965-10,129
1965-11,54
1965-12,77
1966-01,110
1966-02,37
1966-03,54
1966-04,67
1966-05,73
1966-06,62
1966-07,111
1966-08,41
1966-09,72
1966-10,100
1966-11,70
1966-12,91
1967-01,105
1967-02,73
1967-03,93
1967-04,100
1967-05,78
1967-06,74
1967-07,104
1967-08,55
1967-09,83
1967-10,91
1967-11,64
1967-12,86
1968-01,94
1968-02,55
1968-03,83
1968-04,91
1968-05,96
1968-06,50
1968-07,138
1968-08,57
1968-09,83
1968-10,119
1968-11,56
1968-12,89
1969-01,102
1969-02,39
1969-03,64
1969-04,81
1969-05,62
1969-06,33
1969-07,102
1969-08,44
1969-09,67
1969-10,105
1969-11,58
1969-12,66
1970-01,207
1970-02,35
1970-03,79
1970-04,95
1970-05,68
1970-06,46
1970-07,107
1970-08,55
1970-09,87
1970-10,123
1970-11,77
1970-12,74
1971-01,117
1971-02,65
1971-03,108
1971-04,99
1971-05,73
1971-06,79
1971-07,122
1971-08,50
1971-09,129
1971-10,115
1971-11,62
1971-12,122
1972-01,151
1972-02,64
1972-03,95
1972-04,165
1972-05,75
1972-06,76
1972-07,176
1972-08,85
1972-09,117
1972-10,169
1972-11,74
1972-12,119
1973-01,163
1973-02,76
1973-03,124
1973-04,88
1973-05,108
1973-06,86
1973-07,139
1973-08,97
1973-09,143
1973-10,131
1973-11,76
1973-12,119
1974-01,149
1974-02,71
1974-03,172
1974-04,103
1974-05,136
1974-06,98
1974-07,147
1974-08,89
1974-09,144
1974-10,161
1974-11,101
1974-12,144
1975-01,193
1975-02,90
1975-03,165
1975-04,129
1975-05,93
1975-06,150
1975-07,150
1975-08,110
1975-09,145
1975-10,130
1975-11,84
1975-12,177
1976-01,313
1976-02,81
1976-03,169
1976-04,188
1976-05,106
1976-06,142
1976-07,179
1976-08,105
1976-09,154
1976-10,181
1976-11,90
1976-12,158
1977-01,354
1977-02,64
1977-03,187
1977-04,175
1977-05,113
1977-06,120
1977-07,209
1977-08,83
1977-09,160
1977-10,176
1977-11,99
1977-12,173
1978-01,385
1978-02,94
1978-03,198
1978-04,194
1978-05,112
1978-06,119
1978-07,224
1978-08,120
1978-09,143
1978-10,214
1978-11,130
1978-12,180
1979-01,424
1979-02,75
1979-03,210
1979-04,175
1979-05,129
1979-06,144
1979-07,190
1979-08,100
1979-09,164
1979-10,175
1979-11,152
1979-12,194
1980-01,483
1980-02,101
1980-03,229
1980-04,184
1980-05,128
1980-06,167
1980-07,230
1980-08,106
1980-09,217
1980-10,196
1980-11,139
1980-12,211
1981-01,496
1981-02,103
1981-03,272
1981-04,182
1981-05,127
1981-06,201
1981-07,270
1981-08,112
1981-09,232
1981-10,215
1981-11,119
1981-12,228
1982-01,625
1982-02,103
1982-03,266
1982-04,214
1982-05,151
1982-06,243
1982-07,259
1982-08,103
1982-09,260
1982-10,203
1982-11,173
1982-12,232
1983-01,646
1983-02,131
1983-03,332
1983-04,213
1983-05,183
1983-06,248
1983-07,280
1983-08,130
1983-09,321
1983-10,200
1983-11,187
1983-12,241
1984-01,789
1984-02,179
1984-03,303
1984-04,228
1984-05,182
1984-06,291
1984-07,294
1984-08,179
1984-09,296
1984-10,215
1984-11,199
1984-12,252
1985-01,887
1985-02,197
1985-03,323
1985-04,246
1985-05,202
1985-06,240
1985-07,329
1985-08,168
1985-09,316
1985-10,205
1985-11,210
1985-12,312
1986-01,1006
1986-02,143
1986-03,368
1986-04,222
1986-05,264
1986-06,268
1986-07,285
1986-08,163
1986-09,350
1986-10,270
1986-11,286
1986-12,322
1987-01,868
1987-02,189
1987-03,365
1987-04,302
1987-05,225
1987-06,364
1987-07,291
1987-08,192
1987-09,424
1987-10,193
1987-11,248
1987-12,372
1988-01,1023
1988-02,205
1988-03,451
1988-04,238
1988-05,219
1988-06,391
1988-07,296
1988-08,225
1988-09,376
1988-10,241
1988-11,268
1988-12,405
1989-01,1216
1989-02,237
1989-03,505
1989-04,274
1989-05,297
1989-06,344
1989-07,337
1989-08,265
1989-09,454
1989-10,274
1989-11,261
1989-12,400
1990-01,1227
1990-02,277
1990-03,546
1990-04,330
1990-05,339
1990-06,454
1990-07,373
1990-08,240
1990-09,609
1990-10,301
1990-11,241
1990-12,440
1991-01,1372
1991-02,266
1991-03,466
1991-04,521
1991-05,352
1991-06,437
1991-07,391
1991-08,204
1991-09,495
1991-10,322
1991-11,294
1991-12,474
1992-01,1010
1992-02,291
1992-03,601
1992-04,380
1992-05,462
1992-06,451
1992-07,450
1992-08,311
1992-09,593
1992-10,413
1992-11,361
1992-12,636
1993-01,1092
1993-02,298
1993-03,509
1993-04,397
1993-05,412
1993-06,449
1993-07,414
1993-08,362
1993-09,645
1993-10,360
1993-11,323
1993-12,637
1994-01,1241
1994-02,329
1994-03,575
1994-04,444
1994-05,376
1994-06,597
1994-07,460
1994-08,310
1994-09,614
1994-10,442
1994-11,345
1994-12,729
1995-01,1225
1995-02,399
1995-03,671
1995-04,433
1995-05,418
1995-06,727
1995-07,491
1995-08,310
1995-09,727
1995-10,464
1995-11,443
1995-12,620
1996-01,1350
1996-02,433
1996-03,704
1996-04,488
1996-05,443
1996-06,711
1996-07,518
1996-08,344
1996-09,711
1996-10,548
1996-11,462
1996-12,750
1997-01,1501
1997-02,454
1997-03,705
1997-04,546
1997-05,463
1997-06,829
1997-07,577
1997-08,371
1997-09,651
1997-10,608
1997-11,482
1997-12,742
1998-01,1482
1998-02,405
1998-03,814
1998-04,568
1998-05,413
1998-06,758
1998-07,761
1998-08,531
1998-09,676
1998-10,564
1998-11,490
1998-12,853
1999-01,1365
1999-02,544
1999-03,739
1999-04,593
1999-05,464
1999-06,758
1999-07,755
1999-08,568
1999-09,794
1999-10,661
1999-11,576
1999-12,861
2000-01,1539
2000-02,467
2000-03,879
2000-04,691
2000-05,442
2000-06,842
2000-07,751
2000-08,649
2000-09,759
2000-10,717
2000-11,530
2000-12,909
2001-01,1549
2001-02,444
2001-03,987
2001-04,715
2001-05,817
2001-06,939
2001-07,686
2001-08,600
2001-09,875
2001-10,858
2001-11,473
2001-12,1280
2002-01,1900
2002-02,610
2002-03,933
2002-04,720
2002-05,645
2002-06,863
2002-07,756
2002-08,653
2002-09,1147
2002-10,824
2002-11,685
2002-12,1093
2003-01,1866
2003-02,670
2003-03,931
2003-04,768
2003-05,558
2003-06,990
2003-07,797
2003-08,721
2003-09,1239
2003-10,919
2003-11,685
2003-12,1271
2004-01,1813
2004-02,784
2004-03,1049
2004-04,904
2004-05,750
2004-06,1119
2004-07,917
2004-08,869
2004-09,921
2004-10,943
2004-11,752
2004-12,1117
2005-01,1730
2005-02,627
2005-03,1035
2005-04,892
2005-05,783
2005-06,1146
2005-07,991
2005-08,885
2005-09,1089
2005-10,928
2005-11,825
2005-12,1151
2006-01,2117
2006-02,697
2006-03,1034
2006-04,1151
2006-05,815
2006-06,1237
2006-07,1159
2006-08,1088
2006-09,1268
2006-10,1079
2006-11,1206
2006-12,1299
2007-01,2204
2007-02,929
2007-03,1388
2007-04,977
2007-05,1250
2007-06,1689
2007-07,1122
2007-08,1333
2007-09,1128
2007-10,1193
2007-11,1072
2007-12,1686
2008-01,2078
2008-02,855
2008-03,1229
2008-04,1149
2008-05,995
2008-06,1350
2008-07,1159
2008-08,923
2008-09,1673
2008-10,1375
2008-11,1271
2008-12,2153
2009-01,1985
2009-02,1262
2009-03,1501
2009-04,1178
2009-05,1114
2009-06,1435
2009-07,1248
2009-08,1341
2009-09,2223
2009-10,1498
2009-11,1306
2009-12,1772
2010-01,2382
2010-02,1190
2010-03,1621
2010-04,1169
2010-05,1440
2010-06,1656
2010-07,1767
2010-08,2072
2010-09,1609
2010-10,1807
2010-11,2355
2010-12,1822
2011-01,2393
2011-02,1137
2011-03,1541
2011-04,1413
2011-05,1875
2011-06,1795
2011-07,1354
2011-08,2550
2011-09,2176
2011-10,1660
2011-11,1950
2011-12,2054
2012-01,3296
2012-02,1393
2012-03,2031
2012-04,1669
2012-05,1969
2012-06,2240
2012-07,2129
2012-08,1650
2012-09,2155
2012-10,2246
2012-11,1941
2012-12,2386
2013-01,2850
2013-02,1376
2013-03,2022
2013-04,1589
2013-05,1769
2013-06,2222
2013-07,2061
2013-08,1427
2013-09,2323
2013-10,2382
2013-11,2374
2013-12,2297
2014-01,2739
2014-02,1584
2014-03,2003
2014-04,1785
2014-05,1849
2014-06,2108
2014-07,1862
2014-08,1874
2014-09,2280
2014-10,2583
2014-11,1936
2014-12,2482
2015-01,2990
2015-02,1445
2015-03,2167
2015-04,1655
2015-05,1762
2015-06,2237
2015-07,1823
2015-08,1861
2015-09,2049
2015-10,2418
2015-11,1744
2015-12,2350
2016-01,2600
2016-02,1719
2016-03,2001
2016-04,2905
2016-05,1788
2016-06,2403
2016-07,1976
2016-08,1725
2016-09,2315
2016-10,2426
2016-11,2079
2016-12,2846
2017-01,2119
2017-02,1769
2017-03,2460
2017-04,1922
2017-05,2221
2017-06,2575
2017-07,2739
2017-08,2448
2017-09,2869
2017-10,2751
2017-11,2453
2017-12,3232
2018-01,2601
2018-02,2021
2018-03,2401
2018-04,2462
2018-05,2333
2018-06,2696
2018-07,2600
2018-08,2560
2018-09,2987
2018-10,3247
2018-11,2097
2018-12,3237
2019-01,2663
2019-02,2034
2019-03,2863
2019-04,2373
2019-05,2493
2019-06,2939
2019-07,2574
2019-08,2877
2019-09,3060
2019-10,3219
2019-11,3201
2019-12,3728
2020-01,2663
2020-02,2554
2020-03,2960
2020-04,2772
2020-05,2543
2020-06,3123
2020-07,2994
2020-08,2971
2020-09,3161
2020-10,3186
2020-11,3205
2020-12,4598
2021-01,3198
2021-02,2597
2021-03,3533
2021-04,3176
2021-05,2856
2021-06,3579
2021-07,3131
2021-08,3176
2021-09,3636
2021-10,3251
2021-11,3117
2021-12,5201
2022-01,3362
2022-02,2836
2022-03,3418
2022-04,3677
2022-05,3405
2022-06,4418
2022-07,3252
2022-08,3819
2022-09,4001
2022-10,3451
2022-11,3576
2022-12,5177
2023-01,3335
2023-02,2974
2023-03,4102
2023-04,3371
2023-05,3602
2023-06,4446
2023-07,3670
2023-08,4118
2023-09,4523
2023-10,4319
2023-11,4411
2023-12,5949
2024-01,4147
2024-02,3803
2024-03,4123
2024-04,4722
2024-05,4918
2024-06,4957
2024-07,4548
2024-08,4891
2024-09,4435
2024-10,4802
2024-11,4338
2024-12,5292
2025-01,3999
2025-02,2681
