Date,Fusiones y Adquisiciones
1950-01,0
1950-02,1
1950-03,0
1950-04,0
1950-05,1
1950-06,0
1950-07,3
1950-08,0
1950-09,1
1950-10,2
1950-11,0
1950-12,4
1951-01,1
1951-02,4
1951-03,0
1951-04,0
1951-05,1
1951-06,4
1951-07,1
1951-08,0
1951-09,0
1951-10,2
1951-11,1
1951-12,3
1952-01,2
1952-02,0
1952-03,6
1952-04,1
1952-05,6
1952-06,0
1952-07,0
1952-08,0
1952-09,5
1952-10,0
1952-11,1
1952-12,4
1953-01,1
1953-02,2
1953-03,1
1953-04,1
1953-05,5
1953-06,1
1953-07,0
1953-08,1
1953-09,5
1953-10,1
1953-11,1
1953-12,35
1954-01,1
1954-02,3
1954-03,3
1954-04,1
1954-05,7
1954-06,0
1954-07,3
1954-08,3
1954-09,2
1954-10,1
1954-11,3
1954-12,2
1955-01,4
1955-02,4
1955-03,0
1955-04,4
1955-05,6
1955-06,3
1955-07,0
1955-08,2
1955-09,3
1955-10,4
1955-11,3
1955-12,0
1956-01,1
1956-02,2
1956-03,1
1956-04,0
1956-05,5
1956-06,0
1956-07,1
1956-08,3
1956-09,4
1956-10,0
1956-11,2
1956-12,7
1957-01,3
1957-02,2
1957-03,8
1957-04,0
1957-05,5
1957-06,2
1957-07,0
1957-08,1
1957-09,4
1957-10,0
1957-11,1
1957-12,4
1958-01,1
1958-02,2
1958-03,4
1958-04,0
1958-05,5
1958-06,2
1958-07,1
1958-08,2
1958-09,4
1958-10,1
1958-11,1
1958-12,3
1959-01,1
1959-02,2
1959-03,4
1959-04,1
1959-05,4
1959-06,0
1959-07,8
1959-08,1
1959-09,8
1959-10,0
1959-11,4
1959-12,23
1960-01,1
1960-02,3
1960-03,4
1960-04,0
1960-05,1
1960-06,0
1960-07,1
1960-08,2
1960-09,8
1960-10,3
1960-11,3
1960-12,6
1961-01,4
1961-02,2
1961-03,7
1961-04,1
1961-05,11
1961-06,1
1961-07,2
1961-08,1
1961-09,5
1961-10,1
1961-11,1
1961-12,5
1962-01,0
1962-02,2
1962-03,5
1962-04,0
1962-05,3
1962-06,1
