Date,Gestión de la Cadena de Suministro
1950-01,32
1950-02,18
1950-03,18
1950-04,21
1950-05,16
1950-06,14
1950-07,15
1950-08,10
1950-09,12
1950-10,15
1950-11,18
1950-12,33
1951-01,27
1951-02,17
1951-03,21
1951-04,18
1951-05,22
1951-06,28
1951-07,30
1951-08,24
1951-09,24
1951-10,18
1951-11,12
1951-12,21
1952-01,29
1952-02,25
1952-03,16
1952-04,28
1952-05,17
1952-06,26
1952-07,26
1952-08,18
1952-09,21
1952-10,25
1952-11,21
1952-12,24
1953-01,30
1953-02,26
1953-03,21
1953-04,29
1953-05,22
1953-06,27
1953-07,23
1953-08,21
1953-09,16
1953-10,27
1953-11,19
1953-12,36
1954-01,26
1954-02,22
1954-03,32
1954-04,14
1954-05,27
1954-06,33
1954-07,17
1954-08,21
1954-09,32
1954-10,26
1954-11,25
1954-12,42
1955-01,46
1955-02,21
1955-03,30
1955-04,26
1955-05,31
1955-06,25
1955-07,21
1955-08,19
1955-09,21
1955-10,22
1955-11,27
1955-12,38
1956-01,29
1956-02,34
1956-03,26
1956-04,32
1956-05,29
1956-06,27
1956-07,29
1956-08,27
1956-09,31
1956-10,29
1956-11,23
1956-12,33
1957-01,31
1957-02,22
1957-03,34
1957-04,28
1957-05,23
1957-06,30
1957-07,20
1957-08,26
1957-09,42
1957-10,22
1957-11,31
1957-12,25
1958-01,42
1958-02,25
1958-03,19
1958-04,32
1958-05,31
1958-06,30
1958-07,28
1958-08,30
1958-09,25
1958-10,28
1958-11,34
1958-12,41
1959-01,46
1959-02,24
1959-03,27
1959-04,34
1959-05,32
1959-06,28
1959-07,27
1959-08,27
1959-09,39
1959-10,30
1959-11,24
1959-12,35
1960-01,59
1960-02,26
1960-03,31
1960-04,42
1960-05,34
1960-06,36
1960-07,51
1960-08,36
1960-09,42
1960-10,38
1960-11,21
1960-12,49
1961-01,76
1961-02,29
1961-03,50
1961-04,37
1961-05,40
1961-06,30
1961-07,32
1961-08,37
1961-09,44
1961-10,34
1961-11,36
1961-12,50
1962-01,75
1962-02,32
1962-03,41
1962-04,46
1962-05,39
1962-06,37
1962-07,43
1962-08,29
1962-09,29
1962-10,42
1962-11,40
1962-12,62
1963-01,95
1963-02,32
1963-03,55
1963-04,42
1963-05,43
1963-06,49
1963-07,35
1963-08,35
1963-09,45
1963-10,53
1963-11,41
1963-12,87
1964-01,113
1964-02,43
1964-03,43
1964-04,46
1964-05,31
1964-06,54
1964-07,49
1964-08,36
1964-09,28
1964-10,67
1964-11,44
1964-12,65
1965-01,94
1965-02,35
1965-03,53
1965-04,61
1965-05,48
1965-06,51
1965-07,38
1965-08,36
1965-09,48
1965-10,42
1965-11,39
1965-12,53
1966-01,111
1966-02,51
1966-03,49
1966-04,42
1966-05,45
1966-06,54
1966-07,61
1966-08,47
1966-09,33
1966-10,55
1966-11,53
1966-12,70
1967-01,148
1967-02,50
1967-03,63
1967-04,46
1967-05,48
1967-06,55
1967-07,45
1967-08,42
1967-09,68
1967-10,67
1967-11,67
1967-12,96
1968-01,140
1968-02,68
1968-03,80
1968-04,77
1968-05,75
1968-06,66
1968-07,53
1968-08,57
1968-09,66
1968-10,67
1968-11,48
1968-12,125
1969-01,119
1969-02,58
1969-03,69
1969-04,59
1969-05,89
1969-06,69
1969-07,86
1969-08,64
1969-09,78
1969-10,63
1969-11,71
1969-12,120
1970-01,248
1970-02,70
1970-03,79
1970-04,85
1970-05,98
1970-06,78
1970-07,67
1970-08,92
1970-09,85
1970-10,87
1970-11,75
1970-12,88
1971-01,138
1971-02,80
1971-03,90
1971-04,72
1971-05,79
1971-06,77
1971-07,70
1971-08,74
1971-09,99
1971-10,97
1971-11,87
1971-12,129
1972-01,148
1972-02,81
1972-03,106
1972-04,72
1972-05,63
1972-06,102
1972-07,92
1972-08,95
1972-09,98
1972-10,103
1972-11,90
1972-12,109
1973-01,168
1973-02,85
1973-03,118
1973-04,96
1973-05,111
1973-06,110
1973-07,110
1973-08,109
1973-09,108
1973-10,129
1973-11,85
1973-12,111
1974-01,146
1974-02,108
1974-03,136
1974-04,105
1974-05,125
1974-06,118
1974-07,96
1974-08,107
1974-09,134
1974-10,118
1974-11,126
1974-12,126
1975-01,186
1975-02,99
1975-03,123
1975-04,115
1975-05,95
1975-06,142
1975-07,97
1975-08,121
1975-09,101
1975-10,118
1975-11,115
1975-12,161
1976-01,222
1976-02,114
1976-03,135
1976-04,135
1976-05,121
1976-06,132
1976-07,130
1976-08,130
1976-09,112
1976-10,148
1976-11,122
1976-12,157
1977-01,271
1977-02,134
1977-03,147
1977-04,141
1977-05,152
1977-06,159
1977-07,121
1977-08,134
1977-09,148
1977-10,146
1977-11,118
1977-12,131
1978-01,308
1978-02,140
1978-03,149
1978-04,157
1978-05,150
1978-06,142
1978-07,124
1978-08,122
1978-09,149
1978-10,139
1978-11,142
1978-12,165
1979-01,318
1979-02,160
1979-03,170
1979-04,150
1979-05,145
1979-06,155
1979-07,142
1979-08,152
1979-09,173
1979-10,164
1979-11,158
1979-12,172
1980-01,365
1980-02,126
1980-03,178
1980-04,170
1980-05,145
1980-06,185
1980-07,214
1980-08,154
1980-09,177
1980-10,170
1980-11,143
1980-12,201
1981-01,344
1981-02,166
1981-03,216
1981-04,208
1981-05,146
1981-06,186
1981-07,215
1981-08,174
1981-09,181
1981-10,197
1981-11,163
1981-12,212
1982-01,360
1982-02,167
1982-03,212
1982-04,206
1982-05,151
1982-06,209
1982-07,178
1982-08,211
1982-09,194
1982-10,197
1982-11,157
1982-12,212
1983-01,432
1983-02,176
1983-03,225
1983-04,189
1983-05,164
1983-06,228
1983-07,229
1983-08,210
1983-09,204
1983-10,212
1983-11,174
1983-12,228
1984-01,462
1984-02,181
1984-03,215
1984-04,202
1984-05,188
1984-06,211
1984-07,243
1984-08,177
1984-09,213
1984-10,200
1984-11,193
1984-12,260
1985-01,545
1985-02,209
1985-03,223
1985-04,226
1985-05,221
1985-06,239
1985-07,220
1985-08,191
1985-09,253
1985-10,226
1985-11,197
1985-12,290
1986-01,557
1986-02,204
1986-03,265
1986-04,244
1986-05,222
1986-06,243
1986-07,238
1986-08,213
1986-09,245
1986-10,274
1986-11,224
1986-12,273
1987-01,621
1987-02,213
1987-03,297
1987-04,296
1987-05,208
1987-06,253
1987-07,313
1987-08,247
1987-09,306
1987-10,249
1987-11,257
1987-12,275
1988-01,624
1988-02,281
1988-03,296
1988-04,262
1988-05,232
1988-06,297
1988-07,260
1988-08,276
1988-09,285
1988-10,275
1988-11,238
1988-12,348
1989-01,746
1989-02,281
1989-03,298
1989-04,309
1989-05,317
1989-06,270
1989-07,310
1989-08,305
1989-09,326
1989-10,316
1989-11,266
1989-12,370
1990-01,789
1990-02,281
1990-03,396
1990-04,328
1990-05,340
1990-06,364
1990-07,345
1990-08,315
1990-09,484
1990-10,364
1990-11,306
1990-12,378
1991-01,927
1991-02,340
1991-03,374
1991-04,421
1991-05,378
1991-06,350
1991-07,409
1991-08,340
1991-09,416
1991-10,390
1991-11,356
1991-12,434
1992-01,838
1992-02,381
1992-03,489
1992-04,447
1992-05,416
1992-06,453
1992-07,448
1992-08,377
1992-09,462
1992-10,465
1992-11,464
1992-12,465
1993-01,823
1993-02,435
1993-03,509
1993-04,523
1993-05,470
1993-06,519
1993-07,448
1993-08,454
1993-09,550
1993-10,470
1993-11,402
1993-12,528
1994-01,967
1994-02,407
1994-03,542
1994-04,423
1994-05,424
1994-06,520
1994-07,464
1994-08,417
1994-09,577
1994-10,455
1994-11,462
1994-12,548
1995-01,862
1995-02,441
1995-03,599
1995-04,538
1995-05,477
1995-06,529
1995-07,513
1995-08,470
1995-09,613
1995-10,557
1995-11,453
1995-12,574
1996-01,1102
1996-02,462
1996-03,648
