Date,Gestión del Conocimiento
1950-01,75
1950-02,27
1950-03,20
1950-04,71
1950-05,22
1950-06,35
1950-07,68
1950-08,31
1950-09,35
1950-10,80
1950-11,32
1950-12,47
1951-01,97
1951-02,27
1951-03,40
1951-04,59
1951-05,40
1951-06,32
1951-07,74
1951-08,25
1951-09,62
1951-10,59
1951-11,43
1951-12,82
1952-01,102
1952-02,22
1952-03,43
1952-04,67
1952-05,52
1952-06,28
1952-07,108
1952-08,21
1952-09,56
1952-10,52
1952-11,52
1952-12,88
1953-01,135
1953-02,30
1953-03,48
1953-04,74
1953-05,78
1953-06,44
1953-07,88
1953-08,33
1953-09,37
1953-10,77
1953-11,41
1953-12,46
1954-01,98
1954-02,58
1954-03,45
1954-04,88
1954-05,69
1954-06,57
1954-07,89
1954-08,42
1954-09,56
1954-10,92
1954-11,70
1954-12,81
1955-01,130
1955-02,56
1955-03,69
1955-04,85
1955-05,65
1955-06,48
1955-07,86
1955-08,43
1955-09,64
1955-10,92
1955-11,58
1955-12,66
1956-01,123
1956-02,38
1956-03,63
1956-04,99
1956-05,62
1956-06,52
1956-07,96
1956-08,39
1956-09,66
1956-10,97
1956-11,66
1956-12,83
1957-01,118
1957-02,70
1957-03,73
1957-04,96
1957-05,74
1957-06,69
1957-07,95
1957-08,65
1957-09,76
1957-10,97
1957-11,81
1957-12,112
1958-01,136
1958-02,50
1958-03,81
1958-04,112
1958-05,58
1958-06,62
1958-07,115
1958-08,58
1958-09,81
1958-10,128
1958-11,53
1958-12,106
1959-01,157
1959-02,51
1959-03,64
1959-04,139
1959-05,59
1959-06,56
1959-07,123
1959-08,57
1959-09,92
1959-10,96
1959-11,74
1959-12,101
1960-01,172
1960-02,33
1960-03,100
1960-04,119
1960-05,64
1960-06,68
1960-07,154
1960-08,57
1960-09,98
1960-10,113
1960-11,49
1960-12,146
1961-01,162
1961-02,56
1961-03,89
1961-04,124
1961-05,74
1961-06,72
1961-07,134
1961-08,128
1961-09,140
1961-10,114
1961-11,83
1961-12,141
1962-01,151
1962-02,60
1962-03,106
1962-04,123
1962-05,72
1962-06,86
1962-07,175
1962-08,83
1962-09,114
1962-10,150
1962-11,75
1962-12,183
1963-01,197
1963-02,89
1963-03,166
1963-04,145
1963-05,105
1963-06,106
1963-07,173
1963-08,67
1963-09,132
1963-10,157
1963-11,118
1963-12,214
1964-01,206
1964-02,85
1964-03,146
1964-04,144
1964-05,122
1964-06,125
1964-07,164
1964-08,62
1964-09,156
1964-10,141
1964-11,135
1964-12,210
1965-01,208
1965-02,103
1965-03,164
1965-04,170
1965-05,137
1965-06,138
1965-07,209
1965-08,79
1965-09,160
1965-10,212
1965-11,131
1965-12,231
1966-01,242
1966-02,120
1966-03,156
1966-04,156
1966-05,178
1966-06,152
1966-07,212
1966-08,100
1966-09,145
1966-10,178
1966-11,139
