Date,Gestión de Costos
1950-01,315
1950-02,101
1950-03,162
1950-04,176
1950-05,145
1950-06,189
1950-07,164
1950-08,153
1950-09,201
1950-10,194
1950-11,164
1950-12,361
1951-01,338
1951-02,165
1951-03,206
1951-04,187
1951-05,161
1951-06,230
1951-07,187
1951-08,169
1951-09,218
1951-10,202
1951-11,190
1951-12,447
1952-01,396
1952-02,170
1952-03,206
1952-04,225
1952-05,205
1952-06,238
1952-07,222
1952-08,169
1952-09,215
1952-10,212
1952-11,203
1952-12,464
1953-01,435
1953-02,200
1953-03,256
1953-04,258
1953-05,205
1953-06,226
1953-07,220
1953-08,189
1953-09,243
1953-10,230
1953-11,211
1953-12,543
1954-01,520
1954-02,201
1954-03,230
1954-04,256
1954-05,230
1954-06,266
1954-07,245
1954-08,219
1954-09,268
1954-10,291
1954-11,238
1954-12,534
1955-01,503
1955-02,222
1955-03,275
1955-04,281
1955-05,247
1955-06,285
1955-07,268
1955-08,260
1955-09,280
1955-10,261
1955-11,240
1955-12,579
1956-01,534
1956-02,227
1956-03,302
1956-04,291
1956-05,259
1956-06,301
1956-07,274
1956-08,255
1956-09,297
1956-10,285
1956-11,299
1956-12,697
1957-01,632
1957-02,294
1957-03,377
1957-04,382
1957-05,322
1957-06,320
1957-07,294
1957-08,289
1957-09,330
1957-10,324
1957-11,298
1957-12,825
1958-01,670
1958-02,294
1958-03,387
1958-04,342
1958-05,277
1958-06,344
1958-07,323
1958-08,312
1958-09,374
1958-10,344
1958-11,362
1958-12,893
1959-01,824
1959-02,303
1959-03,422
1959-04,397
1959-05,323
1959-06,385
1959-07,361
1959-08,351
1959-09,396
1959-10,367
1959-11,388
1959-12,982
1960-01,849
1960-02,330
1960-03,443
1960-04,388
1960-05,333
1960-06,451
1960-07,469
1960-08,383
1960-09,414
1960-10,380
1960-11,403
1960-12,1074
1961-01,944
1961-02,356
1961-03,440
1961-04,434
1961-05,386
1961-06,453
1961-07,543
1961-08,557
1961-09,511
1961-10,449
1961-11,494
1961-12,1190
1962-01,1046
1962-02,445
1962-03,543
1962-04,471
1962-05,425
1962-06,545
1962-07,522
1962-08,469
1962-09,568
1962-10,526
1962-11,537
1962-12,1296
1963-01,1145
1963-02,535
1963-03,638
1963-04,551
1963-05,527
1963-06,609
1963-07,538
1963-08,519
1963-09,592
1963-10,560
1963-11,584
1963-12,1322
1964-01,1178
1964-02,524
1964-03,627
1964-04,611
1964-05,604
1964-06,640
1964-07,523
1964-08,537
1964-09,649
1964-10,604
1964-11,662
1964-12,1466
1965-01,1381
1965-02,645
1965-03,684
1965-04,641
1965-05,659
1965-06,729
1965-07,631
1965-08,609
1965-09,737
1965-10,749
1965-11,729
1965-12,1643
1966-01,1569
1966-02,669
1966-03,707
1966-04,709
1966-05,737
1966-06,759
1966-07,680
1966-08,635
1966-09,698
1966-10,666
1966-11,757
1966-12,1849
1967-01,1725
1967-02,831
1967-03,888
1967-04,787
1967-05,802
1967-06,834
1967-07,714
1967-08,732
1967-09,791
1967-10,711
1967-11,815
1967-12,2087
1968-01,1916
1968-02,821
1968-03,912
1968-04,892
1968-05,845
1968-06,852
1968-07,808
1968-08,856
1968-09,933
1968-10,829
1968-11,878
1968-12,2244
