Date,Gestión de la Cadena de Suministro
1950-01,118
1950-02,31
1950-03,38
1950-04,35
1950-05,29
1950-06,28
1950-07,23
1950-08,19
1950-09,24
1950-10,30
1950-11,46
1950-12,126
1951-01,113
1951-02,32
1951-03,36
1951-04,29
1951-05,44
1951-06,52
1951-07,49
1951-08,46
1951-09,39
1951-10,30
1951-11,27
1951-12,92
1952-01,96
1952-02,30
1952-03,38
1952-04,42
1952-05,36
1952-06,44
1952-07,41
1952-08,30
1952-09,45
1952-10,42
1952-11,40
1952-12,105
1953-01,110
1953-02,41
1953-03,48
1953-04,49
1953-05,48
1953-06,46
1953-07,41
1953-08,35
1953-09,41
1953-10,39
1953-11,47
1953-12,125
1954-01,111
1954-02,46
1954-03,41
1954-04,34
1954-05,59
1954-06,45
1954-07,35
1954-08,49
1954-09,55
1954-10,48
1954-11,45
1954-12,157
1955-01,141
1955-02,48
1955-03,52
1955-04,53
1955-05,54
1955-06,44
1955-07,38
1955-08,38
1955-09,39
1955-10,45
1955-11,57
1955-12,152
1956-01,145
1956-02,56
1956-03,52
1956-04,56
1956-05,52
1956-06,55
1956-07,52
1956-08,55
1956-09,58
1956-10,48
1956-11,55
1956-12,155
1957-01,144
1957-02,49
1957-03,61
1957-04,48
1957-05,44
1957-06,49
1957-07,45
1957-08,62
1957-09,61
1957-10,46
1957-11,52
1957-12,149
1958-01,149
1958-02,42
1958-03,46
1958-04,57
1958-05,57
1958-06,52
1958-07,55
1958-08,51
1958-09,49
1958-10,58
1958-11,72
1958-12,189
1959-01,175
1959-02,49
1959-03,54
1959-04,61
1959-05,59
1959-06,55
1959-07,52
1959-08,62
1959-09,65
1959-10,51
1959-11,55
1959-12,223
1960-01,213
1960-02,55
1960-03,68
1960-04,74
1960-05,68
1960-06,80
1960-07,85
1960-08,74
1960-09,74
1960-10,58
1960-11,62
1960-12,230
1961-01,210
1961-02,75
1961-03,86
1961-04,72
1961-05,67
1961-06,58
1961-07,62
1961-08,76
1961-09,75
1961-10,63
1961-11,77
1961-12,223
1962-01,204
1962-02,69
1962-03,79
1962-04,81
1962-05,71
1962-06,75
1962-07,67
1962-08,56
1962-09,62
1962-10,77
1962-11,93
1962-12,247
1963-01,216
1963-02,78
1963-03,88
1963-04,78
1963-05,82
1963-06,82
1963-07,65
1963-08,74
1963-09,88
1963-10,92
1963-11,83
1963-12,281
1964-01,238
1964-02,84
1964-03,86
1964-04,75
1964-05,77
1964-06,94
1964-07,78
1964-08,60
1964-09,90
1964-10,102
1964-11,104
1964-12,276
1965-01,251
1965-02,84
1965-03,105
1965-04,102
1965-05,97
1965-06,83
1965-07,69
1965-08,82
1965-09,83
1965-10,75
1965-11,82
1965-12,284
1966-01,283
1966-02,94
1966-03,82
1966-04,81
1966-05,95
1966-06,109
1966-07,104
1966-08,78
1966-09,79
1966-10,102
1966-11,103
1966-12,348
1967-01,337
1967-02,106
1967-03,103
1967-04,89
1967-05,92
1967-06,93
1967-07,83
1967-08,103
1967-09,122
1967-10,122
1967-11,132
1967-12,381
1968-01,351
1968-02,139
1968-03,140
1968-04,145
1968-05,134
1968-06,114
1968-07,105
1968-08,114
1968-09,128
1968-10,111
1968-11,124
1968-12,413
1969-01,348
1969-02,122
1969-03,120
1969-04,134
1969-05,149
1969-06,149
1969-07,146
1969-08,136
1969-09,129
1969-10,123
1969-11,151
1969-12,582
1970-01,536
1970-02,140
1970-03,148
1970-04,175
1970-05,164
1970-06,136
1970-07,150
1970-08,170
1970-09,156
1970-10,157
1970-11,150
1970-12,407
1971-01,400
1971-02,156
1971-03,156
1971-04,143
1971-05,150
1971-06,141
1971-07,138
1971-08,165
1971-09,178
1971-10,175
1971-11,186
1971-12,455
1972-01,415
1972-02,177
1972-03,169
1972-04,130
1972-05,154
1972-06,184
1972-07,179
1972-08,185
1972-09,182
1972-10,184
1972-11,177
1972-12,510
1973-01,488
1973-02,195
1973-03,200
1973-04,194
1973-05,215
1973-06,204
1973-07,205
1973-08,202
1973-09,214
1973-10,194
1973-11,181
1973-12,493
1974-01,489
1974-02,219
1974-03,212
1974-04,210
1974-05,223
1974-06,194
1974-07,186
1974-08,224
1974-09,234
1974-10,233
1974-11,228
1974-12,616
1975-01,597
1975-02,197
1975-03,222
1975-04,198
1975-05,213
1975-06,222
1975-07,206
1975-08,211
1975-09,189
1975-10,224
1975-11,242
1975-12,685
1976-01,642
1976-02,226
1976-03,253
1976-04,236
1976-05,234
1976-06,242
1976-07,248
1976-08,226
1976-09,243
1976-10,250
1976-11,241
1976-12,844
1977-01,822
1977-02,263
1977-03,259
1977-04,268
1977-05,289
1977-06,257
1977-07,222
1977-08,257
1977-09,277
1977-10,246
1977-11,233
1977-12,851
1978-01,858
1978-02,267
1978-03,279
1978-04,275
1978-05,268
1978-06,242
1978-07,227
1978-08,248
1978-09,267
1978-10,263
1978-11,278
1978-12,854
1979-01,841
1979-02,297
1979-03,288
1979-04,265
1979-05,282
1979-06,270
1979-07,267
1979-08,302
1979-09,309
