Date,Gestión del Cambio
1950-01,176
1950-02,71
1950-03,108
1950-04,113
1950-05,74
1950-06,117
1950-07,104
1950-08,78
1950-09,141
1950-10,128
1950-11,80
1950-12,225
1951-01,208
1951-02,88
1951-03,131
1951-04,127
1951-05,89
1951-06,115
1951-07,94
1951-08,98
1951-09,140
1951-10,119
1951-11,108
1951-12,268
1952-01,221
1952-02,92
1952-03,143
1952-04,139
1952-05,112
1952-06,162
1952-07,147
1952-08,94
1952-09,140
1952-10,132
1952-11,150
1952-12,340
1953-01,283
1953-02,108
1953-03,147
1953-04,158
1953-05,128
1953-06,145
1953-07,139
1953-08,96
1953-09,142
1953-10,143
1953-11,106
1953-12,375
1954-01,323
1954-02,131
1954-03,145
1954-04,168
1954-05,142
1954-06,165
1954-07,159
1954-08,133
1954-09,187
1954-10,197
1954-11,142
1954-12,384
1955-01,334
1955-02,163
1955-03,222
1955-04,211
1955-05,155
1955-06,184
1955-07,173
1955-08,152
1955-09,188
1955-10,178
1955-11,141
1955-12,452
1956-01,349
1956-02,124
1956-03,201
1956-04,195
1956-05,144
1956-06,183
1956-07,157
1956-08,126
1956-09,198
1956-10,202
1956-11,178
1956-12,394
1957-01,370
1957-02,182
1957-03,220
1957-04,210
1957-05,170
1957-06,229
1957-07,217
1957-08,167
1957-09,212
1957-10,216
1957-11,178
1957-12,518
1958-01,430
1958-02,183
1958-03,238
1958-04,213
1958-05,159
1958-06,227
1958-07,215
1958-08,171
1958-09,258
1958-10,231
1958-11,195
1958-12,502
1959-01,428
1959-02,153
1959-03,287
1959-04,262
1959-05,151
1959-06,223
1959-07,229
1959-08,196
1959-09,268
1959-10,241
1959-11,223
1959-12,629
1960-01,512
1960-02,174
1960-03,277
1960-04,240
1960-05,170
1960-06,279
1960-07,272
1960-08,197
1960-09,290
1960-10,241
1960-11,225
1960-12,678
1961-01,517
1961-02,209
1961-03,299
1961-04,283
1961-05,200
1961-06,281
1961-07,339
1961-08,324
1961-09,342
1961-10,278
1961-11,296
1961-12,610
1962-01,486
1962-02,229
1962-03,322
1962-04,268
1962-05,196
1962-06,339
1962-07,342
1962-08,259
1962-09,329
1962-10,300
1962-11,294
1962-12,696
1963-01,592
1963-02,324
1963-03,412
1963-04,329
1963-05,266
1963-06,346
1963-07,308
1963-08,266
1963-09,364
1963-10,335
1963-11,356
1963-12,769
1964-01,592
1964-02,310
1964-03,400
1964-04,340
1964-05,318
1964-06,397
1964-07,310
1964-08,277
1964-09,397
1964-10,381
1964-11,401
1964-12,837
1965-01,668
1965-02,355
1965-03,462
1965-04,421
1965-05,369
1965-06,438
1965-07,374
1965-08,337
1965-09,482
1965-10,441
1965-11,439
1965-12,1023
1966-01,883
1966-02,396
1966-03,446
1966-04,428
1966-05,414
1966-06,474
1966-07,402
1966-08,331
1966-09,464
1966-10,440
1966-11,486
1966-12,1089
1967-01,890
1967-02,461
1967-03,548
1967-04,467
1967-05,444
1967-06,543
1967-07,433
1967-08,406
1967-09,504
1967-10,437
1967-11,458
1967-12,1059
1968-01,876
1968-02,439
1968-03,536
1968-04,536
1968-05,497
1968-06,513
1968-07,459
1968-08,432
1968-09,565
1968-10,484
1968-11,510
1968-12,1265
1969-01,985
1969-02,471
1969-03,539
1969-04,500
1969-05,447
1969-06,528
1969-07,490
1969-08,470
1969-09,624
1969-10,551
1969-11,483
1969-12,2285
1970-01,1895
1970-02,495
1970-03,599
1970-04,565
1970-05,542
1970-06,610
1970-07,597
1970-08,582
1970-09,708
1970-10,638
1970-11,547
1970-12,1639
1971-01,1409
1971-02,629
1971-03,708
1971-04,669
1971-05,654
1971-06,684
1971-07,643
1971-08,676
1971-09,775
1971-10,645
1971-11,644
1971-12,1677
1972-01,1444
1972-02,688
1972-03,797
1972-04,738
1972-05,694
1972-06,807
1972-07,774
1972-08,739
1972-09,871
1972-10,764
1972-11,666
1972-12,1928
1973-01,1656
1973-02,779
1973-03,868
1973-04,780
1973-05,720
1973-06,778
1973-07,768
1973-08,781
1973-09,862
1973-10,740
1973-11,729
1973-12,1883
1974-01,1696
1974-02,816
1974-03,898
1974-04,800
1974-05,824
1974-06,876
1974-07,817
1974-08,892
1974-09,965
1974-10,835
1974-11,823
1974-12,2045
1975-01,1748
1975-02,841
1975-03,1020
1975-04,876
1975-05,855
1975-06,975
1975-07,942
1975-08,933
1975-09,956
1975-10,838
1975-11,854
1975-12,2853
1976-01,2468
1976-02,872
1976-03,1117
1976-04,993
1976-05,915
1976-06,1076
1976-07,980
1976-08,903
1976-09,1079
1976-10,945
1976-11,919
1976-12,3127
1977-01,2775
1977-02,994
1977-03,1205
1977-04,1038
1977-05,926
1977-06,1090
1977-07,1004
1977-08,979
1977-09,1150
1977-10,1002
1977-11,953
1977-12,3010
1978-01,2698
1978-02,1024
1978-03,1267
1978-04,1054
1978-05,975
1978-06,1147
1978-07,1053
1978-08,998
1978-09,1211
1978-10,1102
1978-11,989
1978-12,3190
1979-01,2955
1979-02,1128
1979-03,1283
1979-04,1038
1979-05,1075
1979-06,1232
1979-07,1050
1979-08,1095
1979-09,1257
1979-10,1082
1979-11,1042
1979-12,4058
1980-01,3696
1980-02,1226
1980-03,1501
1980-04,1196
1980-05,1099
1980-06,1309
1980-07,1144
1980-08,1116
1980-09,1385
1980-10,1155
1980-11,1091
1980-12,4331
1981-01,3962
1981-02,1235
1981-03,1529
1981-04,1185
1981-05,1122
1981-06,1398
1981-07,1248
1981-08,1265
1981-09,1434
1981-10,1146
1981-11,1159
1981-12,4619
1982-01,4168
1982-02,1261
1982-03,1556
1982-04,1300
1982-05,1380
1982-06,1591
1982-07,1210
1982-08,1235
1982-09,1483
1982-10,1169
1982-11,1220
1982-12,5006
1983-01,4537
1983-02,1429
1983-03,1693
1983-04,1320
1983-05,1366
1983-06,1570
1983-07,1330
1983-08,1408
1983-09,1548
1983-10,1259
1983-11,1388
1983-12,5550
1984-01,5192
1984-02,1554
1984-03,1771
1984-04,1409
1984-05,1563
1984-06,1803
1984-07,1450
1984-08,1453
1984-09,1694
1984-10,1415
1984-11,1524
1984-12,5916
1985-01,5512
1985-02,1633
1985-03,1789
1985-04,1506
1985-05,1548
1985-06,1740
1985-07,1438
1985-08,1576
1985-09,1742
1985-10,1390
1985-11,1568
1985-12,6576
1986-01,6062
1986-02,1639
1986-03,1866
1986-04,1590
1986-05,1672
1986-06,1810
1986-07,1500
1986-08,1646
1986-09,1859
1986-10,1503
1986-11,1668
1986-12,6765
1987-01,6243
1987-02,1782
1987-03,2162
1987-04,1735
1987-05,1790
1987-06,2048
1987-07,1646
1987-08,1884
1987-09,1965
1987-10,1535
1987-11,1811
1987-12,7681
1988-01,7232
1988-02,1966
1988-03,2210
1988-04,1717
1988-05,1831
1988-06,2006
1988-07,1712
1988-08,1894
1988-09,1974
1988-10,1671
1988-11,1928
1988-12,7796
1989-01,7262
1989-02,2237
1989-03,2455
1989-04,1920
1989-05,2078
1989-06,2201
1989-07,1964
1989-08,2304
1989-09,2397
1989-10,1854
1989-11,1937
1989-12,9211
1990-01,8640
1990-02,2480
1990-03,2753
1990-04,2242
1990-05,2430
1990-06,2552
1990-07,2087
1990-08,2392
1990-09,2637
1990-10,1954
1990-11,2318
1990-12,9778
1991-01,8818
1991-02,2459
1991-03,3004
1991-04,2519
1991-05,2508
1991-06,2697
1991-07,2141
1991-08,2511
1991-09,2909
1991-10,2233
1991-11,2387
1991-12,8807
1992-01,8059
1992-02,2865
1992-03,3207
1992-04,2529
1992-05,2931
1992-06,3046
1992-07,2312
1992-08,2736
1992-09,3104
1992-10,2469
1992-11,2750
1992-12,10411
1993-01,9521
1993-02,2829
1993-03,3262
1993-04,2884
1993-05,3057
1993-06,3107
1993-07,2606
1993-08,3092
1993-09,3269
1993-10,2459
1993-11,2914
1993-12,11767
1994-01,10743
1994-02,3158
1994-03,3420
1994-04,2639
1994-05,3347
1994-06,3408
1994-07,2623
1994-08,3115
1994-09,3358
1994-10,2718
1994-11,3252
1994-12,12776
1995-01,11731
1995-02,3371
1995-03,3696
1995-04,3046
1995-05,3564
1995-06,3748
1995-07,3027
1995-08,3529
1995-09,3890
1995-10,3210
1995-11,3539
1995-12,12698
1996-01,11854
1996-02,3717
1996-03,4150
1996-04,3342
1996-05,3821
1996-06,4164
1996-07,3414
1996-08,3587
1996-09,3940
1996-10,3303
1996-11,3716
1996-12,14524
1997-01,13636
1997-02,3914
1997-03,4163
1997-04,3449
1997-05,4025
1997-06,4322
1997-07,3425
1997-08,3645
1997-09,4061
1997-10,3401
1997-11,3795
1997-12,14598
1998-01,13713
1998-02,4133
1998-03,4625
1998-04,3620
1998-05,3971
1998-06,4546
1998-07,3630
1998-08,4005
1998-09,4349
1998-10,3552
1998-11,3957
1998-12,15933
1999-01,14789
1999-02,4217
1999-03,4693
1999-04,3864
1999-05,4226
1999-06,4494
1999-07,3980
1999-08,4461
1999-09,4567
1999-10,4075
1999-11,4489
1999-12,18497
2000-01,17247
2000-02,4499
2000-03,5205
2000-04,4121
2000-05,4432
2000-06,5160
2000-07,4131
2000-08,4533
2000-09,4870
2000-10,4382
2000-11,4787
2000-12,19021
2001-01,17681
2001-02,4438
2001-03,5506
2001-04,4410
2001-05,5106
2001-06,5046
2001-07,4343
2001-08,4848
2001-09,5223
2001-10,5140
2001-11,4843
2001-12,19857
2002-01,18538
2002-02,4684
2002-03,5489
2002-04,4558
2002-05,5334
2002-06,5140
2002-07,4557
2002-08,5109
2002-09,5961
2002-10,5075
2002-11,5598
2002-12,21456
2003-01,20066
2003-02,5367
2003-03,5736
2003-04,4640
2003-05,4932
2003-06,5869
2003-07,4880
2003-08,5569
2003-09,6910
2003-10,5065
2003-11,5470
2003-12,23076
2004-01,21655
2004-02,5846
2004-03,6617
2004-04,5657
2004-05,5916
2004-06,7270
2004-07,5942
2004-08,6422
2004-09,6424
2004-10,5712
2004-11,6304
2004-12,22816
2005-01,20924
2005-02,5948
2005-03,6741
2005-04,5712
2005-05,6398
2005-06,7939
2005-07,6554
2005-08,6693
2005-09,6706
2005-10,5971
2005-11,6827
2005-12,26425
2006-01,25216
2006-02,6256
2006-03,7273
2006-04,6542
2006-05,7199
2006-06,8183
2006-07,6965
2006-08,7912
2006-09,8028
2006-10,7580
2006-11,7852
2006-12,25369
2007-01,24183
2007-02,6902
2007-03,8242
2007-04,7015
2007-05,8840
2007-06,8908
2007-07,8289
2007-08,8751
2007-09,8105
2007-10,7988
2007-11,9651
2007-12,30592
2008-01,27890
2008-02,7208
2008-03,8399
2008-04,7909
2008-05,8284
2008-06,9128
2008-07,8468
2008-08,8882
2008-09,10407
2008-10,9375
2008-11,10016
2008-12,34716
2009-01,32692
2009-02,9739
2009-03,9016
2009-04,8614
2009-05,8748
2009-06,9797
2009-07,9053
2009-08,11935
2009-09,12513
2009-10,9334
2009-11,10184
2009-12,37586
2010-01,35172
2010-02,8340
2010-03,10360
2010-04,9118
2010-05,10569
2010-06,11564
2010-07,12086
2010-08,11760
2010-09,11174
2010-10,12185
2010-11,12391
2010-12,39398
2011-01,36790
2011-02,9478
2011-03,10709
2011-04,11683
2011-05,12802
2011-06,11810
2011-07,12688
2011-08,15303
2011-09,13644
2011-10,11738
2011-11,12163
2011-12,41121
2012-01,42445
2012-02,10597
2012-03,11937
2012-04,11203
2012-05,13097
2012-06,16965
2012-07,13734
2012-08,11405
2012-09,14000
2012-10,13691
2012-11,14282
2012-12,52341
2013-01,49552
2013-02,11024
2013-03,12444
2013-04,11326
2013-05,12750
2013-06,14963
2013-07,12557
2013-08,11809
2013-09,14763
2013-10,15502
2013-11,14164
2013-12,56700
2014-01,53985
2014-02,11118
2014-03,13236
2014-04,12686
2014-05,13406
2014-06,13680
2014-07,12857
2014-08,13195
2014-09,14874
2014-10,14928
2014-11,14978
2014-12,59110
2015-01,58172
2015-02,11542
2015-03,14144
2015-04,13035
2015-05,14301
2015-06,15067
2015-07,12356
2015-08,12711
2015-09,14624
2015-10,15776
2015-11,14845
2015-12,64600
2016-01,60839
2016-02,13134
2016-03,14868
2016-04,15848
2016-05,14935
2016-06,16493
2016-07,13693
2016-08,15318
2016-09,17877
2016-10,16483
2016-11,17005
2016-12,62965
2017-01,58475
2017-02,14016
2017-03,16872
2017-04,14316
2017-05,17184
2017-06,18084
2017-07,21042
2017-08,20080
2017-09,20210
2017-10,17880
2017-11,19746
2017-12,70686
2018-01,65765
2018-02,15730
2018-03,18066
2018-04,17539
2018-05,18675
2018-06,19661
2018-07,21822
2018-08,21348
2018-09,20989
2018-10,21072
2018-11,19294
2018-12,73118
2019-01,67539
2019-02,17068
2019-03,20399
2019-04,18650
2019-05,20162
2019-06,21844
2019-07,23493
2019-08,23470
2019-09,23274
2019-10,22416
2019-11,25428
2019-12,83195
2020-01,75720
2020-02,18875
2020-03,21712
2020-04,19530
2020-05,20645
2020-06,23689
2020-07,24525
2020-08,24769
2020-09,24176
2020-10,24437
2020-11,25651
2020-12,93058
2021-01,81418
2021-02,21007
2021-03,24687
2021-04,23011
2021-05,22196
2021-06,26917
2021-07,24870
2021-08,27061
2021-09,25972
2021-10,25279
2021-11,26545
2021-12,94420
2022-01,85405
2022-02,20898
2022-03,24143
2022-04,23315
2022-05,24604
2022-06,29371
2022-07,26869
2022-08,30853
2022-09,26399
2022-10,26040
2022-11,27494
2022-12,105999
2023-01,93753
2023-02,22489
2023-03,26937
2023-04,23607
2023-05,27268
2023-06,30252
2023-07,28978
2023-08,30621
2023-09,29933
2023-10,30509
2023-11,33116
2023-12,109382
2024-01,98681
2024-02,26921
2024-03,28573
2024-04,29678
2024-05,32662
2024-06,32831
2024-07,34008
2024-08,33816
2024-09,33037
2024-10,32896
2024-11,31859
2024-12,50369
2025-01,40488
2025-02,23971
2025-03,12825
