Date,Innovación Colaborativa
1950-01,3
1950-02,3
1950-03,2
1950-04,2
1950-05,1
1950-06,1
1950-07,1
1950-08,0
1950-09,1
1950-10,2
1950-11,1
1950-12,0
1951-01,1
1951-02,3
1951-03,3
1951-04,1
1951-05,0
1951-06,0
1951-07,1
1951-08,1
1951-09,0
1951-10,0
1951-11,0
1951-12,0
1952-01,0
1952-02,0
1952-03,0
1952-04,0
1952-05,0
1952-06,1
1952-07,1
1952-08,0
1952-09,0
1952-10,0
1952-11,0
1952-12,4
1953-01,4
1953-02,1
1953-03,1
1953-04,1
1953-05,3
1953-06,3
1953-07,2
1953-08,1
1953-09,2
1953-10,4
1953-11,3
1953-12,4
1954-01,6
1954-02,6
1954-03,5
1954-04,4
1954-05,3
1954-06,2
1954-07,2
1954-08,3
1954-09,3
1954-10,4
1954-11,4
1954-12,3
1955-01,4
1955-02,4
1955-03,2
1955-04,3
1955-05,4
1955-06,2
1955-07,1
1955-08,0
1955-09,0
1955-10,1
1955-11,2
1955-12,2
1956-01,3
1956-02,2
1956-03,2
1956-04,2
1956-05,3
1956-06,5
1956-07,1
1956-08,1
1956-09,1
1956-10,1
1956-11,2
1956-12,5
1957-01,2
1957-02,0
1957-03,0
1957-04,0
1957-05,0
1957-06,1
1957-07,3
1957-08,3
1957-09,1
1957-10,2
1957-11,3
1957-12,3
1958-01,2
1958-02,1
1958-03,0
1958-04,0
1958-05,1
1958-06,1
1958-07,0
1958-08,4
1958-09,4
1958-10,0
1958-11,2
1958-12,7
1959-01,6
1959-02,3
1959-03,3
1959-04,1
1959-05,1
1959-06,1
1959-07,2
1959-08,4
1959-09,6
1959-10,4
1959-11,2
1959-12,10
1960-01,8
1960-02,1
1960-03,4
1960-04,7
1960-05,6
1960-06,4
1960-07,3
1960-08,1
1960-09,2
1960-10,2
1960-11,2
1960-12,12
1961-01,12
1961-02,5
1961-03,4
1961-04,3
1961-05,5
1961-06,3
1961-07,1
1961-08,4
1961-09,3
1961-10,2
1961-11,2
1961-12,48
1962-01,29
1962-02,3
1962-03,25
1962-04,23
1962-05,5
1962-06,20
1962-07,21
1962-08,5
1962-09,21
1962-10,19
1962-11,2
1962-12,30
1963-01,30
1963-02,7
1963-03,26
1963-04,22
1963-05,4
1963-06,17
1963-07,16
1963-08,4
1963-09,22
1963-10,24
1963-11,14
1963-12,40
1964-01,34
1964-02,5
1964-03,24
1964-04,26
1964-05,7
1964-06,25
1964-07,22
1964-08,6
1964-09,32
1964-10,31
1964-11,4
1964-12,46
1965-01,46
1965-02,6
1965-03,30
1965-04,28
1965-05,3
1965-06,29
1965-07,30
1965-08,6
1965-09,27
1965-10,31
1965-11,11
1965-12,52
1966-01,50
1966-02,5
1966-03,29
1966-04,26
1966-05,14
1966-06,43
1966-07,36
1966-08,10
1966-09,29
1966-10,25
1966-11,11
1966-12,65
1967-01,63
1967-02,11
1967-03,32
1967-04,29
1967-05,10
1967-06,37
1967-07,38
1967-08,15
1967-09,40
1967-10,34
1967-11,15
1967-12,71
1968-01,61
1968-02,14
1968-03,50
1968-04,48
1968-05,22
1968-06,50
1968-07,38
1968-08,9
1968-09,35
1968-10,35
1968-11,16
1968-12,87
1969-01,67
1969-02,21
1969-03,45
1969-04,46
1969-05,26
1969-06,42
1969-07,38
1969-08,16
1969-09,46
1969-10,50
1969-11,24
1969-12,154
1970-01,126
1970-02,15
1970-03,62
1970-04,57
1970-05,20
1970-06,47
1970-07,44
1970-08,18
1970-09,48
1970-10,51
1970-11,19
1970-12,94
1971-01,90
1971-02,16
1971-03,47
1971-04,46
1971-05,15
1971-06,41
1971-07,43
1971-08,16
1971-09,53
1971-10,51
1971-11,20
1971-12,114
1972-01,105
1972-02,35
1972-03,63
1972-04,54
1972-05,21
1972-06,50
1972-07,41
1972-08,19
1972-09,60
1972-10,56
1972-11,16
1972-12,83
1973-01,82
1973-02,27
1973-03,49
1973-04,47
1973-05,32
1973-06,56
1973-07,48
1973-08,22
1973-09,44
1973-10,37
1973-11,19
1973-12,72
1974-01,61
1974-02,13
1974-03,38
1974-04,46
1974-05,32
1974-06,54
1974-07,54
1974-08,28
1974-09,52
1974-10,49
1974-11,28
1974-12,80
1975-01,67
1975-02,19
1975-03,46
1975-04,40
1975-05,24
1975-06,55
1975-07,58
1975-08,25
1975-09,52
1975-10,53
1975-11,21
1975-12,144
1976-01,137
1976-02,25
1976-03,54
1976-04,55
1976-05,33
1976-06,61
1976-07,54
1976-08,21
1976-09,43
1976-10,39
1976-11,27
1976-12,169
1977-01,158
1977-02,29
1977-03,52
1977-04,40
1977-05,31
1977-06,69
1977-07,62
1977-08,38
1977-09,51
1977-10,41
1977-11,32
1977-12,142
1978-01,117
1978-02,35
1978-03,58
1978-04,56
1978-05,34
1978-06,83
1978-07,68
1978-08,20
1978-09,77
1978-10,81
1978-11,40
1978-12,148
1979-01,141
1979-02,40
1979-03,75
1979-04,64
1979-05,35
1979-06,87
1979-07,89
1979-08,38
1979-09,96
1979-10,70
1979-11,46
1979-12,217
1980-01,204
1980-02,33
1980-03,60
1980-04,54
1980-05,53
1980-06,78
1980-07,55
1980-08,55
1980-09,78
1980-10,83
1980-11,47
1980-12,162
1981-01,132
1981-02,45
1981-03,95
1981-04,71
1981-05,38
1981-06,91
1981-07,84
1981-08,46
1981-09,77
1981-10,69
1981-11,36
1981-12,208
1982-01,194
1982-02,41
1982-03,83
1982-04,76
1982-05,35
1982-06,75
1982-07,72
1982-08,46
1982-09,97
1982-10,69
1982-11,21
1982-12,190
1983-01,194
1983-02,46
1983-03,71
1983-04,60
1983-05,37
1983-06,81
1983-07,77
1983-08,39
1983-09,68
1983-10,66
1983-11,41
1983-12,245
1984-01,230
1984-02,33
1984-03,83
1984-04,93
1984-05,65
1984-06,95
1984-07,71
1984-08,40
1984-09,96
1984-10,89
1984-11,62
1984-12,223
1985-01,201
1985-02,67
1985-03,114
1985-04,91
1985-05,54
1985-06,125
1985-07,109
1985-08,71
1985-09,136
1985-10,104
1985-11,46
1985-12,373
1986-01,318
1986-02,48
1986-03,106
1986-04,84
1986-05,60
1986-06,103
1986-07,80
1986-08,72
1986-09,110
1986-10,69
1986-11,75
1986-12,289
1987-01,260
1987-02,62
1987-03,69
1987-04,41
1987-05,76
1987-06,89
1987-07,51
1987-08,79
1987-09,70
1987-10,40
1987-11,102
1987-12,492
1988-01,404
1988-02,81
1988-03,100
1988-04,49
1988-05,87
1988-06,103
1988-07,52
1988-08,61
1988-09,93
1988-10,62
1988-11,90
1988-12,384
1989-01,294
1989-02,108
1989-03,120
1989-04,59
1989-05,70
1989-06,80
1989-07,65
1989-08,89
1989-09,105
1989-10,64
1989-11,113
1989-12,535
1990-01,299
1990-02,108
1990-03,137
1990-04,76
1990-05,121
1990-06,127
1990-07,77
1990-08,109
1990-09,138
1990-10,55
1990-11,85
1990-12,683
1991-01,543
1991-02,96
1991-03,134
1991-04,84
1991-05,118
1991-06,132
1991-07,90
1991-08,90
1991-09,107
1991-10,72
1991-11,113
1991-12,504
1992-01,353
1992-02,162
1992-03,166
1992-04,74
1992-05,140
1992-06,140
1992-07,61
1992-08,144
1992-09,137
1992-10,51
1992-11,108
1992-12,641
1993-01,550
1993-02,142
1993-03,0
1993-04,96
1993-05,169
1993-06,166
1993-07,62
1993-08,144
1993-09,164
1993-10,110
1993-11,128
1993-12,509
1994-01,428
1994-02,166
1994-03,219
1994-04,85
1994-05,215
1994-06,189
1994-07,68
1994-08,148
1994-09,163
1994-10,142
1994-11,167
1994-12,780
1995-01,795
1995-02,208
1995-03,191
1995-04,92
1995-05,193
1995-06,202
1995-07,112
1995-08,163
1995-09,209
1995-10,136
1995-11,185
1995-12,695
1996-01,638
1996-02,208
1996-03,189
1996-04,117
1996-05,197
1996-06,223
1996-07,147
1996-08,192
1996-09,190
1996-10,143
1996-11,186
1996-12,897
1997-01,807
1997-02,196
1997-03,222
1997-04,182
1997-05,223
1997-06,168
1997-07,92
1997-08,144
1997-09,176
1997-10,197
1997-11,193
1997-12,800
1998-01,771
1998-02,222
1998-03,259
1998-04,170
1998-05,216
1998-06,196
1998-07,134
1998-08,205
1998-09,219
1998-10,145
1998-11,221
1998-12,1072
1999-01,992
1999-02,198
1999-03,226
1999-04,153
1999-05,192
1999-06,297
1999-07,170
1999-08,188
1999-09,208
1999-10,119
1999-11,255
1999-12,1127
2000-01,1025
2000-02,193
2000-03,240
2000-04,214
2000-05,214
2000-06,278
2000-07,265
2000-08,277
2000-09,304
2000-10,224
2000-11,254
2000-12,1055
2001-01,869
2001-02,277
2001-03,356
2001-04,253
2001-05,265
2001-06,514
2001-07,188
2001-08,281
2001-09,327
2001-10,184
2001-11,246
2001-12,1613
2002-01,1451
2002-02,268
2002-03,365
2002-04,224
2002-05,334
2002-06,387
2002-07,258
2002-08,333
2002-09,367
2002-10,267
2002-11,338
2002-12,1618
2003-01,1411
2003-02,323
2003-03,353
2003-04,242
2003-05,297
2003-06,362
2003-07,304
2003-08,488
2003-09,525
2003-10,295
2003-11,291
2003-12,1778
2004-01,1582
2004-02,347
2004-03,428
2004-04,300
2004-05,317
2004-06,542
2004-07,263
2004-08,440
2004-09,434
2004-10,281
2004-11,410
2004-12,1788
2005-01,1685
2005-02,379
2005-03,386
2005-04,273
2005-05,379
2005-06,617
2005-07,301
2005-08,436
2005-09,474
2005-10,393
2005-11,456
2005-12,2651
2006-01,2574
2006-02,490
2006-03,461
2006-04,399
2006-05,757
2006-06,993
2006-07,464
2006-08,606
2006-09,597
2006-10,559
2006-11,461
2006-12,1986
2007-01,1904
2007-02,598
2007-03,610
2007-04,475
2007-05,496
2007-06,673
2007-07,570
2007-08,727
2007-09,561
2007-10,541
2007-11,640
2007-12,2706
2008-01,2353
2008-02,489
2008-03,585
2008-04,536
2008-05,585
2008-06,784
2008-07,530
2008-08,779
2008-09,1399
2008-10,741
2008-11,910
2008-12,4418
2009-01,3924
2009-02,651
2009-03,568
2009-04,595
2009-05,686
2009-06,776
2009-07,1049
2009-08,897
2009-09,913
2009-10,980
2009-11,992
2009-12,4349
2010-01,3962
2010-02,689
2010-03,932
2010-04,818
2010-05,934
2010-06,1079
2010-07,1000
2010-08,945
2010-09,937
2010-10,1840
2010-11,1842
2010-12,4673
2011-01,4423
2011-02,1196
2011-03,1169
2011-04,1297
2011-05,1297
2011-06,1645
2011-07,1515
2011-08,1385
2011-09,1207
2011-10,1934
2011-11,1963
2011-12,5655
2012-01,5841
2012-02,1302
2012-03,1282
2012-04,1279
2012-05,1725
2012-06,1757
2012-07,1616
2012-08,1326
2012-09,1999
2012-10,2182
2012-11,2563
2012-12,8902
2013-01,8343
2013-02,1386
2013-03,1525
2013-04,1623
2013-05,1734
2013-06,2158
2013-07,1991
2013-08,1893
2013-09,2380
2013-10,3593
2013-11,3146
2013-12,8229
2014-01,7599
2014-02,1728
2014-03,2061
2014-04,1993
2014-05,1930
2014-06,2058
2014-07,2167
2014-08,2516
2014-09,3265
2014-10,3357
2014-11,3428
2014-12,11526
2015-01,10836
2015-02,2906
2015-03,3249
2015-04,3071
2015-05,3235
2015-06,3329
2015-07,3309
2015-08,3298
2015-09,3942
2015-10,4749
2015-11,4352
2015-12,12055
2016-01,11446
2016-02,3687
2016-03,3864
2016-04,4120
2016-05,4336
2016-06,4517
2016-07,4229
2016-08,4371
2016-09,5074
2016-10,4792
2016-11,5239
2016-12,13252
2017-01,12466
2017-02,4269
2017-03,4540
2017-04,4922
2017-05,5650
2017-06,10170
2017-07,5263
2017-08,5408
2017-09,5673
2017-10,5777
2017-11,6102
2017-12,18180
2018-01,17754
2018-02,5634
2018-03,5706
2018-04,5498
2018-05,6259
2018-06,6600
2018-07,6581
2018-08,6578
2018-09,7440
2018-10,11304
2018-11,11105
2018-12,23802
2019-01,22797
