Date,Just in Time
1950-01,40
1950-02,17
1950-03,17
1950-04,21
1950-05,13
1950-06,19
1950-07,33
1950-08,16
1950-09,33
1950-10,17
1950-11,20
1950-12,35
1951-01,36
1951-02,21
1951-03,30
1951-04,35
1951-05,25
1951-06,27
1951-07,28
1951-08,17
1951-09,25
1951-10,26
1951-11,29
1951-12,69
1952-01,45
1952-02,19
1952-03,33
1952-04,41
1952-05,24
1952-06,28
1952-07,47
1952-08,17
1952-09,25
1952-10,29
1952-11,22
1952-12,59
1953-01,42
1953-02,30
1953-03,33
1953-04,25
1953-05,19
1953-06,36
1953-07,27
1953-08,23
1953-09,25
1953-10,33
1953-11,30
1953-12,40
1954-01,46
1954-02,26
1954-03,50
1954-04,44
1954-05,41
1954-06,27
1954-07,37
1954-08,12
1954-09,41
1954-10,30
1954-11,23
1954-12,69
1955-01,40
1955-02,13
1955-03,39
1955-04,34
1955-05,29
1955-06,31
1955-07,33
1955-08,18
1955-09,41
1955-10,34
1955-11,21
1955-12,53
1956-01,52
1956-02,23
1956-03,39
1956-04,43
1956-05,38
1956-06,41
1956-07,50
1956-08,29
1956-09,51
1956-10,33
1956-11,36
1956-12,80
1957-01,67
1957-02,35
1957-03,52
1957-04,38
1957-05,24
1957-06,52
1957-07,43
1957-08,20
1957-09,45
1957-10,43
1957-11,40
1957-12,71
1958-01,60
1958-02,40
1958-03,45
1958-04,49
1958-05,45
1958-06,60
1958-07,42
1958-08,34
1958-09,54
1958-10,45
1958-11,42
1958-12,53
1959-01,71
1959-02,38
1959-03,54
1959-04,60
1959-05,44
1959-06,55
1959-07,51
1959-08,28
1959-09,40
1959-10,53
1959-11,46
1959-12,79
1960-01,80
1960-02,52
1960-03,45
1960-04,53
1960-05,44
1960-06,50
1960-07,66
1960-08,52
1960-09,43
1960-10,40
1960-11,61
1960-12,57
1961-01,88
1961-02,41
1961-03,61
1961-04,54
1961-05,44
1961-06,62
1961-07,60
1961-08,51
1961-09,68
1961-10,49
1961-11,66
1961-12,68
1962-01,115
1962-02,49
1962-03,71
1962-04,77
1962-05,55
1962-06,75
1962-07,66
1962-08,36
1962-09,70
1962-10,76
1962-11,51
1962-12,88
1963-01,123
1963-02,51
1963-03,104
1963-04,91
1963-05,72
1963-06,90
1963-07,67
1963-08,63
1963-09,94
1963-10,75
1963-11,72
1963-12,87
1964-01,136
1964-02,77
1964-03,76
1964-04,98
1964-05,86
1964-06,104
1964-07,90
1964-08,66
1964-09,74
1964-10,100
1964-11,81
1964-12,126
1965-01,160
1965-02,95
1965-03,109
1965-04,99
1965-05,91
1965-06,95
1965-07,112
1965-08,86
1965-09,77
1965-10,102
1965-11,96
1965-12,165
1966-01,186
1966-02,92
1966-03,107
1966-04,114
1966-05,107
1966-06,110
1966-07,99
1966-08,82
1966-09,94
1966-10,134
1966-11,89
1966-12,175
1967-01,176
1967-02,128
1967-03,106
1967-04,126
1967-05,105
1967-06,121
1967-07,88
1967-08,89
1967-09,116
1967-10,103
1967-11,114
1967-12,158
1968-01,183
1968-02,110
1968-03,126
1968-04,123
1968-05,129
1968-06,124
1968-07,111
1968-08,101
1968-09,107
1968-10,129
1968-11,111
1968-12,207
1969-01,213
1969-02,118
1969-03,139
1969-04,133
1969-05,122
1969-06,166
1969-07,121
1969-08,120
1969-09,130
1969-10,129
1969-11,126
1969-12,246
1970-01,375
1970-02,148
1970-03,162
1970-04,146
1970-05,140
1970-06,152
1970-07,145
1970-08,132
1970-09,142
1970-10,146
1970-11,142
1970-12,183
1971-01,234
1971-02,126
1971-03,157
1971-04,152
1971-05,156
1971-06,165
1971-07,131
1971-08,145
1971-09,166
1971-10,167
1971-11,134
1971-12,240
1972-01,272
1972-02,163
1972-03,160
1972-04,162
1972-05,148
1972-06,171
1972-07,150
1972-08,135
1972-09,138
1972-10,135
1972-11,146
1972-12,237
1973-01,258
1973-02,149
1973-03,205
1973-04,168
1973-05,139
1973-06,210
1973-07,173
1973-08,137
1973-09,170
1973-10,155
1973-11,138
1973-12,265
1974-01,255
1974-02,182
1974-03,196
1974-04,188
1974-05,130
1974-06,192
1974-07,154
1974-08,148
1974-09,201
1974-10,158
1974-11,179
1974-12,277
1975-01,299
1975-02,181
1975-03,211
1975-04,146
1975-05,157
1975-06,189
1975-07,156
1975-08,158
1975-09,180
1975-10,152
1975-11,156
1975-12,227
1976-01,311
1976-02,144
1976-03,231
1976-04,201
1976-05,193
1976-06,220
1976-07,171
1976-08,157
1976-09,183
1976-10,178
1976-11,165
1976-12,306
1977-01,392
1977-02,152
1977-03,213
1977-04,226
1977-05,158
1977-06,252
1977-07,179
1977-08,190
1977-09,201
1977-10,177
1977-11,171
1977-12,298
1978-01,392
1978-02,195
1978-03,223
1978-04,181
1978-05,181
1978-06,194
1978-07,193
1978-08,206
1978-09,246
1978-10,220
1978-11,216
1978-12,321
1979-01,387
1979-02,198
1979-03,237
1979-04,208
1979-05,169
1979-06,234
1979-07,187
1979-08,198
1979-09,307
1979-10,204
1979-11,203
1979-12,338
1980-01,549
1980-02,222
1980-03,248
1980-04,259
1980-05,222
