Date,Optimización de Precios
1950-01,11
1950-02,1
1950-03,2
1950-04,2
1950-05,0
1950-06,2
1950-07,2
1950-08,2
1950-09,1
1950-10,1
1950-11,3
1950-12,4
1951-01,1
1951-02,2
1951-03,4
1951-04,3
1951-05,4
1951-06,3
1951-07,1
1951-08,2
1951-09,7
1951-10,7
1951-11,4
1951-12,10
1952-01,11
1952-02,5
1952-03,1
1952-04,2
1952-05,4
1952-06,4
1952-07,6
1952-08,5
1952-09,4
1952-10,3
1952-11,1
1952-12,9
1953-01,10
1953-02,4
1953-03,6
1953-04,7
1953-05,5
1953-06,5
1953-07,4
1953-08,2
1953-09,0
1953-10,1
1953-11,2
1953-12,14
1954-01,13
1954-02,0
1954-03,1
1954-04,4
1954-05,6
1954-06,3
1954-07,3
1954-08,7
1954-09,5
1954-10,5
1954-11,7
1954-12,23
1955-01,13
1955-02,3
1955-03,3
1955-04,3
1955-05,2
1955-06,4
1955-07,4
1955-08,5
1955-09,5
1955-10,3
1955-11,4
1955-12,14
1956-01,22
1956-02,12
1956-03,7
1956-04,6
1956-05,7
1956-06,4
1956-07,2
1956-08,5
1956-09,7
1956-10,3
1956-11,0
1956-12,13
1957-01,16
1957-02,4
1957-03,5
1957-04,5
1957-05,3
1957-06,4
1957-07,4
1957-08,2
1957-09,1
1957-10,2
1957-11,5
1957-12,11
1958-01,9
1958-02,5
1958-03,6
1958-04,4
1958-05,2
1958-06,2
1958-07,6
1958-08,6
1958-09,7
1958-10,12
1958-11,8
1958-12,16
1959-01,16
1959-02,6
1959-03,7
1959-04,5
1959-05,3
1959-06,7
1959-07,6
1959-08,5
1959-09,9
1959-10,7
1959-11,2
1959-12,20
1960-01,20
1960-02,3
1960-03,8
1960-04,5
1960-05,2
1960-06,8
1960-07,10
1960-08,12
1960-09,8
1960-10,5
1960-11,10
1960-12,44
1961-01,44
1961-02,6
1961-03,6
1961-04,7
1961-05,7
1961-06,10
1961-07,10
1961-08,11
1961-09,9
1961-10,5
1961-11,4
1961-12,32
1962-01,34
1962-02,9
1962-03,7
1962-04,10
1962-05,13
1962-06,16
1962-07,11
1962-08,10
1962-09,11
1962-10,17
1962-11,21
1962-12,45
1963-01,37
1963-02,10
1963-03,15
1963-04,13
1963-05,9
1963-06,7
1963-07,3
1963-08,3
1963-09,10
1963-10,12
1963-11,10
1963-12,57
1964-01,52
1964-02,9
1964-03,19
1964-04,22
1964-05,17
1964-06,19
1964-07,10
1964-08,15
1964-09,12
1964-10,10
1964-11,11
1964-12,33
1965-01,39
1965-02,15
1965-03,9
1965-04,9
1965-05,18
1965-06,26
1965-07,18
1965-08,13
1965-09,12
1965-10,18
1965-11,19
1965-12,57
1966-01,64
1966-02,24
1966-03,22
1966-04,23
1966-05,16
1966-06,21
1966-07,22
1966-08,19
1966-09,18
1966-10,18
1966-11,18
1966-12,69
1967-01,71
1967-02,15
1967-03,13
1967-04,18
1967-05,24
1967-06,16
1967-07,17
1967-08,26
1967-09,18
1967-10,18
1967-11,14
1967-12,69
1968-01,62
1968-02,22
1968-03,25
1968-04,28
1968-05,31
1968-06,21
1968-07,18
1968-08,32
1968-09,28
1968-10,24
1968-11,21
1968-12,76
1969-01,80
1969-02,24
1969-03,24
1969-04,25
1969-05,23
1969-06,24
1969-07,32
1969-08,30
1969-09,15
1969-10,28
1969-11,50
1969-12,180
1970-01,166
1970-02,26
1970-03,27
1970-04,40
1970-05,40
1970-06,35
1970-07,35
1970-08,38
1970-09,29
1970-10,27
1970-11,27
1970-12,116
1971-01,125
1971-02,45
1971-03,38
1971-04,37
1971-05,48
1971-06,44
1971-07,29
1971-08,48
1971-09,46
1971-10,28
1971-11,38
1971-12,113
1972-01,112
1972-02,50
1972-03,52
1972-04,0
1972-05,59
1972-06,43
1972-07,37
1972-08,48
1972-09,49
1972-10,42
1972-11,53
1972-12,231
1973-01,216
1973-02,53
1973-03,48
1973-04,38
1973-05,53
1973-06,55
1973-07,43
1973-08,55
1973-09,57
1973-10,37
1973-11,56
1973-12,164
1974-01,156
1974-02,64
1974-03,61
1974-04,53
1974-05,53
1974-06,34
1974-07,28
1974-08,68
1974-09,75
1974-10,50
1974-11,57
1974-12,322
1975-01,316
1975-02,61
1975-03,73
1975-04,58
1975-05,63
1975-06,0
1975-07,69
1975-08,78
1975-09,61
1975-10,50
1975-11,56
1975-12,348
1976-01,324
1976-02,0
1976-03,76
1976-04,75
1976-05,90
1976-06,82
1976-07,0
1976-08,81
1976-09,82
1976-10,66
1976-11,59
1976-12,249
1977-01,0
1977-02,80
1977-03,75
1977-04,67
1977-05,0
1977-06,79
1977-07,61
1977-08,0
1977-09,76
1977-10,74
1977-11,63
1977-12,263
1978-01,268
1978-02,70
1978-03,63
1978-04,64
1978-05,79
1978-06,72
1978-07,55
1978-08,67
1978-09,82
1978-10,70
1978-11,69
1978-12,359
1979-01,347
1979-02,76
1979-03,81
1979-04,73
1979-05,93
1979-06,100
1979-07,0
1979-08,94
