Date,Outsourcing
1950-01,2
1950-02,3
1950-03,5
1950-04,4
1950-05,6
1950-06,4
1950-07,3
1950-08,2
1950-09,1
1950-10,5
1950-11,2
1950-12,6
1951-01,3
1951-02,1
1951-03,6
1951-04,4
1951-05,2
1951-06,2
1951-07,2
1951-08,1
1951-09,2
1951-10,1
1951-11,2
1951-12,8
1952-01,4
1952-02,4
1952-03,5
1952-04,7
1952-05,1
1952-06,7
1952-07,5
1952-08,3
1952-09,5
1952-10,7
1952-11,5
1952-12,5
1953-01,4
1953-02,1
1953-03,4
1953-04,6
1953-05,6
1953-06,2
1953-07,3
1953-08,6
1953-09,1
1953-10,4
1953-11,0
1953-12,0
1954-01,2
1954-02,3
1954-03,2
1954-04,2
1954-05,4
1954-06,1
1954-07,0
1954-08,1
1954-09,2
1954-10,1
1954-11,1
1954-12,4
1955-01,5
1955-02,1
1955-03,1
1955-04,0
1955-05,1
1955-06,2
1955-07,5
1955-08,2
1955-09,5
1955-10,3
1955-11,3
1955-12,17
1956-01,5
1956-02,3
1956-03,3
1956-04,3
1956-05,1
1956-06,5
1956-07,6
1956-08,1
1956-09,3
1956-10,3
1956-11,1
1956-12,6
1957-01,7
1957-02,0
1957-03,5
1957-04,3
1957-05,1
1957-06,0
1957-07,0
1957-08,7
1957-09,4
1957-10,2
1957-11,5
1957-12,2
1958-01,15
1958-02,2
1958-03,2
1958-04,5
1958-05,3
1958-06,1
1958-07,1
1958-08,7
1958-09,1
1958-10,9
1958-11,2
1958-12,3
1959-01,10
1959-02,2
1959-03,4
1959-04,4
1959-05,4
1959-06,2
1959-07,4
1959-08,3
1959-09,8
1959-10,1
1959-11,1
1959-12,5
1960-01,9
1960-02,2
1960-03,3
1960-04,4
1960-05,1
1960-06,4
1960-07,1
1960-08,2
1960-09,1
1960-10,3
1960-11,0
1960-12,6
1961-01,15
1961-02,4
1961-03,3
1961-04,4
1961-05,3
1961-06,0
1961-07,2
1961-08,3
1961-09,1
1961-10,4
1961-11,2
1961-12,8
1962-01,10
1962-02,1
1962-03,2
1962-04,4
1962-05,1
1962-06,2
1962-07,3
1962-08,1
1962-09,7
1962-10,4
1962-11,1
1962-12,11
1963-01,10
1963-02,2
1963-03,7
1963-04,2
1963-05,1
1963-06,4
1963-07,7
1963-08,0
1963-09,7
1963-10,4
1963-11,3
1963-12,11
1964-01,8
1964-02,5
1964-03,7
1964-04,8
1964-05,5
1964-06,8
1964-07,1
1964-08,0
1964-09,9
1964-10,13
1964-11,4
1964-12,11
1965-01,10
1965-02,12
1965-03,5
1965-04,5
1965-05,0
1965-06,4
1965-07,3
1965-08,3
1965-09,2
1965-10,10
1965-11,2
1965-12,19
1966-01,14
1966-02,6
1966-03,9
1966-04,4
1966-05,3
1966-06,6
1966-07,7
1966-08,3
1966-09,2
1966-10,3
1966-11,1
1966-12,13
1967-01,19
1967-02,4
1967-03,4
1967-04,9
1967-05,3
1967-06,4
1967-07,5
1967-08,4
1967-09,3
1967-10,10
1967-11,0
1967-12,15
1968-01,18
1968-02,9
1968-03,8
1968-04,3
1968-05,8
1968-06,9
1968-07,2
1968-08,3
1968-09,9
1968-10,9
1968-11,3
1968-12,15
1969-01,16
1969-02,7
1969-03,4
1969-04,8
1969-05,9
1969-06,7
1969-07,7
1969-08,7
1969-09,9
1969-10,11
1969-11,7
1969-12,47
1970-01,118
1970-02,8
1970-03,12
1970-04,11
1970-05,6
1970-06,14
1970-07,6
1970-08,18
1970-09,6
1970-10,11
1970-11,12
1970-12,20
1971-01,11
1971-02,12
1971-03,10
1971-04,6
1971-05,9
1971-06,19
1971-07,5
1971-08,18
1971-09,7
1971-10,12
1971-11,7
1971-12,18
1972-01,20
1972-02,14
1972-03,8
1972-04,9
1972-05,8
1972-06,9
1972-07,8
1972-08,35
1972-09,10
1972-10,4
1972-11,12
1972-12,9
1973-01,21
1973-02,8
1973-03,10
1973-04,13
1973-05,5
1973-06,17
1973-07,6
1973-08,25
1973-09,15
1973-10,13
1973-11,11
1973-12,24
1974-01,14
1974-02,25
1974-03,20
1974-04,15
1974-05,15
1974-06,19
1974-07,11
1974-08,32
1974-09,16
1974-10,14
1974-11,11
1974-12,21
1975-01,20
1975-02,10
1975-03,29
1975-04,20
1975-05,9
1975-06,26
1975-07,15
1975-08,36
1975-09,13
1975-10,18
1975-11,12
1975-12,34
1976-01,14
1976-02,13
1976-03,26
1976-04,35
1976-05,7
1976-06,27
1976-07,12
1976-08,28
1976-09,19
1976-10,31
1976-11,17
1976-12,33
1977-01,38
1977-02,11
1977-03,23
1977-04,35
1977-05,11
1977-06,31
1977-07,23
1977-08,23
1977-09,18
1977-10,11
1977-11,21
1977-12,19
1978-01,43
1978-02,13
1978-03,32
1978-04,31
1978-05,14
1978-06,28
1978-07,23
1978-08,36
1978-09,16
1978-10,17
1978-11,22
1978-12,11
1979-01,36
1979-02,8
1979-03,28
1979-04,22
1979-05,10
1979-06,28
1979-07,12
1979-08,20
1979-09,33
1979-10,23
1979-11,12
1979-12,36
1980-01,49
1980-02,34
1980-03,25
1980-04,27
1980-05,16
1980-06,29
1980-07,32
1980-08,24
1980-09,26
1980-10,32
1980-11,29
1980-12,38
1981-01,67
1981-02,36
1981-03,54
1981-04,24
1981-05,22
1981-06,30
1981-07,14
1981-08,18
1981-09,27
1981-10,52
1981-11,17
1981-12,35
1982-01,61
1982-02,38
1982-03,47
1982-04,28
1982-05,15
1982-06,41
1982-07,16
1982-08,20
1982-09,37
1982-10,27
1982-11,19
1982-12,32
1983-01,82
1983-02,49
1983-03,59
1983-04,38
1983-05,31
1983-06,39
1983-07,30
1983-08,32
1983-09,34
1983-10,20
1983-11,20
1983-12,37
1984-01,106
1984-02,47
1984-03,61
1984-04,40
1984-05,27
1984-06,42
1984-07,43
1984-08,29
1984-09,36
1984-10,33
1984-11,33
1984-12,41
1985-01,101
1985-02,60
1985-03,63
1985-04,50
1985-05,31
1985-06,48
1985-07,33
1985-08,46
1985-09,44
1985-10,29
1985-11,33
1985-12,47
1986-01,91
1986-02,44
1986-03,60
1986-04,58
1986-05,59
1986-06,49
1986-07,36
1986-08,24
1986-09,54
1986-10,43
1986-11,25
1986-12,40
1987-01,112
1987-02,49
1987-03,78
1987-04,56
1987-05,17
1987-06,52
1987-07,33
1987-08,26
1987-09,55
1987-10,58
1987-11,33
1987-12,68
1988-01,114
1988-02,47
1988-03,90
1988-04,53
1988-05,40
1988-06,86
1988-07,47
1988-08,48
1988-09,49
1988-10,37
1988-11,33
1988-12,88
1989-01,154
1989-02,56
1989-03,78
1989-04,59
1989-05,73
1989-06,71
1989-07,69
1989-08,82
1989-09,66
1989-10,66
1989-11,33
1989-12,50
1990-01,181
1990-02,58
1990-03,113
1990-04,97
1990-05,47
1990-06,66
1990-07,63
1990-08,77
1990-09,94
1990-10,69
1990-11,21
1990-12,74
1991-01,197
1991-02,65
1991-03,112
1991-04,94
1991-05,62
1991-06,100
1991-07,60
1991-08,64
1991-09,99
1991-10,86
1991-11,44
1991-12,66
1992-01,150
1992-02,76
1992-03,144
1992-04,103
1992-05,71
1992-06,122
1992-07,65
1992-08,39
1992-09,123
1992-10,53
1992-11,39
1992-12,132
1993-01,143
1993-02,84
1993-03,157
1993-04,87
1993-05,92
1993-06,165
1993-07,70
1993-08,76
1993-09,141
1993-10,67
1993-11,44
1993-12,125
1994-01,288
1994-02,80
1994-03,165
1994-04,73
1994-05,67
1994-06,166
1994-07,63
1994-08,68
1994-09,158
1994-10,92
1994-11,61
1994-12,153
1995-01,230
1995-02,111
1995-03,152
1995-04,97
1995-05,79
1995-06,193
1995-07,92
1995-08,105
1995-09,183
1995-10,122
1995-11,95
1995-12,195
1996-01,213
1996-02,104
1996-03,221
1996-04,124
1996-05,87
1996-06,221
1996-07,168
1996-08,101
1996-09,176
1996-10,83
1996-11,105
1996-12,204
1997-01,201
1997-02,161
1997-03,202
1997-04,134
1997-05,122
1997-06,248
1997-07,134
1997-08,98
1997-09,195
1997-10,129
1997-11,107
1997-12,227
1998-01,274
1998-02,113
1998-03,241
1998-04,140
1998-05,115
1998-06,310
1998-07,185
1998-08,120
1998-09,286
1998-10,96
1998-11,148
1998-12,253
1999-01,260
1999-02,95
1999-03,237
1999-04,143
1999-05,135
1999-06,214
1999-07,153
1999-08,99
1999-09,230
1999-10,131
1999-11,140
1999-12,211
2000-01,377
2000-02,124
2000-03,286
2000-04,165
2000-05,171
2000-06,242
2000-07,182
2000-08,245
2000-09,244
2000-10,209
2000-11,136
2000-12,302
2001-01,380
2001-02,116
2001-03,303
2001-04,196
2001-05,457
2001-06,301
2001-07,176
2001-08,180
2001-09,270
2001-10,231
2001-11,108
2001-12,446
2002-01,455
2002-02,155
2002-03,279
2002-04,235
2002-05,158
2002-06,239
2002-07,251
2002-08,161
2002-09,372
2002-10,238
2002-11,221
2002-12,309
2003-01,662
2003-02,174
2003-03,339
2003-04,234
2003-05,165
2003-06,351
2003-07,219
2003-08,314
2003-09,396
2003-10,294
2003-11,182
2003-12,394
2004-01,464
2004-02,253
2004-03,318
2004-04,286
2004-05,227
2004-06,367
2004-07,262
2004-08,301
2004-09,318
2004-10,330
2004-11,224
2004-12,407
2005-01,467
2005-02,236
2005-03,303
2005-04,251
2005-05,257
2005-06,423
2005-07,295
2005-08,293
2005-09,343
2005-10,361
2005-11,249
2005-12,445
2006-01,910
2006-02,182
2006-03,428
2006-04,519
2006-05,364
2006-06,492
2006-07,461
2006-08,444
2006-09,436
2006-10,421
2006-11,432
2006-12,436
2007-01,563
2007-02,307
2007-03,549
2007-04,309
2007-05,428
2007-06,568
2007-07,510
2007-08,593
2007-09,509
2007-10,533
2007-11,426
2007-12,761
2008-01,620
2008-02,405
2008-03,471
2008-04,515
2008-05,472
2008-06,606
2008-07,492
2008-08,347
2008-09,724
2008-10,869
2008-11,477
2008-12,947
2009-01,853
2009-02,779
2009-03,523
2009-04,563
2009-05,480
2009-06,765
2009-07,662
2009-08,678
2009-09,1014
2009-10,761
2009-11,581
2009-12,775
2010-01,1039
2010-02,436
2010-03,668
2010-04,651
2010-05,1083
2010-06,765
2010-07,784
2010-08,868
2010-09,895
2010-10,874
2010-11,994
2010-12,878
2011-01,1721
2011-02,641
2011-03,712
2011-04,638
2011-05,2096
2011-06,928
2011-07,769
2011-08,1126
2011-09,1243
2011-10,978
2011-11,915
2011-12,1006
2012-01,2217
2012-02,774
2012-03,1086
2012-04,1056
2012-05,861
2012-06,1254
2012-07,1199
2012-08,852
2012-09,1211
2012-10,1091
2012-11,948
2012-12,1310
2013-01,1382
2013-02,633
2013-03,1020
2013-04,856
2013-05,1125
2013-06,1147
2013-07,1155
2013-08,872
2013-09,1318
2013-10,1246
2013-11,1027
2013-12,1331
2014-01,1445
2014-02,772
2014-03,1068
2014-04,1006
2014-05,1170
2014-06,1374
2014-07,1188
2014-08,1022
2014-09,1467
2014-10,1383
2014-11,1187
2014-12,1478
2015-01,1541
2015-02,791
2015-03,1359
2015-04,956
2015-05,827
2015-06,1285
2015-07,1106
2015-08,1483
2015-09,1119
2015-10,1325
2015-11,979
2015-12,1453
2016-01,1633
2016-02,981
2016-03,1102
2016-04,1689
2016-05,1211
2016-06,1645
2016-07,1241
2016-08,1185
2016-09,1437
2016-10,1474
2016-11,1295
2016-12,1773
2017-01,1336
2017-02,1041
2017-03,1444
2017-04,1256
2017-05,1593
2017-06,1751
2017-07,1811
2017-08,1526
2017-09,2071
2017-10,1776
2017-11,1587
2017-12,2193
2018-01,1725
2018-02,1202
2018-03,1572
2018-04,1918
2018-05,1473
2018-06,1913
2018-07,1799
2018-08,1889
2018-09,2000
2018-10,1908
2018-11,1611
2018-12,2392
2019-01,1819
2019-02,1298
2019-03,1874
2019-04,1708
2019-05,1860
2019-06,2290
2019-07,1933
2019-08,2240
2019-09,2716
2019-10,2292
