Date,Planificación de Escenarios
1950-01,47
1950-02,12
1950-03,14
1950-04,32
1950-05,17
1950-06,8
1950-07,31
1950-08,9
1950-09,21
1950-10,28
1950-11,17
1950-12,25
1951-01,34
1951-02,20
1951-03,23
1951-04,34
1951-05,13
1951-06,23
1951-07,39
1951-08,11
1951-09,21
1951-10,18
1951-11,12
1951-12,21
1952-01,37
1952-02,15
1952-03,25
1952-04,34
1952-05,17
1952-06,17
1952-07,26
1952-08,5
1952-09,22
1952-10,28
1952-11,5
1952-12,59
1953-01,28
1953-02,4
1953-03,20
1953-04,31
1953-05,16
1953-06,13
1953-07,25
1953-08,5
1953-09,18
1953-10,26
1953-11,13
1953-12,44
1954-01,40
1954-02,9
1954-03,18
1954-04,21
1954-05,19
1954-06,22
1954-07,27
1954-08,13
1954-09,14
1954-10,21
1954-11,12
1954-12,45
1955-01,33
1955-02,9
1955-03,18
1955-04,23
1955-05,9
1955-06,11
1955-07,15
1955-08,12
1955-09,11
1955-10,24
1955-11,11
1955-12,19
1956-01,36
1956-02,19
1956-03,22
1956-04,41
1956-05,23
1956-06,17
1956-07,23
1956-08,11
1956-09,23
1956-10,25
1956-11,14
1956-12,26
1957-01,43
1957-02,19
1957-03,23
1957-04,29
1957-05,14
1957-06,15
1957-07,21
1957-08,12
1957-09,23
1957-10,33
1957-11,10
1957-12,33
1958-01,33
1958-02,6
1958-03,17
1958-04,38
1958-05,16
1958-06,16
1958-07,23
1958-08,19
1958-09,22
1958-10,29
1958-11,11
1958-12,45
1959-01,51
1959-02,11
1959-03,29
1959-04,21
1959-05,20
1959-06,40
1959-07,26
1959-08,10
1959-09,40
1959-10,26
1959-11,16
1959-12,56
1960-01,84
1960-02,21
1960-03,45
1960-04,26
1960-05,22
1960-06,33
1960-07,33
1960-08,19
1960-09,50
1960-10,39
1960-11,23
1960-12,72
1961-01,46
1961-02,25
1961-03,60
1961-04,58
1961-05,20
1961-06,38
1961-07,34
1961-08,15
1961-09,43
1961-10,24
1961-11,36
1961-12,66
1962-01,43
1962-02,17
1962-03,45
1962-04,39
1962-05,28
1962-06,37
1962-07,32
1962-08,22
1962-09,32
1962-10,51
1962-11,23
1962-12,103
1963-01,71
1963-02,25
1963-03,54
1963-04,64
1963-05,27
1963-06,36
1963-07,55
1963-08,28
1963-09,59
1963-10,59
1963-11,28
1963-12,153
1964-01,77
1964-02,44
1964-03,46
1964-04,58
