Date,Planificación Estratégica
1950-01,8
1950-02,3
1950-03,6
1950-04,4
1950-05,8
1950-06,5
1950-07,1
1950-08,5
1950-09,9
1950-10,7
1950-11,3
1950-12,18
1951-01,16
1951-02,4
1951-03,7
1951-04,7
1951-05,5
1951-06,7
1951-07,8
1951-08,6
1951-09,8
1951-10,4
1951-11,5
1951-12,28
1952-01,7
1952-02,4
1952-03,5
1952-04,4
1952-05,3
1952-06,6
1952-07,4
1952-08,3
1952-09,3
1952-10,2
1952-11,2
1952-12,14
1953-01,9
1953-02,5
1953-03,7
1953-04,7
1953-05,6
1953-06,3
1953-07,2
1953-08,2
1953-09,8
1953-10,6
1953-11,6
1953-12,15
1954-01,13
1954-02,9
1954-03,12
1954-04,12
1954-05,8
1954-06,5
1954-07,5
1954-08,7
1954-09,7
1954-10,8
1954-11,8
1954-12,35
1955-01,13
1955-02,12
1955-03,15
1955-04,14
1955-05,5
1955-06,10
1955-07,10
1955-08,4
1955-09,7
1955-10,12
1955-11,9
1955-12,16
1956-01,18
1956-02,8
1956-03,10
1956-04,13
1956-05,10
1956-06,7
1956-07,2
1956-08,6
1956-09,13
1956-10,8
1956-11,9
1956-12,21
1957-01,20
1957-02,14
1957-03,17
1957-04,15
1957-05,10
1957-06,10
1957-07,8
1957-08,9
1957-09,10
1957-10,11
1957-11,9
1957-12,23
1958-01,23
1958-02,12
1958-03,13
1958-04,15
1958-05,13
1958-06,11
1958-07,9
1958-08,12
1958-09,10
1958-10,8
1958-11,12
1958-12,30
1959-01,22
1959-02,5
1959-03,9
1959-04,9
1959-05,6
1959-06,10
1959-07,8
1959-08,9
1959-09,10
1959-10,7
1959-11,11
1959-12,37
1960-01,32
1960-02,14
1960-03,12
1960-04,10
1960-05,11
1960-06,16
1960-07,13
1960-08,15
1960-09,20
1960-10,10
1960-11,9
1960-12,34
1961-01,30
1961-02,16
1961-03,12
1961-04,11
1961-05,7
1961-06,8
1961-07,12
1961-08,18
1961-09,18
1961-10,17
1961-11,13
1961-12,49
1962-01,31
1962-02,20
1962-03,21
1962-04,18
1962-05,18
1962-06,22
1962-07,16
1962-08,14
1962-09,20
1962-10,17
1962-11,25
1962-12,50
1963-01,38
1963-02,20
1963-03,19
1963-04,17
1963-05,18
1963-06,20
1963-07,16
1963-08,17
1963-09,25
1963-10,17
1963-11,29
1963-12,73
1964-01,32
1964-02,16
1964-03,21
1964-04,20
1964-05,28
1964-06,28
1964-07,17
1964-08,20
1964-09,30
1964-10,30
1964-11,30
1964-12,96
1965-01,49
1965-02,19
1965-03,26
1965-04,25
1965-05,22
1965-06,32
1965-07,26
1965-08,26
1965-09,30
1965-10,23
1965-11,27
1965-12,65
1966-01,54
1966-02,26
1966-03,28
1966-04,16
1966-05,18
1966-06,35
1966-07,35
1966-08,22
1966-09,21
1966-10,25
1966-11,36
1966-12,118
1967-01,83
1967-02,36
1967-03,36
1967-04,27
1967-05,33
1967-06,38
1967-07,25
1967-08,23
1967-09,26
1967-10,28
1967-11,29
1967-12,101
1968-01,74
1968-02,40
1968-03,48
1968-04,34
1968-05,35
1968-06,36
1968-07,33
1968-08,34
1968-09,48
1968-10,40
1968-11,41
1968-12,93
1969-01,77
1969-02,36
1969-03,40
1969-04,42
1969-05,41
1969-06,40
1969-07,43
1969-08,41
1969-09,35
1969-10,28
1969-11,26
1969-12,286
1970-01,252
1970-02,47
1970-03,54
1970-04,43
1970-05,43
1970-06,30
1970-07,28
1970-08,45
1970-09,53
1970-10,43
1970-11,35
1970-12,108
1971-01,120
1971-02,46
1971-03,56
1971-04,49
1971-05,42
1971-06,55
1971-07,43
1971-08,68
1971-09,61
1971-10,46
1971-11,56
1971-12,153
1972-01,116
1972-02,54
1972-03,57
1972-04,51
1972-05,50
1972-06,60
1972-07,63
1972-08,71
1972-09,78
1972-10,69
1972-11,56
1972-12,191
1973-01,189
1973-02,64
1973-03,70
1973-04,69
1973-05,68
1973-06,59
1973-07,57
1973-08,79
1973-09,79
1973-10,51
1973-11,59
1973-12,167
1974-01,155
1974-02,65
1974-03,70
1974-04,61
1974-05,66
1974-06,64
1974-07,79
1974-08,101
1974-09,96
1974-10,82
1974-11,78
1974-12,232
1975-01,219
1975-02,79
1975-03,78
1975-04,56
1975-05,68
1975-06,71
1975-07,70
1975-08,82
1975-09,70
1975-10,68
1975-11,77
1975-12,386
1976-01,369
1976-02,85
1976-03,94
1976-04,78
1976-05,77
1976-06,89
1976-07,102
1976-08,88
1976-09,86
1976-10,94
1976-11,86
1976-12,334
1977-01,297
1977-02,79
1977-03,107
1977-04,113
1977-05,119
1977-06,100
1977-07,90
1977-08,115
1977-09,126
1977-10,90
1977-11,95
1977-12,470
1978-01,446
1978-02,103
1978-03,123
1978-04,105
1978-05,89
1978-06,110
1978-07,116
1978-08,99
1978-09,109
1978-10,131
1978-11,135
1978-12,476
1979-01,457
1979-02,152
1979-03,160
1979-04,141
1979-05,158
1979-06,145
1979-07,107
1979-08,152
1979-09,166
1979-10,132
1979-11,149
1979-12,518
1980-01,491
1980-02,169
1980-03,191
1980-04,158
1980-05,152
1980-06,172
1980-07,149
1980-08,119
1980-09,140
1980-10,138
1980-11,145
1980-12,678
