Date,Planificación de Escenarios
1950-01,68
1950-02,21
1950-03,46
1950-04,49
1950-05,25
1950-06,37
1950-07,39
1950-08,24
1950-09,48
1950-10,44
1950-11,35
1950-12,66
1951-01,62
1951-02,36
1951-03,56
1951-04,47
1951-05,31
1951-06,59
1951-07,50
1951-08,30
1951-09,39
1951-10,30
1951-11,30
1951-12,76
1952-01,72
1952-02,35
1952-03,52
1952-04,43
1952-05,26
1952-06,41
1952-07,31
1952-08,25
1952-09,50
1952-10,32
1952-11,18
1952-12,97
1953-01,43
1953-02,22
1953-03,51
1953-04,47
1953-05,25
1953-06,38
1953-07,29
1953-08,20
1953-09,43
1953-10,38
1953-11,25
1953-12,90
1954-01,57
1954-02,24
1954-03,39
1954-04,38
1954-05,34
1954-06,47
1954-07,36
1954-08,25
1954-09,35
1954-10,32
1954-11,25
1954-12,94
1955-01,59
1955-02,25
1955-03,40
1955-04,32
1955-05,17
1955-06,26
1955-07,27
1955-08,23
1955-09,34
1955-10,35
1955-11,27
1955-12,146
1956-01,149
1956-02,35
1956-03,58
1956-04,64
1956-05,38
1956-06,38
1956-07,34
1956-08,29
1956-09,48
1956-10,39
1956-11,36
1956-12,188
1957-01,183
1957-02,35
1957-03,51
1957-04,41
1957-05,28
1957-06,35
1957-07,32
1957-08,30
1957-09,53
1957-10,43
1957-11,36
1957-12,214
1958-01,187
1958-02,17
1958-03,52
1958-04,51
1958-05,30
1958-06,38
1958-07,39
1958-08,38
1958-09,50
1958-10,38
1958-11,49
1958-12,250
1959-01,215
1959-02,40
1959-03,49
1959-04,37
1959-05,59
1959-06,66
1959-07,35
1959-08,49
1959-09,63
1959-10,41
1959-11,61
1959-12,255
1960-01,257
1960-02,64
1960-03,70
1960-04,48
1960-05,52
1960-06,65
1960-07,52
1960-08,64
1960-09,78
1960-10,61
1960-11,74
1960-12,327
1961-01,284
1961-02,79
1961-03,93
1961-04,75
1961-05,55
1961-06,71
1961-07,48
1961-08,58
1961-09,67
1961-10,57
1961-11,62
1961-12,295
1962-01,249
1962-02,61
1962-03,82
1962-04,64
1962-05,64
1962-06,68
1962-07,53
1962-08,52
1962-09,80
1962-10,74
1962-11,101
1962-12,424
1963-01,344
1963-02,78
1963-03,111
1963-04,89
1963-05,59
1963-06,90
1963-07,77
1963-08,85
1963-09,110
1963-10,86
1963-11,94
1963-12,534
1964-01,411
1964-02,84
1964-03,102
1964-04,89
1964-05,66
1964-06,95
1964-07,90
1964-08,64
1964-09,102
1964-10,100
1964-11,85
1964-12,232
1965-01,208
1965-02,80
1965-03,77
1965-04,61
1965-05,66
1965-06,101
1965-07,87
1965-08,70
1965-09,106
1965-10,92
1965-11,105
1965-12,376
1966-01,288
1966-02,88
1966-03,117
1966-04,101
1966-05,83
1966-06,100
1966-07,87
1966-08,70
1966-09,145
1966-10,154
1966-11,100
1966-12,650
1967-01,531
1967-02,111
1967-03,135
1967-04,118
1967-05,113
1967-06,143
1967-07,98
1967-08,103
1967-09,152
1967-10,138
1967-11,139
1967-12,362
1968-01,262
1968-02,158
1968-03,179
1968-04,152
1968-05,186
1968-06,206
1968-07,153
1968-08,145
1968-09,166
1968-10,165
1968-11,135
1968-12,318
1969-01,228
1969-02,153
1969-03,234
1969-04,195
1969-05,174
1969-06,186
1969-07,137
1969-08,162
1969-09,202
1969-10,196
1969-11,200
1969-12,618
1970-01,494
1970-02,210
1970-03,214
1970-04,126
1970-05,172
1970-06,208
1970-07,137
1970-08,160
1970-09,232
1970-10,200
1970-11,160
1970-12,467
1971-01,433
1971-02,153
1971-03,196
1971-04,182
1971-05,164
1971-06,203
1971-07,148
1971-08,151
1971-09,207
1971-10,183
1971-11,166
1971-12,490
1972-01,377
1972-02,178
1972-03,250
1972-04,215
1972-05,173
