Date,Presupuesto Base Cero
1950-01,0
1950-02,0
1950-03,2
1950-04,2
1950-05,0
1950-06,0
1950-07,0
1950-08,2
1950-09,0
1950-10,1
1950-11,0
1950-12,1
1951-01,3
1951-02,2
1951-03,1
1951-04,5
1951-05,0
1951-06,0
1951-07,2
1951-08,0
1951-09,0
1951-10,2
1951-11,1
1951-12,19
1952-01,2
1952-02,1
1952-03,0
1952-04,5
1952-05,1
1952-06,0
1952-07,2
1952-08,4
1952-09,0
1952-10,0
1952-11,1
1952-12,1
1953-01,1
1953-02,1
1953-03,0
1953-04,0
1953-05,2
1953-06,0
1953-07,1
1953-08,0
1953-09,2
1953-10,1
1953-11,0
1953-12,4
1954-01,0
1954-02,1
1954-03,1
1954-04,0
1954-05,1
1954-06,4
1954-07,0
1954-08,0
1954-09,0
1954-10,1
1954-11,1
1954-12,2
1955-01,1
1955-02,1
1955-03,1
1955-04,3
1955-05,2
1955-06,2
1955-07,0
1955-08,0
1955-09,0
1955-10,2
1955-11,0
1955-12,1
1956-01,2
1956-02,3
1956-03,2
1956-04,2
1956-05,0
1956-06,4
1956-07,1
1956-08,1
1956-09,1
1956-10,4
1956-11,1
1956-12,3
1957-01,3
1957-02,1
1957-03,3
1957-04,2
1957-05,1
1957-06,0
1957-07,0
1957-08,2
1957-09,1
1957-10,1
1957-11,2
1957-12,2
1958-01,4
1958-02,2
1958-03,1
1958-04,3
1958-05,2
1958-06,0
1958-07,1
1958-08,1
1958-09,2
1958-10,0
1958-11,1
1958-12,2
1959-01,3
1959-02,0
1959-03,2
1959-04,3
1959-05,3
1959-06,1
1959-07,1
1959-08,2
1959-09,3
1959-10,3
1959-11,0
1959-12,6
1960-01,9
1960-02,1
1960-03,5
1960-04,2
1960-05,2
1960-06,8
1960-07,1
1960-08,6
1960-09,1
1960-10,1
1960-11,3
1960-12,8
1961-01,4
1961-02,2
1961-03,5
1961-04,6
1961-05,3
1961-06,0
1961-07,2
1961-08,1
1961-09,8
1961-10,3
1961-11,2
1961-12,4
1962-01,5
1962-02,2
1962-03,1
1962-04,6
1962-05,2
1962-06,1
1962-07,4
1962-08,4
1962-09,1
1962-10,3
1962-11,1
1962-12,8
1963-01,8
1963-02,2
1963-03,7
1963-04,5
1963-05,1
1963-06,2
1963-07,9
1963-08,4
1963-09,4
1963-10,3
1963-11,1
1963-12,9
1964-01,7
1964-02,3
1964-03,4
1964-04,4
1964-05,5
1964-06,2
1964-07,4
1964-08,2
1964-09,6
1964-10,2
1964-11,4
1964-12,6
1965-01,6
1965-02,4
1965-03,6
1965-04,1
1965-05,3
1965-06,4
1965-07,6
1965-08,7
1965-09,8
1965-10,8
1965-11,3
1965-12,2
1966-01,10
1966-02,3
1966-03,9
1966-04,6
1966-05,5
1966-06,4
1966-07,2
1966-08,5
1966-09,3
1966-10,6
1966-11,6
1966-12,6
1967-01,14
1967-02,10
1967-03,5
1967-04,3
1967-05,3
1967-06,4
1967-07,4
1967-08,3
1967-09,6
1967-10,3
1967-11,1
1967-12,14
1968-01,12
1968-02,9
1968-03,11
1968-04,3
1968-05,6
1968-06,15
1968-07,4
1968-08,6
1968-09,10
1968-10,8
1968-11,6
1968-12,11
1969-01,9
1969-02,11
1969-03,18
1969-04,9
1969-05,6
1969-06,13
1969-07,8
1969-08,5
1969-09,9
1969-10,8
1969-11,5
1969-12,32
1970-01,80
1970-02,11
1970-03,11
1970-04,8
1970-05,11
1970-06,9
1970-07,8
1970-08,9
1970-09,13
1970-10,3
1970-11,8
1970-12,15
1971-01,22
1971-02,11
1971-03,12
1971-04,6
1971-05,11
1971-06,7
1971-07,7
1971-08,8
1971-09,10
1971-10,12
1971-11,11
1971-12,21
1972-01,20
1972-02,14
1972-03,19
1972-04,10
1972-05,12
1972-06,22
1972-07,6
1972-08,12
1972-09,15
1972-10,20
1972-11,10
1972-12,16
1973-01,26
1973-02,9
1973-03,17
1973-04,19
1973-05,13
1973-06,17
1973-07,10
1973-08,16
1973-09,22
1973-10,17
1973-11,11
1973-12,22
1974-01,30
1974-02,15
1974-03,18
1974-04,15
1974-05,15
1974-06,15
1974-07,13
1974-08,14
1974-09,9
1974-10,9
1974-11,15
1974-12,34
1975-01,21
1975-02,12
1975-03,24
1975-04,16
1975-05,13
1975-06,16
1975-07,8
1975-08,30
1975-09,15
1975-10,26
1975-11,17
1975-12,27
1976-01,32
1976-02,18
1976-03,17
1976-04,17
1976-05,13
1976-06,21
1976-07,22
1976-08,15
1976-09,28
1976-10,12
1976-11,10
1976-12,29
1977-01,49
1977-02,22
1977-03,29
1977-04,14
1977-05,18
1977-06,30
1977-07,19
1977-08,26
1977-09,21
1977-10,18
1977-11,16
1977-12,32
1978-01,57
1978-02,19
1978-03,39
1978-04,18
1978-05,26
1978-06,21
1978-07,8
1978-08,21
1978-09,21
1978-10,16
1978-11,32
1978-12,25
1979-01,70
1979-02,19
1979-03,52
1979-04,22
1979-05,20
1979-06,42
1979-07,23
1979-08,22
1979-09,60
1979-10,29
1979-11,22
1979-12,41
1980-01,73
1980-02,21
1980-03,31
1980-04,29
1980-05,30
1980-06,35
1980-07,31
1980-08,18
1980-09,28
1980-10,24
1980-11,22
1980-12,38
1981-01,93
1981-02,26
1981-03,57
1981-04,41
1981-05,30
1981-06,48
1981-07,33
1981-08,52
1981-09,34
1981-10,35
1981-11,29
1981-12,61
1982-01,84
1982-02,13
1982-03,50
1982-04,30
1982-05,28
1982-06,69
1982-07,35
1982-08,26
1982-09,50
1982-10,39
1982-11,37
1982-12,58
1983-01,95
1983-02,32
1983-03,65
1983-04,33
1983-05,39
1983-06,61
1983-07,37
1983-08,31
1983-09,66
1983-10,34
1983-11,28
1983-12,51
1984-01,127
1984-02,41
1984-03,58
1984-04,38
1984-05,42
1984-06,54
1984-07,56
1984-08,44
1984-09,59
1984-10,39
1984-11,36
1984-12,70
1985-01,121
1985-02,34
