Date,Project Management
1950-01,42
1950-02,5
1950-03,5
1950-04,44
1950-05,10
1950-06,7
1950-07,35
1950-08,3
1950-09,3
1950-10,43
1950-11,4
1950-12,12
1951-01,56
1951-02,1
1951-03,19
1951-04,31
1951-05,13
1951-06,6
1951-07,41
1951-08,1
1951-09,18
1951-10,36
1951-11,21
1951-12,6
1952-01,64
1952-02,2
1952-03,22
1952-04,39
1952-05,22
1952-06,5
1952-07,60
1952-08,5
1952-09,18
1952-10,27
1952-11,15
1952-12,8
1953-01,48
1953-02,6
1953-03,25
1953-04,34
1953-05,22
1953-06,11
1953-07,45
1953-08,3
1953-09,26
1953-10,35
1953-11,13
1953-12,13
1954-01,38
1954-02,12
1954-03,23
1954-04,43
1954-05,21
1954-06,7
1954-07,48
1954-08,8
1954-09,23
1954-10,36
1954-11,22
1954-12,18
1955-01,63
1955-02,3
1955-03,26
1955-04,41
1955-05,23
1955-06,5
1955-07,46
1955-08,7
1955-09,23
1955-10,43
1955-11,18
1955-12,14
1956-01,58
1956-02,4
1956-03,23
1956-04,48
1956-05,20
1956-06,10
1956-07,53
1956-08,9
1956-09,26
1956-10,46
1956-11,26
1956-12,12
1957-01,83
1957-02,29
1957-03,21
1957-04,42
1957-05,20
1957-06,12
1957-07,56
1957-08,7
1957-09,24
1957-10,50
1957-11,35
1957-12,13
1958-01,73
1958-02,8
1958-03,38
1958-04,72
1958-05,20
1958-06,14
1958-07,68
1958-08,18
1958-09,35
1958-10,67
1958-11,21
1958-12,52
1959-01,90
1959-02,22
1959-03,25
1959-04,83
1959-05,31
1959-06,12
1959-07,87
1959-08,25
1959-09,27
1959-10,56
1959-11,34
1959-12,33
1960-01,135
1960-02,12
1960-03,49
1960-04,80
1960-05,19
1960-06,14
1960-07,92
1960-08,14
1960-09,41
1960-10,64
1960-11,26
1960-12,55
1961-01,100
1961-02,23
1961-03,35
1961-04,75
1961-05,29
1961-06,26
1961-07,87
1961-08,54
1961-09,50
1961-10,71
1961-11,39
1961-12,66
1962-01,104
1962-02,30
1962-03,64
1962-04,89
1962-05,49
1962-06,30
1962-07,104
1962-08,38
1962-09,55
1962-10,83
1962-11,52
1962-12,82
1963-01,113
1963-02,18
1963-03,72
1963-04,93
1963-05,56
1963-06,44
1963-07,104
1963-08,27
1963-09,60
1963-10,102
1963-11,45
1963-12,87
1964-01,110
1964-02,26
1964-03,75
1964-04,87
1964-05,59
1964-06,58
1964-07,109
1964-08,23
1964-09,88
1964-10,71
1964-11,65
1964-12,93
1965-01,123
1965-02,60
1965-03,92
1965-04,102
1965-05,78
1965-06,70
1965-07,131
1965-08,43
1965-09,84
1965-10,142
1965-11,69
1965-12,94
1966-01,138
1966-02,57
1966-03,78
1966-04,77
1966-05,105
1966-06,69
1966-07,115
1966-08,52
1966-09,94
1966-10,112
1966-11,74
1966-12,153
1967-01,137
1967-02,78
1967-03,116
1967-04,108
1967-05,99
1967-06,91
1967-07,119
1967-08,61
1967-09,102
1967-10,110
1967-11,85
1967-12,115
1968-01,134
1968-02,71
1968-03,114
1968-04,106
1968-05,107
1968-06,67
1968-07,140
1968-08,56
1968-09,116
1968-10,134
1968-11,89
1968-12,110
1969-01,162
1969-02,50
1969-03,86
1969-04,84
1969-05,83
1969-06,57
1969-07,121
1969-08,55
1969-09,84
1969-10,131
1969-11,71
1969-12,126
1970-01,256
1970-02,73
1970-03,79
1970-04,133
1970-05,79
1970-06,67
1970-07,122
1970-08,57
1970-09,169
1970-10,180
1970-11,94
1970-12,108
1971-01,184
1971-02,116
1971-03,142
