Date,Propósito y Visión
1950-01,81
1950-02,49
1950-03,76
1950-04,71
1950-05,53
1950-06,73
1950-07,78
1950-08,51
1950-09,62
1950-10,67
1950-11,55
1950-12,93
1951-01,92
1951-02,49
1951-03,75
1951-04,0
1951-05,53
1951-06,65
1951-07,79
1951-08,56
1951-09,65
1951-10,67
1951-11,58
1951-12,127
1952-01,89
1952-02,42
1952-03,64
1952-04,60
1952-05,42
1952-06,85
1952-07,68
1952-08,38
1952-09,73
1952-10,77
1952-11,55
1952-12,159
1953-01,115
1953-02,53
1953-03,72
1953-04,79
1953-05,54
1953-06,65
1953-07,49
1953-08,49
1953-09,88
1953-10,78
1953-11,56
1953-12,85
1954-01,81
1954-02,53
1954-03,67
1954-04,55
1954-05,51
1954-06,67
1954-07,58
1954-08,36
1954-09,63
1954-10,69
1954-11,48
1954-12,137
1955-01,116
1955-02,52
1955-03,61
1955-04,59
1955-05,39
1955-06,64
1955-07,67
1955-08,41
1955-09,64
1955-10,64
1955-11,41
1955-12,92
1956-01,92
1956-02,50
1956-03,71
1956-04,63
1956-05,37
1956-06,44
1956-07,53
1956-08,50
1956-09,64
1956-10,65
1956-11,58
1956-12,114
1957-01,95
1957-02,54
1957-03,91
1957-04,82
1957-05,60
1957-06,66
1957-07,64
1957-08,53
1957-09,76
1957-10,74
1957-11,46
1957-12,121
1958-01,108
1958-02,63
1958-03,81
1958-04,77
1958-05,60
1958-06,78
1958-07,58
1958-08,29
1958-09,60
1958-10,66
1958-11,44
1958-12,123
1959-01,87
1959-02,36
1959-03,63
1959-04,61
1959-05,56
1959-06,76
1959-07,64
1959-08,48
1959-09,61
1959-10,60
1959-11,66
1959-12,148
1960-01,95
1960-02,44
1960-03,69
1960-04,62
1960-05,37
1960-06,57
1960-07,63
1960-08,42
1960-09,65
1960-10,61
1960-11,59
1960-12,147
1961-01,118
1961-02,60
1961-03,80
1961-04,60
1961-05,54
1961-06,91
1961-07,81
1961-08,46
1961-09,89
1961-10,91
1961-11,52
1961-12,232
1962-01,202
1962-02,47
1962-03,66
1962-04,72
1962-05,54
1962-06,68
1962-07,69
1962-08,63
1962-09,92
1962-10,87
1962-11,76
1962-12,249
1963-01,205
1963-02,67
1963-03,99
1963-04,80
1963-05,64
1963-06,81
1963-07,95
1963-08,100
1963-09,81
1963-10,65
1963-11,75
1963-12,224
1964-01,146
1964-02,74
1964-03,104
1964-04,97
1964-05,74
1964-06,69
1964-07,60
1964-08,67
1964-09,91
1964-10,97
1964-11,97
1964-12,242
1965-01,216
1965-02,92
1965-03,111
1965-04,92
1965-05,78
1965-06,97
1965-07,82
1965-08,70
1965-09,104
1965-10,99
1965-11,104
1965-12,234
1966-01,190
1966-02,91
1966-03,97
1966-04,104
1966-05,104
1966-06,114
1966-07,87
1966-08,75
1966-09,113
1966-10,99
1966-11,92
1966-12,222
1967-01,179
1967-02,99
1967-03,114
1967-04,100
1967-05,100
1967-06,120
1967-07,107
1967-08,107
1967-09,115
1967-10,110
1967-11,107
1967-12,235
1968-01,195
1968-02,91
1968-03,139
1968-04,139
1968-05,105
1968-06,129
1968-07,119
1968-08,112
1968-09,125
1968-10,117
1968-11,109
1968-12,259
1969-01,239
1969-02,107
1969-03,156
1969-04,142
1969-05,119
1969-06,131
1969-07,129
1969-08,148
1969-09,158
1969-10,127
1969-11,104
1969-12,413
1970-01,372
1970-02,129
1970-03,175
1970-04,146
1970-05,137
1970-06,128
1970-07,130
1970-08,136
1970-09,143
1970-10,131
1970-11,142
1970-12,338
1971-01,305
1971-02,122
1971-03,146
1971-04,148
1971-05,136
1971-06,161
1971-07,143
1971-08,155
1971-09,234
1971-10,212
1971-11,133
1971-12,346
1972-01,324
1972-02,161
1972-03,183
1972-04,182
1972-05,138
1972-06,128
1972-07,134
1972-08,159
1972-09,182
1972-10,154
1972-11,123
1972-12,352
1973-01,351
1973-02,194
1973-03,183
1973-04,156
1973-05,151
1973-06,185
1973-07,212
1973-08,167
1973-09,171
1973-10,157
