Date,Reingeniería de Procesos
1950-01,4
1950-02,3
1950-03,1
1950-04,4
1950-05,5
1950-06,4
1950-07,3
1950-08,2
1950-09,3
1950-10,4
1950-11,3
1950-12,9
1951-01,8
1951-02,4
1951-03,2
1951-04,3
1951-05,2
1951-06,1
1951-07,2
1951-08,1
1951-09,2
1951-10,4
1951-11,5
1951-12,6
1952-01,3
1952-02,9
1952-03,8
1952-04,6
1952-05,2
1952-06,6
1952-07,3
1952-08,2
1952-09,5
1952-10,2
1952-11,4
1952-12,5
1953-01,2
1953-02,2
1953-03,3
1953-04,3
1953-05,1
1953-06,4
1953-07,4
1953-08,2
1953-09,2
1953-10,3
1953-11,0
1953-12,5
1954-01,5
1954-02,1
1954-03,3
1954-04,4
1954-05,2
1954-06,0
1954-07,0
1954-08,0
1954-09,0
1954-10,1
1954-11,1
1954-12,6
1955-01,7
1955-02,1
1955-03,2
1955-04,2
1955-05,3
1955-06,2
1955-07,2
1955-08,1
1955-09,1
1955-10,3
1955-11,2
1955-12,7
1956-01,6
1956-02,0
1956-03,0
1956-04,0
1956-05,3
1956-06,9
1956-07,6
1956-08,2
1956-09,3
1956-10,2
1956-11,2
1956-12,9
1957-01,10
1957-02,2
1957-03,4
1957-04,4
1957-05,4
1957-06,2
1957-07,2
1957-08,0
1957-09,4
1957-10,3
1957-11,4
1957-12,15
1958-01,14
1958-02,3
1958-03,4
1958-04,1
1958-05,1
1958-06,0
1958-07,6
1958-08,8
1958-09,4
1958-10,2
1958-11,3
1958-12,14
1959-01,13
1959-02,2
1959-03,3
1959-04,2
1959-05,3
1959-06,4
1959-07,3
1959-08,1
1959-09,3
1959-10,2
1959-11,1
1959-12,15
1960-01,15
1960-02,4
1960-03,4
1960-04,1
1960-05,3
1960-06,5
1960-07,5
1960-08,4
1960-09,2
1960-10,1
1960-11,2
1960-12,15
1961-01,15
1961-02,4
1961-03,4
1961-04,3
1961-05,3
1961-06,2
1961-07,1
1961-08,3
1961-09,6
1961-10,4
1961-11,4
1961-12,13
1962-01,12
1962-02,3
1962-03,9
1962-04,6
1962-05,3
1962-06,8
1962-07,9
1962-08,5
1962-09,3
1962-10,4
1962-11,8
1962-12,30
1963-01,22
1963-02,5
1963-03,7
1963-04,6
1963-05,4
1963-06,7
1963-07,7
1963-08,5
1963-09,7
1963-10,2
1963-11,1
1963-12,24
1964-01,24
1964-02,6
1964-03,9
1964-04,8
1964-05,8
1964-06,7
1964-07,3
1964-08,6
1964-09,7
1964-10,4
1964-11,5
1964-12,19
1965-01,16
1965-02,3
1965-03,10
1965-04,8
1965-05,3
1965-06,5
1965-07,6
1965-08,10
1965-09,9
1965-10,12
1965-11,12
1965-12,24
1966-01,23
1966-02,16
1966-03,17
1966-04,8
1966-05,8
1966-06,15
1966-07,13
1966-08,5
1966-09,8
1966-10,5
1966-11,4
1966-12,39
1967-01,36
1967-02,12
1967-03,13
1967-04,8
