Date,Segmentación de Clientes
1950-01,12
1950-02,4
1950-03,11
1950-04,10
1950-05,3
1950-06,16
1950-07,17
1950-08,5
1950-09,15
1950-10,22
1950-11,11
1950-12,11
1951-01,14
1951-02,6
1951-03,14
1951-04,13
1951-05,5
1951-06,11
1951-07,10
1951-08,2
1951-09,9
1951-10,13
1951-11,6
1951-12,21
1952-01,21
1952-02,3
1952-03,10
1952-04,10
1952-05,3
1952-06,12
1952-07,11
1952-08,2
1952-09,6
1952-10,8
1952-11,9
1952-12,24
1953-01,20
1953-02,8
1953-03,14
1953-04,14
1953-05,6
1953-06,4
1953-07,4
1953-08,3
1953-09,16
1953-10,16
1953-11,8
1953-12,17
1954-01,14
1954-02,7
1954-03,11
1954-04,10
1954-05,7
1954-06,10
1954-07,10
1954-08,7
1954-09,9
1954-10,12
1954-11,12
1954-12,26
1955-01,22
1955-02,13
1955-03,13
1955-04,14
1955-05,11
1955-06,14
1955-07,12
1955-08,5
1955-09,11
1955-10,12
1955-11,16
1955-12,35
1956-01,27
1956-02,8
1956-03,12
1956-04,11
1956-05,15
1956-06,20
1956-07,10
1956-08,5
1956-09,16
1956-10,14
1956-11,7
1956-12,34
1957-01,29
1957-02,13
1957-03,21
1957-04,15
1957-05,7
1957-06,20
1957-07,19
1957-08,12
1957-09,18
1957-10,17
1957-11,10
1957-12,23
1958-01,23
1958-02,9
1958-03,19
1958-04,19
1958-05,8
1958-06,13
1958-07,16
1958-08,12
1958-09,21
1958-10,19
1958-11,6
1958-12,29
1959-01,28
1959-02,9
1959-03,15
1959-04,10
1959-05,12
1959-06,26
1959-07,15
1959-08,12
1959-09,18
1959-10,16
1959-11,11
1959-12,24
1960-01,22
1960-02,10
1960-03,15
1960-04,14
1960-05,11
1960-06,18
1960-07,13
1960-08,17
1960-09,28
1960-10,19
1960-11,14
1960-12,39
1961-01,33
1961-02,17
1961-03,20
1961-04,19
1961-05,17
1961-06,25
1961-07,27
1961-08,19
1961-09,17
1961-10,17
1961-11,27
1961-12,51
1962-01,37
1962-02,14
1962-03,27
1962-04,19
1962-05,13
1962-06,24
1962-07,19
1962-08,10
1962-09,19
1962-10,22
1962-11,22
1962-12,39
1963-01,29
1963-02,19
1963-03,25
1963-04,22
1963-05,20
1963-06,20
1963-07,14
1963-08,15
1963-09,20
1963-10,16
1963-11,19
1963-12,59
1964-01,59
1964-02,29
1964-03,30
1964-04,23
1964-05,20
1964-06,33
1964-07,29
1964-08,17
1964-09,29
1964-10,38
1964-11,21
1964-12,52
1965-01,58
1965-02,26
1965-03,30
1965-04,35
1965-05,23
1965-06,16
1965-07,29
1965-08,29
1965-09,18
1965-10,27
1965-11,41
1965-12,107
1966-01,86
1966-02,31
1966-03,25
1966-04,35
1966-05,40
1966-06,37
1966-07,37
1966-08,26
1966-09,26
1966-10,39
1966-11,37
1966-12,66
1967-01,69
1967-02,40
1967-03,44
1967-04,32
1967-05,25
1967-06,28
1967-07,30
1967-08,35
1967-09,40
1967-10,39
1967-11,42
1967-12,85
1968-01,68
1968-02,35
1968-03,52
1968-04,50
1968-05,45
1968-06,47
1968-07,54
1968-08,50
1968-09,48
1968-10,46
1968-11,48
1968-12,107
1969-01,93
1969-02,46
1969-03,55
