Date,Strategic Planning
1950-01,48
1950-02,13
1950-03,16
1950-04,32
1950-05,17
1950-06,11
1950-07,30
1950-08,9
1950-09,22
1950-10,31
1950-11,18
1950-12,28
1951-01,36
1951-02,20
1951-03,24
1951-04,36
1951-05,14
1951-06,23
1951-07,40
1951-08,11
1951-09,24
1951-10,19
1951-11,12
1951-12,25
1952-01,39
1952-02,15
1952-03,26
1952-04,34
1952-05,17
1952-06,17
1952-07,26
1952-08,6
1952-09,21
1952-10,28
1952-11,6
1952-12,58
1953-01,28
1953-02,4
1953-03,20
1953-04,33
1953-05,17
1953-06,13
1953-07,25
1953-08,5
1953-09,21
1953-10,27
1953-11,14
1953-12,44
1954-01,41
1954-02,10
1954-03,19
1954-04,23
1954-05,19
1954-06,22
1954-07,28
1954-08,13
1954-09,14
1954-10,22
1954-11,14
1954-12,45
1955-01,33
1955-02,10
1955-03,19
1955-04,27
1955-05,10
1955-06,11
1955-07,16
1955-08,12
1955-09,12
1955-10,28
1955-11,13
1955-12,20
1956-01,37
1956-02,20
1956-03,21
1956-04,42
1956-05,25
1956-06,18
1956-07,23
1956-08,12
1956-09,24
1956-10,26
1956-11,15
1956-12,26
1957-01,44
1957-02,20
1957-03,25
1957-04,30
1957-05,14
1957-06,14
1957-07,21
1957-08,12
1957-09,23
1957-10,34
1957-11,10
1957-12,33
1958-01,33
1958-02,9
1958-03,18
1958-04,39
1958-05,19
1958-06,17
1958-07,24
1958-08,19
1958-09,23
1958-10,32
1958-11,11
1958-12,49
1959-01,54
1959-02,13
1959-03,28
1959-04,22
1959-05,19
1959-06,42
1959-07,26
1959-08,10
1959-09,40
1959-10,26
1959-11,17
1959-12,59
1960-01,83
1960-02,23
1960-03,46
1960-04,26
1960-05,23
1960-06,33
1960-07,33
1960-08,19
1960-09,52
1960-10,41
1960-11,24
1960-12,72
1961-01,50
1961-02,28
1961-03,60
1961-04,59
1961-05,20
1961-06,39
1961-07,35
1961-08,17
1961-09,43
1961-10,27
1961-11,36
1961-12,82
1962-01,45
1962-02,20
1962-03,51
1962-04,41
1962-05,32
1962-06,38
1962-07,36
1962-08,23
1962-09,36
1962-10,51
1962-11,23
1962-12,107
1963-01,72
1963-02,26
1963-03,55
1963-04,64
1963-05,28
1963-06,37
1963-07,58
1963-08,29
1963-09,60
1963-10,60
1963-11,30
1963-12,158
1964-01,80
1964-02,46
1964-03,45
1964-04,60
1964-05,33
1964-06,39
1964-07,63
1964-08,35
1964-09,35
1964-10,73
1964-11,36
1964-12,93
1965-01,90
1965-02,44
1965-03,44
1965-04,42
1965-05,28
1965-06,44
1965-07,67
1965-08,26
1965-09,49
1965-10,63
1965-11,40
1965-12,124
1966-01,113
1966-02,34
1966-03,62
1966-04,61
1966-05,47
1966-06,45
1966-07,66
1966-08,33
1966-09,45
1966-10,129
1966-11,30
1966-12,180
1967-01,104
1967-02,47
1967-03,74
